source,target
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000075624
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000147162
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000087245
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000102145
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000177455
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000106546
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000108852
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000103257
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000160293
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000077782
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000125538
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000145242
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000198400
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000129214
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000125266
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000128656
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000039068
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000161203
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000178363
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000144619
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000167601
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000100151
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000147852
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000142549
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000135409
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000134318
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000146904
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000102882
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000165966
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000207785
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000108262
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000149269
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000284203
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000221540
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000284459
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000284043
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000283705
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000168758
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000198987
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000283815
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000284387
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000152256
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000160145
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000205927
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000115112
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000064300
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000173599
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000121671
ENSEMBL:ENSG00000108947,ENSEMBL:ENSG00000143995
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000152256
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000214253
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000161970
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000277224
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000081059
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000147465
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000144476
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000166313
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000078401
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000149658
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000119138
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000084674
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000123384
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000184207
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000137033
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000126858
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000170498
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000105146
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000134352
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000073614
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000134308
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000096401
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000164161
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000176387
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000124788
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000125538
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000149269
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000170027
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000120738
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000243955
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000117394
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000107745
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000196664
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000120833
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000090382
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000113070
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000126785
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000142224
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000126012
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000196923
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000104722
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000122565
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000050820
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000115414
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000134853
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000232810
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000010671
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000136931
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000162909
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000170581
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000125848
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000134824
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000071994
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000172062
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000070444
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000138755
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000105173
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000116218
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000123700
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000168412
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000134873
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000196329
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000134954
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000162992
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000130037
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000039068
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000087245
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000198987
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000180228
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000134318
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000178522
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000138180
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000108829
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000090339
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000168385
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000119508
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000166828
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000103257
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000213341
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000102145
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000069535
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000197535
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000160862
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000142168
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000134757
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000079385
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000118689
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000143995
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000196092
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000173915
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000088280
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000156508
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000043355
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000117682
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000064692
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000115008
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000198400
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000149968
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000102935
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000177455
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000138336
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000141458
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000101333
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000134363
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000135903
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000105329
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000185313
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000106546
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000169710
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000102882
ENSEMBL:ENSG00000075624,ENSEMBL:ENSG00000049768
