source,target
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000084674
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000010030
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000171766
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000115415
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000113083
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000121691
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000166278
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000106804
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000131981
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000144810
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000179776
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000115414
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000162711
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000163661
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000100393
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000134954
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000006210
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000065989
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000166825
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000130508
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000211456
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000135929
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000119655
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000115085
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000130300
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000124813
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000136573
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000291237
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000170606
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000119723
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000080166
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000158525
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000163359
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000140093
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000101916
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000079557
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000283931
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000283797
ENSEMBL:ENSG00000243649,ENSEMBL:ENSG00000207924
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000175206
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000166825
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000070371
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000197971
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000129667
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000110244
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000139372
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000110031
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000096717
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000291237
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000182578
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000166278
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000182718
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000141736
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000115414
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000130508
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000168702
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000177791
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000111725
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000140575
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000124205
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000092529
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000211456
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000131981
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000169710
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000017427
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000109610
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000151224
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000155660
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000162711
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000163661
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000118181
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000121691
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000271503
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000171867
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000080166
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000197043
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000207595
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000213782
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000198997
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000118705
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000168769
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000068971
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000197822
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000207924
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000156482
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000142515
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000153406
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000101460
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000284567
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000168148
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000126231
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000136011
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000113083
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000151923
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000124721
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000240563
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000119655
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000144554
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000154917
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000101916
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000171863
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000186350
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000165671
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000075618
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000141646
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000262406
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000154589
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000073282
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000108468
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000179348
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000174175
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000171766
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000185668
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000179094
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000155090
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000187531
ENSEMBL:ENSG00000084674,ENSEMBL:ENSG00000119139
ENSEMBL:ENSG00000010030,ENSEMBL:ENSG00000105821
ENSEMBL:ENSG00000010030,ENSEMBL:ENSG00000115415
ENSEMBL:ENSG00000010030,ENSEMBL:ENSG00000124813
ENSEMBL:ENSG00000010030,ENSEMBL:ENSG00000155090
ENSEMBL:ENSG00000010030,ENSEMBL:ENSG00000187682
ENSEMBL:ENSG00000010030,ENSEMBL:ENSG00000096717
ENSEMBL:ENSG00000010030,ENSEMBL:ENSG00000006194
ENSEMBL:ENSG00000010030,ENSEMBL:ENSG00000240053
ENSEMBL:ENSG00000010030,ENSEMBL:ENSG00000163661
ENSEMBL:ENSG00000010030,ENSEMBL:ENSG00000168769
ENSEMBL:ENSG00000010030,ENSEMBL:ENSG00000141736
ENSEMBL:ENSG00000010030,ENSEMBL:ENSG00000152454
ENSEMBL:ENSG00000010030,ENSEMBL:ENSG00000134954
ENSEMBL:ENSG00000010030,ENSEMBL:ENSG00000152689
ENSEMBL:ENSG00000010030,ENSEMBL:ENSG00000115085
ENSEMBL:ENSG00000010030,ENSEMBL:ENSG00000196954
ENSEMBL:ENSG00000010030,ENSEMBL:ENSG00000221963
ENSEMBL:ENSG00000010030,ENSEMBL:ENSG00000073282
ENSEMBL:ENSG00000010030,ENSEMBL:ENSG00000148516
ENSEMBL:ENSG00000171766,ENSEMBL:ENSG00000166913
ENSEMBL:ENSG00000171766,ENSEMBL:ENSG00000175206
ENSEMBL:ENSG00000171766,ENSEMBL:ENSG00000242612
ENSEMBL:ENSG00000171766,ENSEMBL:ENSG00000161905
ENSEMBL:ENSG00000171766,ENSEMBL:ENSG00000168148
