source,target
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000104332
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000213853
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000110700
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000101076
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000072274
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000125845
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000254122
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000135480
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000131759
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000135341
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000197122
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000089280
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000107249
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000184058
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000026025
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000208017
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000154518
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000148737
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000161798
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000115085
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000204539
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000141510
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000284190
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000112238
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000167113
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000100985
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000140937
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000090382
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000197375
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000124721
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000177485
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000105141
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000106462
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000106211
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000177105
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000117139
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000117748
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000115641
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000171867
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000152284
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000132334
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000130669
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000198373
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000108094
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000284386
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000178585
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000112769
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000184863
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000133392
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000176490
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000100065
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000277363
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000167635
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000283935
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000166794
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000139725
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000166452
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000270885
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000081138
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000074266
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000107796
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000204962
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000173540
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000164944
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000146701
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000137831
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000207749
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000155827
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000196396
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000166987
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000110880
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000283904
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000114739
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000202601
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000143799
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000084764
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000176256
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000256453
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000144021
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000271886
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000207944
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000288701
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000265201
