source,target
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000109320
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000178607
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000131759
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000176563
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000243811
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000189091
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000113648
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000198836
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000058804
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000106462
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000141510
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000114739
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000179776
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000100393
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000172465
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000165699
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000136244
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000141736
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000232810
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000140464
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000108256
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000107929
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000086589
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000116761
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000100836
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000121390
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000166478
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000204560
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000122642
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000107625
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000007392
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000141551
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000261796
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000149100
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000125457
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000100292
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000116001
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000177463
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000125351
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000115112
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000213024
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000187555
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000139343
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000076067
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000130811
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000071626
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000163694
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000172239
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000183431
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000151365
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000207701
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000100028
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000100568
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000207988
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000207924
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000207990
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000267200
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000198983
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000283450
ENSEMBL:ENSG00000108349,ENSEMBL:ENSG00000199158
