idx	C3N-00436	C3N-04119	C3L-03388	C3L-00102	C3N-03840	C3L-01051	C3L-00928	C3N-00249	C3N-02768	C3L-00277	C3N-02589	C3N-00514	C3N-03884	C3L-04479	C3L-02606	C3N-00518	C3L-01037	C3N-02585	C3L-01598	C3L-02899	C3L-01637	C3L-01031	C3L-02610	C3L-01124	C3N-03780	C3N-02944	C3L-00819
ENSG00000237441.10	0.02015	0.02214	0.01898	0.01909	0.02007	0.01913	0.01893	0.0195	0.01833	0.02233	0.01717	0.02228	0.01938	0.01915	0.01791	0.01847	0.01767	0.01889	0.01664	0.01929	0.01898	0.02109	0.01689	0.01842	0.01916	0.01977	0.02098
ENSG00000105640.13	0.03459	0.04024	0.03124	0.04144	0.03858	0.03759	0.03438	0.03623	0.02892	0.03907	0.036	0.03573	0.0312	0.03873	0.03991	0.0345	0.03752	0.03323	0.03601	0.03299	0.03934	0.05023	0.03105	0.03495	0.0432	0.03538	0.04603
ENSG00000111554.14	0.04054	0.04252	0.04274	0.04605	0.04658	0.04077	0.04289	0.03735	0.03403	0.0436	0.03658	0.03583	0.0381	0.04813	0.03818	0.03892	0.04711	0.03532	0.03477	0.04078	0.03809	0.04561	0.03142	0.03952	0.03842	0.04319	0.04286
ENSG00000185973.11	0.4097	0.1155	0.08918	0.1116	0.4668	0.09617	0.429	0.1189	0.09845	0.1043	0.08226	0.1171	0.3686	0.0963	0.4436	0.08995	0.08722	0.1133	0.4165	0.1029	0.4082	0.41	0.1144	0.3907	0.4246	0.4085	0.1101
ENSG00000162373.13	0.01987	0.02255	0.01703	0.01908	0.02237	0.01631	0.01525	0.01688	0.02006	0.02138	0.01637	0.02578	0.01602	0.02005	0.01921	0.01867	0.01594	0.01665	0.01793	0.02153	0.02177	0.01971	0.01418	0.01901	0.02253	0.01925	0.01992
ENSG00000105135.16	0.01688	0.01789	0.0165	0.0158	0.01616	0.01587	0.01555	0.01536	0.01716	0.01889	0.01515	0.01904	0.01654	0.01741	0.0162	0.01704	0.01485	0.01259	0.01963	0.017	0.01741	0.01828	0.01418	0.01499	0.01425	0.01571	0.02096
ENSG00000164300.17	0.01665	0.01898	0.01753	0.01472	0.01558	0.01362	0.01498	0.01361	0.01198	0.0145	0.01214	0.01699	0.01463	0.01437	0.01227	0.01335	0.01263	0.01483	0.01376	0.01605	0.01484	0.01724	0.01226	0.01541	0.0146	0.0154	0.01386
ENSG00000128564.7	0.1433	0.1741	0.1348	0.1305	0.1897	0.1416	0.1382	0.1615	0.1528	0.1646	0.1423	0.1406	0.1388	0.1415	0.173	0.1148	0.1205	0.1291	0.122	0.1314	0.1544	0.1695	0.1312	0.1663	0.1692	0.1511	0.1474
ENSG00000137486.17	0.04875	0.06465	0.04411	0.05346	0.05113	0.05061	0.04344	0.04557	0.04549	0.05265	0.04878	0.05686	0.04828	0.04856	0.05746	0.04753	0.04345	0.04666	0.04458	0.05698	0.05332	0.05459	0.05242	0.05541	0.05678	0.04635	0.05438
ENSG00000150867.14	0.06571	0.0631	0.07431	0.07129	0.06199	0.06293	0.06791	0.08836	0.05904	0.07724	0.05778	0.06828	0.07405	0.07506	0.0692	0.06986	0.07309	0.06778	0.05035	0.06459	0.07061	0.07082	0.06668	0.06499	0.05444	0.07398	0.06179
