"regulon","description"
"regulonblca","Human Bladder Carcinoma context-specific ARACNe interactome"
"regulonbrca","Human Breast Carcinoma context-specific ARACNe interactome"
"reguloncesc","Human Cervical Squamous Carcinoma context-specific ARACNe interactome"
"reguloncoad","Human Colon Adenocarcinoma context-specific ARACNe interactome"
"regulonesca","Human Esophageal Carcinoma context-specific ARACNe interactome"
"regulongbm","Human Glioblastoma context-specific ARACNe interactome"
"regulonhnsc","Human Head and Neck Squamous Carcinoma context-specific ARACNe interactome"
"regulonkirc","Human Kidney Renal Clear Cell Carcinoma context-specific ARACNe interactome"
"regulonkirp","Human Kidney Papillary Carcinoma context-specific ARACNe interactome"
"regulonlaml","Human Acute Myeloid Leukemia context-specific ARACNe interactome"
"regulonlihc","Human Liver Hepatocellular Carcinoma context-specific ARACNe interactome"
"regulonluad","Human Lung Adenocarcinoma context-specific ARACNe interactome"
"regulonlusc","Human Lung Squamous Carcinoma context-specific ARACNe interactome"
"regulonnet","Human Neuroendocrine tumor context-specific ARACNe interactome"
"regulonov","Human Ovarian Carcinoma context-specific ARACNe interactome"
"regulonpaad","Human Pancreas Carcinoma context-specific ARACNe interactome"
"regulonpcpg","Human Pheochromocytoma and Paraganglioma context-specific ARACNe interactome"
"regulonprad","Human Prostate Carcinoma context-specific ARACNe interactome"
"regulonread","Human Rectal Adenocarcinoma context-specific ARACNe interactome"
"regulonsarc","Human Sarcoma context-specific ARACNe interactome"
"regulonstad","Human Stomach Adenocarcinoma context-specific ARACNe interactome"
"regulontgct","Human Testicular Cancer context-specific ARACNe interactome"
"regulonthca","Human Thyroid Carcinoma context-specific ARACNe interactome"
"regulonthym","Human Thymoma context-specific ARACNe interactome"
"regulonucec","Human Utherine Corpus Endometroid Carcinoma context-specific ARACNe interactome"
