"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000000003","O43657","TSPAN6",-0.876435250732793,4.25129953563814e-09,1.53831458403876e-08
"ENSG00000000005","Q9H2S6","TNMD",-0.112952519128516,0.426155860859737,0.513184252339458
"ENSG00000000419","O60762","DPM1",0.210424202810195,1.83080378080247e-05,4.39928793246566e-05
"ENSG00000000457","Q8IZE3","SCYL3",-0.163111442993074,0.00131340606757404,0.00252031975129073
"ENSG00000000460",NA,"C1orf112",0.684276067746167,0.534419808001755,0.620243355697199
"ENSG00000000938","P09769","FGR",0.755144946542831,1.30798989263961e-13,7.87642280335647e-13
"ENSG00000000971","P08603","CFH",-0.905027175665815,8.42194221782202e-21,1.77350238126e-19
"ENSG00000001036","Q9BTY2","FUCA2",-0.126688526512456,0.156680389035867,0.213734587561845
"ENSG00000001084",NA,"GCLC",-0.0934510874045245,0.000415102707318925,0.000846970727865487
"ENSG00000001167","P23511","NFYA",-0.819300712412563,1.15657339913942e-06,3.19318793435551e-06
"ENSG00000001461","Q6P499","NIPAL3",-0.346580448207423,0.913772041546734,0.938970918499225
"ENSG00000001497","Q9Y4W2","LAS1L",0.331846659365947,1.81322158252659e-19,2.82690391531e-18
"ENSG00000001561","Q9Y6X5","ENPP4",-0.174048043380324,0.0149808536739796,0.0246776627067217
"ENSG00000001617","C9J1V2","SEMA3F",-0.979826596406289,0.00475981030323038,0.0084372615833915
"ENSG00000001629","Q9P2G1","ANKIB1",-0.112080748258766,0.000596564281311518,0.00119608804961294
"ENSG00000001630","A0A0C4DFL7","CYP51A1",0.0797884998174112,0.867589047176153,0.903620349660721
"ENSG00000002330","Q92934","BAD",-0.105984597819926,0.034380136058549,0.0531899984839859
"ENSG00000002549","P28838","LAP3",0.478242638363469,6.64541472829057e-09,2.35276340852012e-08
"ENSG00000002586","P14209","CD99",-0.61523163291761,5.45015800538628e-17,5.42332010611733e-16
"ENSG00000002587","O14792","HS3ST1",-0.070368272297543,0.264501782870392,0.340152335626249
"ENSG00000002726","P19801","AOC1",1.26176509688814,0.9902318417949,0.99354112418417
"ENSG00000002822",NA,"MAD1L1",0.183149639111253,1.32347215324499e-10,5.52744252237612e-10
"ENSG00000002834","Q14847","LASP1",0.236713115955066,4.33516184341497e-09,1.56704095805313e-08
"ENSG00000002919","J3QRB9","SNX11",-0.164444043806331,0.844710463455821,0.885066866696043
"ENSG00000003056","H0YFL0","M6PR",0.508129879152005,6.01313823948059e-18,7.09955692364742e-17
