"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000000938","P09769","FGR",0.755144946542831,1.30798989263961e-13,7.87642280335647e-13
"ENSG00000004660","J3KPJ3","CAMKK1",0.845648783738515,0.0674024472508329,0.0988092795356797
"ENSG00000004799","Q16654","PDK4",-0.458521439511745,8.65806128066198e-05,0.000192100734664688
"ENSG00000005882","Q15119","PDK2",-0.926010860266626,2.252931141681e-15,1.77066570207808e-14
"ENSG00000007047","K7EK17","MARK4",0.641337324533069,0.715418526685839,0.782351740911104
"ENSG00000008086","O76039","CDKL5",-0.82961045733289,0.342759604812534,0.426996790441032
"ENSG00000009954","Q9UIG0","BAZ1B",0.522019366597377,3.14450157440099e-21,7.44198705941569e-20
"ENSG00000010671","Q06187","BTK",0.294475579377231,5.08906183075679e-05,0.000116353049864213
"ENSG00000010810","P06241","FYN",-0.131562702591555,0.0415610092618021,0.0632595411214833
"ENSG00000011566","Q8IVH8","MAP4K3",0.319152850229601,0.54633933938962,0.631496400649667
"ENSG00000012983",NA,"MAP4K5",0.212401450018369,9.6984393334112e-06,2.40186661596712e-05
"ENSG00000013441","P49759","CLK1",0.50757128777607,0.676803078219784,0.747671020388298
"ENSG00000027075","G3V4L3","PRKCH",-0.426380828233956,3.43619773485983e-05,8.00524399252863e-05
"ENSG00000028116","Q86Y07","VRK2",0.302436966487278,4.46938665742749e-10,1.76756925089379e-09
"ENSG00000034152","X6RB39","MAP2K3",-0.162402466514521,0.00191591901712068,0.00359251909919773
"ENSG00000035664","H0YMK1","DAPK2",0.305084578002944,0.473301515611209,0.561502938459851
"ENSG00000050748","P45984","MAPK9",-0.193300273695133,8.47081081129706e-06,2.11077258726842e-05
"ENSG00000055332","P19525","EIF2AK2",0.700499128813018,5.06469130626571e-24,3.14909918616805e-22
"ENSG00000058091","C9IYJ9","CDK14",0.312064331347603,0.978948215908256,0.985891111056541
"ENSG00000058404","Q13554","CAMK2B",-1.11338062271776,0.000287489527333453,0.00059844293843501
"ENSG00000060237","F5GWT4","WNK1",0.159397221321829,0.000243029532537748,0.000510853036188569
"ENSG00000061938","H0Y5H7","TNK2",-0.562746643878658,0.233221994774397,0.303779695571684
"ENSG00000065243","B1AL79","PKN2",-0.0240345616154265,0.266130664790487,0.34157823691443
"ENSG00000065534","Q15746","MYLK",-0.954350420667144,7.92147530755247e-21,1.68499721724213e-19
"ENSG00000065559","P45985","MAP2K4",-0.0504741624617537,0.210853523590559,0.278138190546019
"ENSG00000065675","Q04759","PRKCQ",-0.292857371516671,0.114521818200241,0.160946270649743
"ENSG00000066468","P21802","FGFR2",-0.0603275743017018,0.943383234837147,0.960196729142652
"ENSG00000067606","Q05513","PRKCZ",-0.0206895679712282,0.32903958031147,0.412152570021806
"ENSG00000067900","Q13464","ROCK1",0.0914269109929364,0.00696943209008714,0.0120273924129801
"ENSG00000067992","Q15120","PDK3",-0.23928534193594,0.00267676208829881,0.0049285817458987
"ENSG00000068078","F8W9L4","FGFR3",0.214065575414125,0.915300773380528,0.940265962135359
"ENSG00000070770",NA,"CSNK2A2",0.29253985388663,4.8848071618803e-16,4.21424906872235e-15
"ENSG00000070808","Q9UQM7","CAMK2A",-0.899494856040402,0.00151820203586274,0.00288851475517757
"ENSG00000071054","E7ETN6","MAP4K4",0.349703702268432,3.07767353755969e-15,2.35715696302312e-14
"ENSG00000072062","P17612","PRKACA",-0.453274323433625,1.23557840482321e-07,3.80077806729576e-07
"ENSG00000072518","Q7KZI7","MARK2",-0.0309516665657448,0.300985715844234,0.381330829767448
"ENSG00000072786","O94804","STK10",0.579180905978017,8.30775327059151e-16,6.92840248947425e-15
"ENSG00000075413","A0A0A0MST9","MARK3",0.465726299537717,2.58345381017823e-19,3.92296714412613e-18
"ENSG00000076984","O14733","MAP2K7",0.0981641089333074,0.00117282687446203,0.0022654530876557
"ENSG00000077264",NA,"PAK3",1.13563055027122,0.490602519947261,0.577813413988547
"ENSG00000077782","P11362","FGFR1",-0.916901159984537,0.106460043812757,0.15062368929372
"ENSG00000078061","P10398","ARAF",-0.0103258098293892,0.82450381860302,0.870479867967501
"ENSG00000079277",NA,"MKNK1",0.201964903324129,1.39851098755952e-06,3.82000349812202e-06
"ENSG00000082701","P49841","GSK3B",0.0807025536703705,0.0463088972628265,0.0700163874011196
"ENSG00000085511","Q9Y6R4","MAP3K4",0.186712516261515,0.000410052043093684,0.000837478497342746
"ENSG00000086232","Q9BQI3","EIF2AK1",-0.286331942011688,0.759184117270775,0.819214079305946
"ENSG00000087586","O14965","AURKA",0.140565615257557,4.67673769018306e-05,0.00010746372107685
"ENSG00000089022","Q8IW41","MAPKAPK5",-0.568023529460012,0.775829113841509,0.832577356294049
"ENSG00000092439","H0YNM0","TRPM7",0.513281627033573,0.314339770305032,0.396385732193121
"ENSG00000092445","H0YNK6","TYRO3",-0.171749555084983,0.0828848554667262,0.119538026522695
"ENSG00000095015","Q13233","MAP3K1",-1.15844276928966,0.00561311323614547,0.00984321848335345
"ENSG00000096063","Q96SB4","SRPK1",0.0129977927611371,0.975465339410394,0.983450561237255
"ENSG00000097007","P00519","ABL1",0.080914449307464,0.0132060435916768,0.0219675646764825
"ENSG00000097046","O00311","CDC7",-0.190684542734827,0.862582737565667,0.899922498643768
"ENSG00000099875","K7EMP5","MKNK2",-0.1380970766341,0.137491269365483,0.190024761080166
"ENSG00000100030","P28482","MAPK1",-0.0621138539445134,0.00821102567847619,0.0140432060269251
"ENSG00000100749","Q99986","VRK1",0.515023264953069,1.87682072459065e-15,1.48394523506385e-14
"ENSG00000100784","O75582","RPS6KA5",-0.424050581564291,2.28615808823236e-13,1.33460828839698e-12
"ENSG00000101109","Q13043","STK4",0.368827392966164,4.20027031350554e-10,1.6674136930229e-09
"ENSG00000101213","Q13882","PTK6",-1.03218798663593,5.45015800538628e-17,5.42332010611733e-16
"ENSG00000101266","A0A087WY74","CSNK2A1",0.156637342112962,1.96881195245178e-05,4.70615923484152e-05
"ENSG00000101306","Q9H1R3","MYLK2",-1.16742551412607,0.00225051902482907,0.00418334581866333
"ENSG00000101336","H0Y3C5","HCK",0.72770686059593,9.42579578751471e-17,9.02060675184012e-16
"ENSG00000101782","O14730","RIOK3",-0.270715466665422,1.33193379412015e-06,3.65048521351448e-06
"ENSG00000102010","P51813","BMX",0.643460667014708,0.786472502665287,0.840375539760711
"ENSG00000102572","Q9Y6E0","STK24",-0.0595031323987101,0.0438807589743884,0.066536654444859
"ENSG00000102755","P17948","FLT1",0.253106763717639,5.79158449584614e-06,1.47213279831522e-05
"ENSG00000102882","P27361","MAPK3",-0.608309067800011,7.5118923639825e-26,1.43518118110415e-23
"ENSG00000103319","O00418","EEF2K",-0.293882729061352,7.58442615587502e-11,3.26093085294332e-10
"ENSG00000103653","P41240","CSK",-0.0328828626715456,0.436230668728503,0.523158167883943
"ENSG00000104312","O43353","RIPK2",0.228597371365094,6.02794237040894e-07,1.72030468300535e-06
"ENSG00000104365","O14920","IKBKB",0.040182844152735,0.45554605775056,0.543407648409909
"ENSG00000104375",NA,"STK3",0.359039463722088,2.70304497677273e-15,2.08696521792269e-14
"ENSG00000104814",NA,"MAP4K1",0.061083083368711,0.70606429166838,0.77397491934606
"ENSG00000104936","Q09013","DMPK",-0.813536621118276,0.156321666701951,0.213328321260273
"ENSG00000105053","Q8IV63","VRK3",0.521718923104789,0.0308698916337567,0.0482063934146999
"ENSG00000105221","P31751","AKT2",-0.270976822744384,1.5678435383616e-08,5.29229036334844e-08
"ENSG00000105287","Q9BZL6","PRKD2",0.167892584777594,2.36747324070763e-08,7.83047177002069e-08
"ENSG00000105397","H0YE24","TYK2",-0.0150369041624003,0.837127244411632,0.8798292742826
"ENSG00000105639",NA,"JAK3",-0.20460915225047,0.0361929262248816,0.0557728800074873
"ENSG00000105723","P49840","GSK3A",-0.0604086604957637,0.0779481386246639,0.113007593911144
"ENSG00000105810","Q00534","CDK6",0.551586319531705,3.18453460134216e-16,2.85521242243203e-15
"ENSG00000105976","C9JKM5","MET",0.53480624631916,1.26748104292259e-12,6.78141079380374e-12
"ENSG00000106605","P53004","BLVRA",-0.0451027550969911,0.171385575194139,0.230916736009747
"ENSG00000106683","E9PC47","LIMK1",0.422666138489184,7.17113862834814e-17,6.99668753079686e-16
"ENSG00000106799","F8VVC4","TGFBR1",-0.354274465798929,0.865332800260019,0.90225412434335
"ENSG00000107643","C9J762","MAPK8",0.168772784114633,2.92096792820095e-06,7.70419954556617e-06
"ENSG00000107968","P41279","MAP3K8",0.0363624716931206,0.0096989428149918,0.0164116732850135
"ENSG00000108443","K7ER06","RPS6KB1",0.0892979191465493,0.00320277535042412,0.00581960286741426
"ENSG00000108984","P52564","MAP2K6",-0.752342807207125,7.62403088428849e-19,1.04586575107185e-17
"ENSG00000110931","Q96RR4","CAMKK2",0.0727127355784027,0.0593306076565641,0.0879331488371193
"ENSG00000111816","P42685","FRK",-0.177765209505221,0.00378220455411683,0.00680654315030993
"ENSG00000112062","Q16539","MAPK14",0.0356897199154282,0.187100414864177,0.249942939154942
"ENSG00000112079","Q15208","STK38",0.0190735414953416,0.67032149877397,0.74191471551684
"ENSG00000112739","Q13523","PRPF4B",0.283856386242739,2.82557181338767e-14,1.85801680945417e-13
"ENSG00000112742","P33981","TTK",0.689087626113576,4.46683954891106e-07,1.29661740276125e-06
"ENSG00000113240",NA,"CLK4",-0.131964196598625,0.6065193411884,0.685752270857424
"ENSG00000113712","P48729","CSNK1A1",0.464257736889351,7.32102714256954e-10,2.84396869553126e-09
"ENSG00000113721","P09619","PDGFRB",0.164111119678719,0.00330483465606159,0.00599468368132146
"ENSG00000114738",NA,"MAPKAPK3",-0.178250842078349,0.000205969001896562,0.000436795614920095
"ENSG00000115085","P43403","ZAP70",0.199327795179826,0.0396561140707834,0.060664790603551
"ENSG00000115661","O75716","STK16",0.0138762924707958,0.941916597746479,0.959000116063534
"ENSG00000115687","Q96RG2","PASK",-0.0638141310697424,0.723643687302951,0.788883480255152
"ENSG00000115694","O00506","STK25",0.0275631839646735,0.165384104430273,0.224037149587896
"ENSG00000115825","O94806","PRKD3",-0.426956954101424,0.0348274218731108,0.0538265258188922
"ENSG00000115977","A0A096LP25","AAK1",0.332520205055182,7.97467989875685e-22,2.17656977600356e-20
"ENSG00000116106",NA,"EPHA4",0.0347841395249837,0.580974345860364,0.664368095146447
"ENSG00000116141","Q9P0L2","MARK1",0.4137861869924,3.39343235092574e-11,1.51736966568203e-10
"ENSG00000117020","Q9Y243","AKT3",-0.249678110859616,0.118103647503135,0.165603566581657
"ENSG00000117676","E9PPC1","RPS6KA1",0.326356443828708,1.85438987470959e-09,6.95429293484953e-09
"ENSG00000118046","A0A087WT72","STK11",0.409446803901979,0.00324254053129447,0.0058888033015628
"ENSG00000118515","O00141","SGK1",-0.29068105085289,0.969271790040547,0.978866695794913
"ENSG00000119408","Q9HC98","NEK6",0.5063787423733,1.16461926191895e-10,4.89317041353234e-10
"ENSG00000119638","Q8TD19","NEK9",0.0531976422491809,0.120592339140554,0.168777876889843
"ENSG00000120539","Q96GX5","MASTL",0.853946564844136,0.000687171453845686,0.00136887158995459
"ENSG00000120899","Q14289","PTK2B",0.389613354149432,3.76701671530578e-12,1.88854063189089e-11
