"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000000003","O43657","TSPAN6",-0.413764471073229,3.36182692080848e-07,6.78121937108286e-07
"ENSG00000000419","O60762","DPM1",-0.21506364093041,6.86395600021867e-14,2.01965299530384e-13
"ENSG00000000457","Q8IZE3","SCYL3",0.604647232284549,0.031547611336357,0.0431538568730796
"ENSG00000000938","P09769","FGR",1.99865378865099,0.00183910589683437,0.00285591925325722
"ENSG00000000971","P08603","CFH",-0.00039710883237376,0.625472024138958,0.672773807895949
"ENSG00000001036","Q9BTY2","FUCA2",-0.531535814605622,2.00290413716179e-16,6.89414889150945e-16
"ENSG00000001084",NA,"GCLC",0.132580176442545,0.0444192958527809,0.0595887472365883
"ENSG00000001167","P23511","NFYA",-2.67647651987535,0.00458412607416013,0.00686136398666968
"ENSG00000001461","Q6P499","NIPAL3",0.535138467255463,0.261365987221504,0.309418021996799
"ENSG00000001497","Q9Y4W2","LAS1L",0.126163085765683,1.47362389601199e-08,3.22170219885765e-08
"ENSG00000001561","Q9Y6X5","ENPP4",-0.00763435840236681,0.615543420162841,0.663234290981441
"ENSG00000001617","C9J1V2","SEMA3F",-1.60290535710335,0.657483832080579,0.702576043633338
"ENSG00000001626",NA,"CFTR",-2.28910654935349,0.537374272295278,0.589992169790857
"ENSG00000001629","Q9P2G1","ANKIB1",-0.523333964789998,5.94723800969755e-24,3.72185588694385e-23
"ENSG00000001630","A0A0C4DFL7","CYP51A1",-0.683581504011009,6.75741386088601e-22,3.39839201351339e-21
"ENSG00000002330","Q92934","BAD",-0.263775307993921,1.78029381147259e-10,4.3499467872804e-10
"ENSG00000002549","P28838","LAP3",-0.0197058154845173,0.140813189908712,0.17591546731827
"ENSG00000002586","P14209","CD99",0.279346444050304,4.93565036540161e-07,9.84671590132822e-07
"ENSG00000002726","P19801","AOC1",-0.983409955190016,2.44944028636811e-13,7.00549716863864e-13
"ENSG00000002746","Q76N89","HECW1",-3.17522465724526,4.56586448441377e-27,4.81242116657211e-26
"ENSG00000002822",NA,"MAD1L1",0.159377450893846,4.28687754572662e-17,1.52865045816811e-16
"ENSG00000002834","Q14847","LASP1",0.192450084044605,1.8831526514794e-08,4.09646046040914e-08
"ENSG00000002919","J3QRB9","SNX11",0.16765817049971,0.750553317278995,0.786447296558662
"ENSG00000002933","Q96HP8","TMEM176A",0.582301617185742,5.30507760768139e-07,1.05753020278148e-06
"ENSG00000003056","H0YFL0","M6PR",0.219456807928911,2.66180995553285e-10,6.44251947903079e-10
"ENSG00000003096","A0A0C4DG99","KLHL13",-0.740314063381609,0.215278023091879,0.25952068928714
"ENSG00000003147","Q05084","ICA1",-1.91584728668489,1.53208297995923e-12,4.17662588574239e-12
"ENSG00000003249","Q9H9R9","DBNDD1",0.867970381174288,0.398794602895711,0.454539596903216
"ENSG00000003393","Q96Q42","ALS2",0.00563321624759894,0.849388549962008,0.87279021626029
