"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000000938","P09769","FGR",1.99865378865099,0.00183910589683437,0.00285591925325722
"ENSG00000004660","J3KPJ3","CAMKK1",2.06568838030325,0.00446452930096012,0.00669411977995113
"ENSG00000004799","Q16654","PDK4",0.250303857898018,0.00133390400387145,0.00209643396496073
"ENSG00000005882","Q15119","PDK2",-0.921549477248028,2.58270020433943e-22,1.3539569186414e-21
"ENSG00000008086","O76039","CDKL5",0.000230341262987821,0.00104195077952935,0.00165019546647823
"ENSG00000009954","Q9UIG0","BAZ1B",0.276072626611718,3.23267170425374e-18,1.2246970024477e-17
"ENSG00000010671","Q06187","BTK",0.918774811070467,1.25263543121892e-26,1.19910502607984e-25
"ENSG00000010810","P06241","FYN",0.330699801261503,8.08597761404744e-10,1.90954938324191e-09
"ENSG00000011566","Q8IVH8","MAP4K3",-0.534616408822551,3.87678478290602e-30,2.42168299761129e-28
"ENSG00000012983",NA,"MAP4K5",0.197053967365562,1.30507349461647e-12,3.57823135312013e-12
"ENSG00000027075","G3V4L3","PRKCH",0.395918329910636,4.80232265880853e-18,1.80501714649586e-17
"ENSG00000028116","Q86Y07","VRK2",0.106946199035963,0.00992585427996867,0.0143354361611606
"ENSG00000034152","X6RB39","MAP2K3",0.0896056638528897,9.56641424547635e-06,1.76049450174517e-05
"ENSG00000035664","H0YMK1","DAPK2",-1.62884514741996,8.27531640799953e-06,1.52907811761025e-05
"ENSG00000037280",NA,"FLT4",1.22663439193737,3.83734771951998e-08,8.18912248839589e-08
"ENSG00000050748","P45984","MAPK9",0.234551727691979,1.57133395679908e-21,7.65261036450835e-21
"ENSG00000055332","P19525","EIF2AK2",0.209268402715534,5.06725363208405e-15,1.60209695668006e-14
"ENSG00000058091","C9IYJ9","CDK14",-0.230225829333857,1.735679534573e-08,3.78140974318526e-08
"ENSG00000058404","Q13554","CAMK2B",-1.84502663670881,0.000102578900312303,0.000175396606698614
"ENSG00000060237","F5GWT4","WNK1",0.337077984456776,2.89806787863956e-27,3.19937747175501e-26
"ENSG00000061938","H0Y5H7","TNK2",-0.973728852307856,0.236748859606458,0.282985117731821
"ENSG00000065243","B1AL79","PKN2",-0.17899440274682,1.82367456331221e-18,7.05581661609163e-18
"ENSG00000065534","Q15746","MYLK",-0.547853317068551,3.53792248675801e-17,1.26699634692089e-16
"ENSG00000065559","P45985","MAP2K4",-0.0984238083144078,2.36619055437091e-06,4.532746512515e-06
"ENSG00000065675","Q04759","PRKCQ",-0.174328601789696,1.54581810093024e-08,3.37806124937026e-08
"ENSG00000066468","P21802","FGFR2",-0.401095755013361,0.469962864836791,0.525076787057664
"ENSG00000067606","Q05513","PRKCZ",-0.797693695062652,6.03876901801453e-27,6.14493843266052e-26
"ENSG00000067900","Q13464","ROCK1",0.129488132903582,5.25808575145928e-08,1.11144632951999e-07
"ENSG00000067992","Q15120","PDK3",-0.367162023794975,1.98744242126174e-10,4.84544946776084e-10
"ENSG00000070770",NA,"CSNK2A2",0.17457645459595,2.23349025595593e-21,1.06902188971734e-20
"ENSG00000071054","E7ETN6","MAP4K4",0.692432517367866,2.12771871638052e-29,6.26613161974063e-28
"ENSG00000072062","P17612","PRKACA",-0.31007426045403,1.89920300606939e-21,9.16910303749892e-21
"ENSG00000072518","Q7KZI7","MARK2",0.0995458018362356,5.42678746999407e-08,1.14662213414329e-07
"ENSG00000072786","O94804","STK10",0.748469895718248,1.82741175986621e-27,2.15776815466278e-26
"ENSG00000075413","A0A0A0MST9","MARK3",-0.253379031325426,4.01368017175649e-22,2.06308929978428e-21
"ENSG00000076984","O14733","MAP2K7",0.0254646687246698,0.298563296363987,0.349446439099077
"ENSG00000078061","P10398","ARAF",0.0828084713053769,6.82673433280672e-05,0.000118099673245324
"ENSG00000079277",NA,"MKNK1",0.943328457236811,6.83921584034871e-08,1.43716827302018e-07
"ENSG00000082701","P49841","GSK3B",0.022167637581429,0.367233827467356,0.421783931455682
"ENSG00000085511","Q9Y6R4","MAP3K4",0.0928752197416927,0.000160612204254431,0.000270469223208815
"ENSG00000086232","Q9BQI3","EIF2AK1",-1.36984969318732,0.107419954864417,0.136653031134215
"ENSG00000087586","O14965","AURKA",-0.755127116885146,0.727234483699523,0.765135955162691
"ENSG00000092439","H0YNM0","TRPM7",-1.22752483449546,5.50520824829831e-06,1.02977115991427e-05
"ENSG00000092445","H0YNK6","TYRO3",1.19049356053673,0.00038933458202401,0.000637515481570958
"ENSG00000095015","Q13233","MAP3K1",-0.861099222118263,0.94265612773431,0.953281713093484
"ENSG00000096063","Q96SB4","SRPK1",-0.0736171943402866,0.000583273202399938,0.000940772322105442
"ENSG00000096968",NA,"JAK2",0.358441533300081,4.57101502053571e-18,1.719367896342e-17
"ENSG00000097007","P00519","ABL1",-0.0330657143530537,0.717717659570234,0.75679306289772
"ENSG00000100030","P28482","MAPK1",0.519119169231093,8.60024860630416e-29,1.79031786475932e-27
"ENSG00000100749","Q99986","VRK1",0.0966652263772545,0.00113953861992912,0.00180198992440781
"ENSG00000100784","O75582","RPS6KA5",0.184359670854874,2.45603574692795e-07,4.99031776257906e-07
"ENSG00000101109","Q13043","STK4",0.808826300800458,1.08126942849417e-27,1.36701398832223e-26
"ENSG00000101266","A0A087WY74","CSNK2A1",0.176300634399276,1.27094264985678e-08,2.7932284356927e-08
"ENSG00000101336","H0Y3C5","HCK",1.09968869257211,7.0066366822062e-28,9.44245667549538e-27
"ENSG00000101782","O14730","RIOK3",0.371013767254833,2.61289240535213e-23,1.52553304109568e-22
"ENSG00000102572","Q9Y6E0","STK24",-0.124481957562679,8.70083720977499e-12,2.28126428335892e-11
"ENSG00000102755","P17948","FLT1",0.94299057839692,1.44090391977042e-23,8.68096928318968e-23
"ENSG00000102882","P27361","MAPK3",0.314515531869251,1.51878853193737e-19,6.2841444505326e-19
"ENSG00000103319","O00418","EEF2K",0.552741075158863,2.57644475662981e-29,7.24661273823998e-28
"ENSG00000103653","P41240","CSK",0.548353747455383,1.74744481394538e-26,1.63067706635928e-25
"ENSG00000104312","O43353","RIPK2",0.534677916986247,1.88456776179694e-27,2.21221301276351e-26
"ENSG00000104365","O14920","IKBKB",0.164773192957313,2.83616606203765e-13,8.08614202140746e-13
"ENSG00000104375",NA,"STK3",0.0586951932398811,0.0828457743029789,0.107175030761722
"ENSG00000104814",NA,"MAP4K1",0.798830236691501,0.00937271259631615,0.0135759988109897
"ENSG00000104936","Q09013","DMPK",-2.03327691490599,0.0722823989040236,0.0942891688673773
"ENSG00000105053","Q8IV63","VRK3",-0.202591594025577,1.82275865277088e-08,3.96767008482497e-08
"ENSG00000105204","Q9Y463","DYRK1B",-1.80158223399106,0.961259427716317,0.968124185246779
"ENSG00000105221","P31751","AKT2",0.0351069281805323,0.11226025088738,0.142394463153704
"ENSG00000105287","Q9BZL6","PRKD2",0.445796677974091,3.93728761210044e-27,4.1940490276555e-26
"ENSG00000105397","H0YE24","TYK2",0.182510924428399,9.43607069154356e-09,2.08803040518068e-08
"ENSG00000105639",NA,"JAK3",1.76013457981581,0.000351286936341897,0.000577670568827626
"ENSG00000105723","P49840","GSK3A",-0.099310227121407,2.68250068327725e-05,4.79812063980977e-05
"ENSG00000105810","Q00534","CDK6",0.349771363088088,2.43690533084977e-09,5.57221582046101e-09
"ENSG00000105976","C9JKM5","MET",0.936416757052555,3.53235110725167e-28,5.27115225587347e-27
"ENSG00000106605","P53004","BLVRA",0.45681575831772,2.08939634918558e-25,1.59825253203936e-24
"ENSG00000106683","E9PC47","LIMK1",0.915667078641974,1.47866182078505e-11,3.82481033622337e-11
"ENSG00000106799","F8VVC4","TGFBR1",-1.25132488812463,0.707404510341704,0.74788737852935
"ENSG00000107643","C9J762","MAPK8",-0.193414375832326,1.15331175179652e-09,2.6874820969836e-09
"ENSG00000107968","P41279","MAP3K8",0.220547988099104,0.103968769168932,0.132633365484586
"ENSG00000108443","K7ER06","RPS6KB1",0.345649188384265,2.65689861996278e-24,1.74449350043851e-23
"ENSG00000108984","P52564","MAP2K6",-0.104355438685321,0.00606239917312509,0.00897306768965285
"ENSG00000109339","P53779","MAPK10",0.480414164928857,0.951912264843275,0.96083644232618
"ENSG00000110931","Q96RR4","CAMKK2",0.324417418578008,1.44090391977042e-23,8.68096928318968e-23
"ENSG00000111816","P42685","FRK",-0.500222171274917,8.53089571014102e-21,3.88448652776908e-20
"ENSG00000112062","Q16539","MAPK14",0.150175899394277,5.51648393149408e-13,1.54637608079648e-12
"ENSG00000112079","Q15208","STK38",0.268454457871968,1.0535085864539e-23,6.44791043775236e-23
"ENSG00000112739","Q13523","PRPF4B",-0.0461666364695503,0.0153645836965849,0.0217449578168064
"ENSG00000113240",NA,"CLK4",0.568701547112438,0.1490262990704,0.185458654311697
"ENSG00000113712","P48729","CSNK1A1",-0.141319281843515,1.78481146917551e-09,4.11023855585427e-09
"ENSG00000113721","P09619","PDGFRB",-0.330834892228868,1.7336800110239e-12,4.70060599793726e-12
"ENSG00000114738",NA,"MAPKAPK3",0.0940829589027175,0.00537305326813229,0.00798817852617796
"ENSG00000115085","P43403","ZAP70",0.621627574994417,1.7143186652198e-17,6.24199010721667e-17
"ENSG00000115661","O75716","STK16",0.0332693062900873,0.240171466732368,0.286665502013494
"ENSG00000115687","Q96RG2","PASK",2.30693783854152,0.0656089710460469,0.0861225258369254
"ENSG00000115694","O00506","STK25",-0.183581489032296,7.63977208017917e-14,2.24134303659051e-13
"ENSG00000115825","O94806","PRKD3",-0.451949550713177,0.172652001580192,0.212300686702991
"ENSG00000115977","A0A096LP25","AAK1",-0.26639387007371,6.63677133132827e-20,2.81823542580958e-19
"ENSG00000116106",NA,"EPHA4",-2.65486532621484,0.0917589489625274,0.118004412530412
"ENSG00000116141","Q9P0L2","MARK1",-0.328939231622002,0.107104847309275,0.136304122535304
"ENSG00000117020","Q9Y243","AKT3",0.191444448898615,2.64234554772427e-06,5.04246349711513e-06
"ENSG00000117676","E9PPC1","RPS6KA1",-0.38977565498406,4.86448001009496e-22,2.47500194822565e-21
"ENSG00000118046","A0A087WT72","STK11",0.3804936691729,0.0384634800186021,0.0520101047165784
"ENSG00000119408","Q9HC98","NEK6",1.0143560211202,4.28586121623336e-29,1.05961304588011e-27
"ENSG00000119638","Q8TD19","NEK9",0.110915170876442,1.23972418103958e-05,2.26603837618644e-05
"ENSG00000120156","Q02763","TEK",-1.54000954983498,0.00120222792078336,0.00189812490867294
"ENSG00000120899","Q14289","PTK2B",0.0293652044267674,0.924913747092242,0.937839124013632
"ENSG00000122966","O14578","CIT",0.894595195981609,5.58798468492947e-23,3.1398704068574e-22
"ENSG00000123143","K7EPK3","PKN1",0.531410413665714,2.89703717232455e-30,2.1173746866048e-28
"ENSG00000123374","P24941","CDK2",0.503384511537277,3.59175216012223e-27,3.85468535683857e-26
"ENSG00000123572","Q7Z2Y5","NRK",-1.46222096745671,0.00329793531642682,0.0050079202795544
"ENSG00000126562","Q96J92","WNK4",-1.38431182128662,0.0664249962143211,0.0871023424690934
