"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000000003","O43657","TSPAN6",1.1235007233465,2.95091128854598e-27,2.66526307581473e-26
"ENSG00000000419","O60762","DPM1",0.17562146791817,3.14803541360476e-08,6.96342472954502e-08
"ENSG00000000457","Q8IZE3","SCYL3",0.267301797916815,2.10817558650121e-11,5.68185781131502e-11
"ENSG00000000460",NA,"C1orf112",-0.0485150809572676,0.795242295255474,0.830476876647331
"ENSG00000000938","P09769","FGR",-0.57588387615484,1.43648173122624e-18,6.0088472565929e-18
"ENSG00000000971","P08603","CFH",-0.667913019791328,1.52190179001026e-22,8.65169748701703e-22
"ENSG00000001036","Q9BTY2","FUCA2",0.411226733568256,6.32569715912663e-11,1.65931972412964e-10
"ENSG00000001084",NA,"GCLC",-0.563049370589681,7.91019162510863e-17,2.93769945550909e-16
"ENSG00000001167","P23511","NFYA",-0.366714694016967,1.22652794342186e-10,3.16080814454069e-10
"ENSG00000001461","Q6P499","NIPAL3",0.0284117012878973,0.00287958954121541,0.00447249496771522
"ENSG00000001497","Q9Y4W2","LAS1L",0.356630661204164,2.34512822643193e-28,2.45152756263116e-27
"ENSG00000001561","Q9Y6X5","ENPP4",-0.0336563142066773,0.167568928422949,0.20918323771507
"ENSG00000001617","C9J1V2","SEMA3F",-0.414080107081535,2.06499440791629e-07,4.34796472685098e-07
"ENSG00000001626",NA,"CFTR",-0.720544779790362,0.0216239319647138,0.0306239578376341
"ENSG00000001629","Q9P2G1","ANKIB1",-0.0837813564976848,2.63575541168686e-05,4.81048797250965e-05
"ENSG00000001630","A0A0C4DFL7","CYP51A1",-0.405259201210164,5.16814554646572e-11,1.36232461404618e-10
"ENSG00000002016","P43351","RAD52",-0.399283210576528,0.709799644895634,0.755504665868927
"ENSG00000002330","Q92934","BAD",0.0841849887897617,0.0357566614410763,0.0492909288974055
"ENSG00000002549","P28838","LAP3",-0.137695497785188,0.0199557607463161,0.0283539565600188
"ENSG00000002586","P14209","CD99",-0.441102577494384,2.27483769134465e-17,8.75952166960475e-17
"ENSG00000002587","O14792","HS3ST1",0.611030435463974,0.130872782758931,0.166616341604457
"ENSG00000002726","P19801","AOC1",0.344781044433397,0.112506984408454,0.144620727994016
"ENSG00000002822",NA,"MAD1L1",0.161271856534324,1.82952987829169e-16,6.63094456690632e-16
"ENSG00000002834","Q14847","LASP1",-0.144726562174899,2.51024954677799e-07,5.2521714942779e-07
"ENSG00000002919","J3QRB9","SNX11",0.0563340167533717,0.0774955856692877,0.10212736806423
"ENSG00000002933","Q96HP8","TMEM176A",-0.42349323169354,0.109956131464212,0.141599717603622
"ENSG00000003056","H0YFL0","M6PR",0.172595377787605,1.20291896810544e-06,2.3986144736684e-06
"ENSG00000003147","Q05084","ICA1",0.402792566570152,3.4297182363221e-13,1.01764832820175e-12
"ENSG00000003249","Q9H9R9","DBNDD1",0.181477627653608,0.498804438418862,0.558791636212439
"ENSG00000003393","Q96Q42","ALS2",-0.153608934844822,1.63513972799962e-08,3.69066923812788e-08
"ENSG00000003400","Q92851","CASP10",0.069940084522262,0.0908135393445306,0.118502642071169
"ENSG00000003402","O15519","CFLAR",-0.450606851106901,5.95981457426809e-20,2.76784477760126e-19
"ENSG00000003436","P10646","TFPI",-0.368894243609404,6.63890002831779e-08,1.44307241662895e-07
"ENSG00000003509","B4E0W7","NDUFAF7",-0.0340771650222997,0.261698822858617,0.314283556012529
"ENSG00000003756","P52756","RBM5",0.0981438984631033,6.43426653110281e-06,1.22212094778181e-05
"ENSG00000003989","P52569","SLC7A2",0.55131630596197,0.595127155554217,0.650182464312668
"ENSG00000004059","P84085","ARF5",0.372738691670563,2.10212390862406e-24,1.39523685645888e-23
"ENSG00000004139",NA,"SARM1",-0.367885933444445,5.18316529407914e-19,2.24120781961522e-18
"ENSG00000004142","Q9Y2S7","POLDIP2",0.462372116803,4.38215735650451e-23,2.60666789014415e-22
"ENSG00000004399","Q9Y4D7","PLXND1",-0.449710051661572,3.15945412359637e-22,1.75197627973492e-21
"ENSG00000004455","P54819","AK2",0.378822285302917,1.63199338513444e-12,4.68120053815239e-12
"ENSG00000004468","P28907","CD38",0.555925497874838,3.66363403547057e-11,9.72318482850558e-11
"ENSG00000004478","Q02790","FKBP4",0.536831272621935,8.72890140677118e-24,5.49633557626585e-23
"ENSG00000004487","O60341","KDM1A",0.203850730491808,3.08185194013357e-16,1.10317401408079e-15
"ENSG00000004660","J3KPJ3","CAMKK1",-0.0197760289235092,7.66080160804938e-06,1.45069523909556e-05
"ENSG00000004700","P46063","RECQL",0.00844701979820428,0.508977131589162,0.568158178331188
"ENSG00000004766","Q96JG6","VPS50",-0.0303515824769249,0.00816409535788146,0.0121263829220473
"ENSG00000004776","O14558","HSPB6",-1.6127462626772,1.39802695799258e-33,1.11152988420677e-31
"ENSG00000004779","O14561","NDUFAB1",0.320939577174236,3.93055255067188e-18,1.59396330090106e-17
"ENSG00000004799","Q16654","PDK4",-1.04455338630199,5.42644470743048e-24,3.48688450466079e-23
"ENSG00000004838",NA,"ZMYND10",-1.0113077588445,6.02835015872064e-16,2.10451679938021e-15
"ENSG00000004864","Q9UJS0","SLC25A13",0.631389410465019,4.29218349249075e-19,1.87244017118318e-18
"ENSG00000004866","E9PCV1","ST7",0.298182308193995,0.00697630232010774,0.0104196921807139
"ENSG00000004897","P30260","CDC27",0.178733215888432,1.05239548593802e-10,2.72137998997715e-10
"ENSG00000004939","P02730","SLC4A1",-1.72305869377826,6.27685422120081e-31,1.13203968302488e-29
"ENSG00000004961","P53701","HCCS",0.659651426118469,7.00345445332502e-30,9.58412130642903e-29
"ENSG00000004975","O14641","DVL2",-0.121302379064904,2.6490906370816e-08,5.88976630418496e-08
"ENSG00000005001","Q9GZN4","PRSS22",0.646811033128088,0.0933955190402594,0.121745226875018
"ENSG00000005007","Q92900","UPF1",0.169541239500628,1.75192132603644e-21,9.14010710302745e-21
"ENSG00000005020","O75563","SKAP2",-0.357805306607311,2.34624336415646e-13,7.0374834169305e-13
"ENSG00000005022","P05141","SLC25A5",0.684735744336614,2.10212390862406e-24,1.39523685645888e-23
"ENSG00000005059","Q9NWR8","MCUB",0.335410766306978,3.88820292463236e-08,8.5520769567698e-08
"ENSG00000005100","Q9H6R0","DHX33",0.110289518598943,0.00649249885336731,0.0097292689214915
"ENSG00000005108","Q9UPZ6","THSD7A",-0.911833519828907,3.41206369491657e-30,4.94508332677895e-29
"ENSG00000005156","P49916","LIG3",0.430287407889065,5.65429402466259e-23,3.33178390075369e-22
"ENSG00000005175","Q9H6T3","RPAP3",0.40725346471142,5.78760553974957e-31,1.05902863117946e-29
"ENSG00000005187","H3BT38","ACSM3",0.228587762046153,0.0290171576438733,0.0404748838397985
"ENSG00000005194","Q6FI81","CIAPIN1",0.522477095988169,1.35137961862981e-32,4.87446514195863e-31
"ENSG00000005206",NA,"SPPL2B",-0.307553801471748,0.197873314519235,0.24348661808416
"ENSG00000005243",NA,"COPZ2",0.0472056309427344,0.808327905012837,0.842505728175308
"ENSG00000005249","P31323","PRKAR2B",-0.76412247917532,3.08840802708514e-22,1.71342145581284e-21
"ENSG00000005302","Q8N5Y2","MSL3",-0.0973495178471744,0.0747936365593563,0.0988475393678936
"ENSG00000005339","Q92793","CREBBP",0.122972978943992,2.40675739291031e-06,4.69702523179903e-06
"ENSG00000005381","P05164","MPO",-0.25010821261721,0.00147721237049123,0.00235428114947007
"ENSG00000005421","P27169","PON1",-1.12802995333593,1.71914477045468e-28,1.82416771225878e-27
"ENSG00000005436","S4R465","GCFC2",0.0559981203327453,0.125209760818192,0.159803097404181
"ENSG00000005448",NA,"WDR54",-0.367348791880513,8.80926812178223e-16,3.04241777592295e-15
"ENSG00000005469","Q9UKG9","CROT",-0.00653235558806031,0.842671426272404,0.871383074062598
"ENSG00000005483","Q8IZD2","KMT2E",-0.00708826084420977,0.793973204641938,0.829228259057121
"ENSG00000005486",NA,"RHBDD2",0.256556184203308,0.00271707706224349,0.0042299779416339
"ENSG00000005513","P57073","SOX8",2.69491783245713,1.68450786873322e-07,3.572814923539e-07
"ENSG00000005700","Q9P2D0","IBTK",0.205613024365427,5.11673277238821e-10,1.26767419355415e-09
"ENSG00000005801","E9PPF8","ZNF195",0.0335491275726914,0.957766035156242,0.965721044647135
"ENSG00000005810","O75592","MYCBP2",0.00664256783222328,0.952796738718393,0.961655210095714
"ENSG00000005812",NA,"FBXL3",-0.178400517879467,0.000717936446759682,0.00117829662507876
"ENSG00000005844","P20701","ITGAL",-0.419994680028442,4.16933360858918e-15,1.38080893050665e-14
"ENSG00000005882","Q15119","PDK2",-0.302444514968354,1.07062784670573e-13,3.28105005138646e-13
"ENSG00000005884","D6R9X8","ITGA3",-0.790172469121533,1.36859837755338e-26,1.14455375426501e-25
"ENSG00000005889",NA,"ZFX",0.313518289573445,9.80881491606256e-08,2.11097065197e-07
"ENSG00000005893","P13473","LAMP2",0.340892502294015,2.16843456799984e-08,4.84880694646826e-08
"ENSG00000005961","K7EKA6","ITGA2B",-1.30479310805634,2.05228962637678e-30,3.19150824818097e-29
"ENSG00000006007","Q9NZC3","GDE1",-0.139420562515451,0.000192020652624434,0.000328920219713224
"ENSG00000006015",NA,"C19orf60",0.253606488927558,0.975295032001052,0.979895070863387
"ENSG00000006016",NA,"CRLF1",0.435701728209203,0.156412825535046,0.196466089043329
"ENSG00000006025","Q9BZF2","OSBPL7",-0.0144364894332902,0.0106976083777996,0.0156904978954586
"ENSG00000006047","Q9Y2T7","YBX2",0.58351807871904,0.16776486450219,0.20940467885348
"ENSG00000006118",NA,"TMEM132A",0.14514646803821,0.0110643762509536,0.0161914203335406
"ENSG00000006125","K7ERB2","AP2B1",-0.119127949727876,8.22820085771314e-11,2.13751467288498e-10
"ENSG00000006210","P78423","CX3CL1",0.44949093465446,0.38076654895905,0.440636975988897
"ENSG00000006282","D6R947","SPATA20",0.224278499209241,2.69675579102866e-06,5.24485320942526e-06
"ENSG00000006327","I3L1J9","TNFRSF12A",1.08267027509152,3.72124111425617e-15,1.23858526473916e-14
"ENSG00000006451","P11233","RALA",-0.649394318436091,2.88372104691057e-23,1.74195883465064e-22
"ENSG00000006453","Q9UHR4","BAIAP2L1",0.881394987954423,2.28529105602659e-28,2.39340779429872e-27
"ENSG00000006459","Q6ZMT4","KDM7A",0.164480715795833,0.818261009485295,0.850816614209705
"ENSG00000006468","P50549","ETV1",-0.269544341571107,0.231522522363003,0.280972726806224
"ENSG00000006530","Q53H12","AGK",0.471638083084486,3.47389708928416e-23,2.08286235464781e-22
"ENSG00000006534","P43353","ALDH3B1",-0.988954838639938,3.41380619449198e-29,4.10894157098235e-28
"ENSG00000006555","Q5TAA0","TTC22",0.153660487456463,0.629110778212618,0.681768159533544
"ENSG00000006607","O94887","FARP2",0.000951362815325041,0.185388645129206,0.229550099090671
"ENSG00000006625","A0A0B4J1Y4","GGCT",0.491949972171088,1.42384395592908e-14,4.58636184377726e-14
"ENSG00000006652","C9J311","IFRD1",-0.229987096985298,0.817155013892256,0.850103767004293
"ENSG00000006704","Q9UHL9","GTF2IRD1",0.757223168057717,0.00250582500735739,0.00391296878742253
"ENSG00000006712","Q8N7H5","PAF1",0.333713872805244,1.07047618738877e-29,1.40531118088595e-28
"ENSG00000006715","P49754","VPS41",-0.101088875157163,4.24460889642121e-05,7.62233727383418e-05
"ENSG00000006740","Q17R89","ARHGAP44",-1.03523181749969,6.35373866852019e-32,1.61927109633393e-30
"ENSG00000006744",NA,"ELAC2",0.078272935663243,0.0881850871151317,0.115259276861523
"ENSG00000006747","Q9Y6U3","SCIN",0.495218684998239,0.00488277395599443,0.00740450207698819
"ENSG00000006756","P51689","ARSD",0.134857788704469,0.165435155746893,0.206862654599892
"ENSG00000006757","P41247","PNPLA4",-0.180792943174104,1.89315057085453e-05,3.49185916434367e-05
