"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000000938","P09769","FGR",-0.57588387615484,1.43648173122624e-18,6.0088472565929e-18
"ENSG00000004660","J3KPJ3","CAMKK1",-0.0197760289235092,7.66080160804938e-06,1.45069523909556e-05
"ENSG00000004799","Q16654","PDK4",-1.04455338630199,5.42644470743048e-24,3.48688450466079e-23
"ENSG00000005882","Q15119","PDK2",-0.302444514968354,1.07062784670573e-13,3.28105005138646e-13
"ENSG00000007047","K7EK17","MARK4",-0.0899147473627249,0.62089779354307,0.673967511691305
"ENSG00000007264","P42679","MATK",-0.297651424379907,0.192106500862449,0.237114069611572
"ENSG00000008086","O76039","CDKL5",-0.282163972968124,5.8532239374259e-11,1.53895897190355e-10
"ENSG00000009954","Q9UIG0","BAZ1B",0.25924663681311,4.57329901300276e-15,1.51104904468251e-14
"ENSG00000010671","Q06187","BTK",-0.239775384607668,5.98494601782473e-08,1.30393748632268e-07
"ENSG00000010810","P06241","FYN",-0.752963619114873,2.76693173374854e-29,3.38447012719621e-28
"ENSG00000011566","Q8IVH8","MAP4K3",-0.0229872789215726,0.186934602902524,0.231236076122438
"ENSG00000012983",NA,"MAP4K5",0.081193903207545,0.0265497885429919,0.0371802422042147
"ENSG00000013441","P49759","CLK1",0.0408608117977902,0.00283115255530233,0.00440029079699385
"ENSG00000027075","G3V4L3","PRKCH",-0.658876725666186,5.33623433353085e-31,9.99105897604697e-30
"ENSG00000028116","Q86Y07","VRK2",0.242198228415994,9.88816919362761e-09,2.25940963764533e-08
"ENSG00000034152","X6RB39","MAP2K3",-0.0749982468792929,0.00153747023061088,0.0024447942117742
"ENSG00000035664","H0YMK1","DAPK2",-0.730304979058349,3.19658581019047e-28,3.27193597434727e-27
"ENSG00000037280",NA,"FLT4",-0.169488822483025,0.0823111129838818,0.108145288675436
"ENSG00000044524","P29320","EPHA3",-0.145824344312033,0.910139223984881,0.927556584111691
"ENSG00000050748","P45984","MAPK9",-0.202614251296151,3.86801781603348e-13,1.14379049615029e-12
"ENSG00000055332","P19525","EIF2AK2",0.287118191562897,2.01560660724102e-16,7.28431453129038e-16
"ENSG00000058091","C9IYJ9","CDK14",-0.48934540848277,4.74241546956351e-26,3.74680690352498e-25
"ENSG00000058404","Q13554","CAMK2B",-0.515499622852321,0.0222607659968849,0.0314784629389817
"ENSG00000060237","F5GWT4","WNK1",-0.0330169645581009,0.0144623873089605,0.0208825108988571
"ENSG00000061938","H0Y5H7","TNK2",-0.372527925661213,1.15174504226278e-10,2.97488023956687e-10
"ENSG00000065243","B1AL79","PKN2",-0.106040206497347,2.71807386139542e-05,4.95672006059672e-05
"ENSG00000065534","Q15746","MYLK",-0.96896815590247,1.37197885636358e-30,2.23838746941399e-29
"ENSG00000065559","P45985","MAP2K4",-0.0122132106859389,0.58140980404828,0.636983666929169
