"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000000003","O43657","TSPAN6",0.564936824155275,6.10734681117548e-16,1.61436848593496e-15
"ENSG00000000419","O60762","DPM1",0.0669233226951818,0.070548413315604,0.0888437723456906
"ENSG00000000457","Q8IZE3","SCYL3",0.196751294217837,2.19583758318536e-09,4.31905518282792e-09
"ENSG00000000460",NA,"C1orf112",0.329942924365167,0.0302468625039471,0.0394230274318187
"ENSG00000000938","P09769","FGR",-0.513869774808061,2.55469892792804e-11,5.50487366427824e-11
"ENSG00000000971","P08603","CFH",-0.855497679550727,1.21017564660997e-25,5.40425802596855e-25
"ENSG00000001036","Q9BTY2","FUCA2",0.0387908192705133,0.0824995609680988,0.103122261963733
"ENSG00000001084",NA,"GCLC",0.524311535799281,6.24099252924807e-05,9.84513436362026e-05
"ENSG00000001167","P23511","NFYA",0.0248941531210498,0.0993334596737838,0.122834277130996
"ENSG00000001461","Q6P499","NIPAL3",-0.178330040249659,3.24489670602374e-05,5.21024047043026e-05
"ENSG00000001497","Q9Y4W2","LAS1L",0.566199421809024,3.70245057596397e-33,4.68817827769373e-32
"ENSG00000001561","Q9Y6X5","ENPP4",-0.927925665013085,3.96808843854945e-34,7.59808283778183e-33
"ENSG00000001617","C9J1V2","SEMA3F",0.105803803659789,0.0914913367028983,0.113626026261689
"ENSG00000001626",NA,"CFTR",-0.457826473059731,9.02210473898755e-08,1.64975629512915e-07
"ENSG00000001629","Q9P2G1","ANKIB1",-0.0833315195339033,7.44190925079117e-05,0.000116972668629627
"ENSG00000001630","A0A0C4DFL7","CYP51A1",-0.560266028955496,8.26355955566016e-18,2.37287679413446e-17
"ENSG00000002016","P43351","RAD52",0.177999014022375,0.600022782959873,0.647650622560538
"ENSG00000002330","Q92934","BAD",-0.174057137394403,2.96336215064152e-08,5.53737744937394e-08
"ENSG00000002549","P28838","LAP3",-0.137821569528032,0.0178753092507718,0.0238148706569849
"ENSG00000002586","P14209","CD99",-0.357822711734386,8.61287656767052e-13,1.97363756491317e-12
"ENSG00000002587","O14792","HS3ST1",0.706583518706347,0.103189314280123,0.127380995434995
"ENSG00000002726","P19801","AOC1",-0.0763863187351284,0.0127221141574751,0.0171806899447738
"ENSG00000002822",NA,"MAD1L1",0.314265757587354,1.32698574861035e-30,9.82804036203487e-30
"ENSG00000002834","Q14847","LASP1",-0.394668577001269,1.54466401007159e-24,6.40717273075132e-24
"ENSG00000002919","J3QRB9","SNX11",-0.0508285885750581,0.0639528608466758,0.0808230188163184
"ENSG00000002933","Q96HP8","TMEM176A",0.327722862502506,0.304300370271963,0.351662528000259
"ENSG00000003056","H0YFL0","M6PR",0.21670094110155,2.53187772071859e-09,4.97254703788894e-09
"ENSG00000003096","A0A0C4DG99","KLHL13",0.0232123169370428,0.505624942578314,0.557304317091185
"ENSG00000003147","Q05084","ICA1",-0.445632509207233,1.4520799677157e-18,4.33782184165908e-18
"ENSG00000003393","Q96Q42","ALS2",-0.276953347248813,1.96892454284398e-22,7.20735325350659e-22
"ENSG00000003400","Q92851","CASP10",-0.113615810338047,0.0479349519167881,0.0613500699676228
"ENSG00000003402","O15519","CFLAR",-0.614858837852044,8.39160185924635e-31,6.3508678338358e-30
"ENSG00000003436","P10646","TFPI",-1.1336654905842,1.12007911543696e-26,5.36835639535437e-26
"ENSG00000003509","B4E0W7","NDUFAF7",0.19653961480309,0.000321905897699798,0.000486619236368783
"ENSG00000003756","P52756","RBM5",0.156974170254234,6.8782771496829e-14,1.65472097476335e-13
"ENSG00000004059","P84085","ARF5",0.28890301070621,9.99827034421553e-19,3.01278484067252e-18
"ENSG00000004139",NA,"SARM1",-0.24017334663256,6.48472329152633e-09,1.2490039496404e-08
"ENSG00000004142","Q9Y2S7","POLDIP2",0.584700430529807,3.14190052811553e-29,1.94118681107495e-28
"ENSG00000004399","Q9Y4D7","PLXND1",-0.818053990180587,7.11596824176968e-35,2.18223026080937e-33
"ENSG00000004455","P54819","AK2",-0.137288310210803,2.01093848827691e-05,3.26541804163663e-05
"ENSG00000004468","P28907","CD38",0.656039888169783,1.04420672949207e-11,2.28094573298063e-11
"ENSG00000004478","Q02790","FKBP4",1.0658012621146,6.91391223267508e-35,2.17115281205285e-33
"ENSG00000004487","O60341","KDM1A",0.404948162344535,1.28200236523615e-29,8.38714436278939e-29
"ENSG00000004534","P78332","RBM6",0.260850767768769,9.08825781397506e-21,3.03268132664693e-20
"ENSG00000004660","J3KPJ3","CAMKK1",-0.209019713625526,1.11656797993182e-07,2.03194321305472e-07
"ENSG00000004700","P46063","RECQL",0.334639698779601,8.6142467108815e-23,3.21423856994108e-22
"ENSG00000004766","Q96JG6","VPS50",-0.174792819859412,8.28002645471976e-16,2.17646409666919e-15
"ENSG00000004776","O14558","HSPB6",-2.0643594614965,3.99566247296969e-35,1.82612448662661e-33
"ENSG00000004779","O14561","NDUFAB1",0.268576460030783,2.47536333804258e-12,5.5544738317053e-12
"ENSG00000004799","Q16654","PDK4",-0.883659887929557,1.15722186574523e-05,1.89850162872886e-05
"ENSG00000004838",NA,"ZMYND10",-0.938108681938662,7.79768503472094e-07,1.3644210842329e-06
"ENSG00000004864","Q9UJS0","SLC25A13",0.757836317658878,6.06578874918354e-28,3.2468512868357e-27
"ENSG00000004866","E9PCV1","ST7",0.688398206199828,1.29360675404432e-05,2.11753032188295e-05
"ENSG00000004897","P30260","CDC27",0.411677991190537,1.06513421138849e-29,7.02690222594448e-29
"ENSG00000004939","P02730","SLC4A1",-2.09625039631661,1.30628344754324e-33,1.91090607183469e-32
"ENSG00000004961","P53701","HCCS",0.568813229281851,7.25853206563092e-28,3.8520267510081e-27
"ENSG00000004975","O14641","DVL2",-0.00707436466994693,0.214388945429084,0.254065031837868
"ENSG00000005001","Q9GZN4","PRSS22",0.728423284159355,6.11144833461145e-05,9.64594767301762e-05
"ENSG00000005007","Q92900","UPF1",0.317020428152631,2.09515091931919e-30,1.51179517315581e-29
"ENSG00000005020","O75563","SKAP2",-0.32448774141908,1.07909035582543e-08,2.06087707268897e-08
"ENSG00000005022","P05141","SLC25A5",0.79138168837898,8.25022621330627e-28,4.35671138510738e-27
"ENSG00000005059","Q9NWR8","MCUB",0.217825973151619,1.21186347061435e-06,2.09958867587974e-06
"ENSG00000005100","Q9H6R0","DHX33",0.395635404859839,5.51867989844688e-20,1.77030712296678e-19
"ENSG00000005108","Q9UPZ6","THSD7A",-1.33581066914909,2.53360260778794e-32,2.59215502252917e-31
"ENSG00000005156","P49916","LIG3",0.703770914509562,1.66981737660805e-29,1.07511041153288e-28
"ENSG00000005175","Q9H6T3","RPAP3",0.553804660249661,2.99169213657827e-35,1.80514284054031e-33
"ENSG00000005187","H3BT38","ACSM3",-0.818030415357931,1.50779366934124e-19,4.71726308452774e-19
"ENSG00000005194","Q6FI81","CIAPIN1",0.673768463980537,4.08271864441957e-34,7.69249516106958e-33
"ENSG00000005206",NA,"SPPL2B",0.34066616005984,0.0449217661557815,0.0576063071164633
"ENSG00000005243",NA,"COPZ2",0.40270513595463,1.05352621057996e-09,2.10419346265088e-09
"ENSG00000005249","P31323","PRKAR2B",-1.00878581714596,1.43852656610145e-30,1.0600806534675e-29
"ENSG00000005302","Q8N5Y2","MSL3",0.294144527564413,1.03719500754856e-12,2.36981148794952e-12
"ENSG00000005339","Q92793","CREBBP",0.200090241208553,1.41477939598183e-13,3.35625345831629e-13
"ENSG00000005381","P05164","MPO",0.29802240564737,0.0079019739947278,0.0108403594783218
"ENSG00000005421","P27169","PON1",-1.31205126165435,6.26355134927224e-30,4.24393444700977e-29
"ENSG00000005436","S4R465","GCFC2",0.320391927336765,3.03012805348277e-14,7.41537571858128e-14
"ENSG00000005448",NA,"WDR54",-0.476393669390099,1.88672502511421e-21,6.5328062028065e-21
"ENSG00000005469","Q9UKG9","CROT",0.194468535275576,0.000430983253943905,0.000645378789222206
"ENSG00000005483","Q8IZD2","KMT2E",-0.0397066957609375,0.122132036723752,0.149519374618869
"ENSG00000005486",NA,"RHBDD2",0.183076197643015,0.0500704675764619,0.0639303725664551
"ENSG00000005513","P57073","SOX8",-0.208372838251551,0.322574853984337,0.371106045380965
"ENSG00000005700","Q9P2D0","IBTK",-0.0130521727565487,0.453776765178955,0.505407659769921
"ENSG00000005801","E9PPF8","ZNF195",0.0692550987527154,0.30137936361247,0.348663266126383
"ENSG00000005810","O75592","MYCBP2",0.0993880719734079,0.000129731033593846,0.000200434617108518
"ENSG00000005812",NA,"FBXL3",-0.106692863145256,2.85627154185921e-06,4.842420627258e-06
"ENSG00000005844","P20701","ITGAL",-0.501695678943957,2.00857466214715e-15,5.18137463777544e-15
"ENSG00000005882","Q15119","PDK2",-0.559596665133537,1.15026582864945e-27,5.99359752131678e-27
"ENSG00000005884","D6R9X8","ITGA3",-1.02800254389524,7.65257563918542e-29,4.51486626889015e-28
"ENSG00000005889",NA,"ZFX",0.134138628248774,0.2427418588794,0.285767082891514
"ENSG00000005893","P13473","LAMP2",0.28043888358356,1.47558655819754e-08,2.79859998539768e-08
"ENSG00000005961","K7EKA6","ITGA2B",-1.35449329238346,7.8487003475294e-32,7.16482909244234e-31
"ENSG00000006007","Q9NZC3","GDE1",-0.383357128091461,4.80156893998302e-17,1.33231092924694e-16
"ENSG00000006015",NA,"C19orf60",0.106097013155395,0.315386140682503,0.363403834899917
"ENSG00000006016",NA,"CRLF1",0.0220222075840955,0.416847390615963,0.468966464555964
"ENSG00000006025","Q9BZF2","OSBPL7",-0.406733519707938,1.83505950727827e-25,8.07234245711949e-25
"ENSG00000006047","Q9Y2T7","YBX2",0.963012000717166,0.00522170768208815,0.00726670168568542
"ENSG00000006118",NA,"TMEM132A",0.416566523982766,3.2793968769719e-12,7.31543429119551e-12
"ENSG00000006125","K7ERB2","AP2B1",-0.35544640730917,6.94543514674228e-31,5.32136917944288e-30
"ENSG00000006194","B4DI05","ZNF263",-0.0356137690264102,0.663296246970598,0.708735741250863
"ENSG00000006210","P78423","CX3CL1",0.512260292263427,0.00391228502827973,0.0054997097401244
