"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000000938","P09769","FGR",-0.513869774808061,2.55469892792804e-11,5.50487366427824e-11
"ENSG00000004660","J3KPJ3","CAMKK1",-0.209019713625526,1.11656797993182e-07,2.03194321305472e-07
"ENSG00000004799","Q16654","PDK4",-0.883659887929557,1.15722186574523e-05,1.89850162872886e-05
"ENSG00000005882","Q15119","PDK2",-0.559596665133537,1.15026582864945e-27,5.99359752131678e-27
"ENSG00000007047","K7EK17","MARK4",0.0441773832140875,0.831453851994955,0.858651281337595
"ENSG00000007264","P42679","MATK",0.182995657126774,0.194749041062302,0.232074955226641
"ENSG00000008086","O76039","CDKL5",-0.404591541565349,1.33672100294942e-18,4.00132855382116e-18
"ENSG00000009954","Q9UIG0","BAZ1B",0.533101009068847,5.3390514572271e-30,3.63846469677698e-29
"ENSG00000010671","Q06187","BTK",-0.493193386311127,2.04654349764319e-15,5.273544032439e-15
"ENSG00000010810","P06241","FYN",-0.749173310688434,3.77489034777038e-30,2.62105593958396e-29
"ENSG00000011566","Q8IVH8","MAP4K3",-0.00997611979800084,0.697213399348723,0.739940968883432
"ENSG00000012983",NA,"MAP4K5",0.12352103855288,0.000680709388563279,0.00100691292045235
"ENSG00000013441","P49759","CLK1",0.289078047376478,2.6145912583346e-05,4.21888553824997e-05
"ENSG00000027075","G3V4L3","PRKCH",-0.739038855223786,8.10526092561646e-33,9.41297363511434e-32
"ENSG00000028116","Q86Y07","VRK2",0.514797567369598,4.6925766250329e-21,1.59295999816626e-20
"ENSG00000034152","X6RB39","MAP2K3",-0.112867095076918,3.25684667740572e-06,5.5033184779925e-06
"ENSG00000035664","H0YMK1","DAPK2",-1.13860450164371,7.41552566294063e-34,1.22820295649492e-32
"ENSG00000037280",NA,"FLT4",-0.674630439881277,4.18077287736442e-17,1.16444610699724e-16
"ENSG00000044524","P29320","EPHA3",-0.263912277337503,0.194650788683568,0.232004826673856
"ENSG00000050748","P45984","MAPK9",-0.514413988174216,9.85261016446552e-33,1.10184555837366e-31
"ENSG00000055332","P19525","EIF2AK2",0.598567040306822,2.82833956685548e-29,1.75760035563536e-28
"ENSG00000058091","C9IYJ9","CDK14",-0.52485660173727,1.90276096767968e-23,7.36827134343831e-23
"ENSG00000058404","Q13554","CAMK2B",0.000560700529136149,0.347461056110998,0.397175441347614
"ENSG00000060237","F5GWT4","WNK1",-0.145665943884133,1.12207542703698e-10,2.34991289859283e-10
"ENSG00000061938","H0Y5H7","TNK2",-0.0314545335080254,0.266351036924566,0.311381893261559
"ENSG00000064393","Q9H2X6","HIPK2",0.319649296785935,0.330660010235863,0.379591760629511
"ENSG00000065243","B1AL79","PKN2",-0.0966721285609502,8.89048854681936e-06,1.46671887261621e-05
"ENSG00000065534","Q15746","MYLK",-1.4367396064144,5.18196412760218e-35,1.93110156856466e-33
"ENSG00000065559","P45985","MAP2K4",-0.124562315433906,5.15075847099278e-08,9.51157781941524e-08
"ENSG00000065675","Q04759","PRKCQ",-0.442273831491121,7.7036594500516e-17,2.1190911862604e-16
"ENSG00000066468","P21802","FGFR2",0.417207931383452,5.56709165245156e-05,8.8103845315508e-05
"ENSG00000067606","Q05513","PRKCZ",-1.14384936094977,4.23345775177535e-35,1.82612448662661e-33
"ENSG00000067900","Q13464","ROCK1",-0.398216241267782,2.80205207597568e-28,1.55866628468066e-27
"ENSG00000067992","Q15120","PDK3",0.0720590915783603,0.188981918073018,0.225521997084299
"ENSG00000068078","F8W9L4","FGFR3",0.676682128897168,0.0158590630328362,0.0212271341526119
"ENSG00000070759","Q96S53","TESK2",-0.142150229023414,0.000568731981345067,0.000845843371093648
"ENSG00000070770",NA,"CSNK2A2",-0.028324779322201,0.028237291053757,0.0368936357981851
"ENSG00000071054","E7ETN6","MAP4K4",0.0406339519464254,0.233856443984787,0.275692610307824
"ENSG00000071242","Q15349","RPS6KA2",-0.489571611834565,0.000892876651899876,0.00131103683949787
"ENSG00000072062","P17612","PRKACA",-0.428235062658665,4.57242056416015e-28,2.48476347778264e-27
