"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000000003","O43657","TSPAN6",-0.744786560826853,2.54979724283167e-08,1.23728666974954e-07
"ENSG00000000419","O60762","DPM1",-0.546919058406843,1.37128921137878e-06,4.96743020725412e-06
"ENSG00000000457","Q8IZE3","SCYL3",-0.428006390237702,4.42552684560284e-07,1.72062310052371e-06
"ENSG00000000938","P09769","FGR",0.581204556431754,0.0300560809556673,0.0526137201525261
"ENSG00000000971","P08603","CFH",0.813892625636953,2.18538343776241e-12,2.65177305286332e-11
"ENSG00000001036","Q9BTY2","FUCA2",-0.0201152677494143,0.512212071076476,0.622419369650618
"ENSG00000001084",NA,"GCLC",-0.429919137663269,1.06385479030699e-12,1.40351259575396e-11
"ENSG00000001167","P23511","NFYA",-0.4288641649329,0.943453708752482,0.963033747439064
"ENSG00000001497","Q9Y4W2","LAS1L",-0.00259344816880969,0.691072843029907,0.780161564967021
"ENSG00000001561","Q9Y6X5","ENPP4",0.32170030135369,3.4350102364722e-05,0.000100879778886772
"ENSG00000001626",NA,"CFTR",-1.81886649987577,6.61498632691876e-17,5.03932642589029e-15
"ENSG00000001629","Q9P2G1","ANKIB1",0.0103900431270887,0.329156859388474,0.435096842703721
"ENSG00000001630","A0A0C4DFL7","CYP51A1",-0.547395814081007,2.38908534644374e-07,9.72527630782158e-07
"ENSG00000002330","Q92934","BAD",0.183904370680164,0.0625805094718025,0.102466988036248
"ENSG00000002549","P28838","LAP3",0.414603861667878,6.86989261290909e-10,4.60355502341236e-09
"ENSG00000002586","P14209","CD99",-0.483286061801177,3.53958470708815e-10,2.53091547298639e-09
"ENSG00000002587","O14792","HS3ST1",0.906957385961178,0.0572548773579543,0.094556873250333
"ENSG00000002726","P19801","AOC1",0.815667735156172,6.85073636989827e-09,3.72180487398441e-08
"ENSG00000002822",NA,"MAD1L1",0.189185355698534,7.11743361690674e-07,2.67583812269013e-06
"ENSG00000002834","Q14847","LASP1",0.628362576930162,2.03175010771359e-13,3.34726700672425e-12
"ENSG00000002919","J3QRB9","SNX11",-0.590358675996864,0.630572447300158,0.727832448378706
"ENSG00000003056","H0YFL0","M6PR",-0.103939529950932,0.121125596404784,0.18429862483455
"ENSG00000003096","A0A0C4DG99","KLHL13",-2.03161765039413,0.132073017236347,0.199131519440278
"ENSG00000003147","Q05084","ICA1",-0.569201101824927,5.13803430125095e-10,3.5270029498831e-09
"ENSG00000003393","Q96Q42","ALS2",-0.566811923161051,0.0519878681152381,0.0867349052764026
"ENSG00000003400","Q92851","CASP10",0.39288485325558,1.01752201392598e-09,6.54573526672891e-09
"ENSG00000003402","O15519","CFLAR",-0.439223459847423,0.182678045724051,0.265323101960448
"ENSG00000003436","P10646","TFPI",0.834039916704167,1.54455075669486e-11,1.51935808415847e-10
"ENSG00000003509","B4E0W7","NDUFAF7",-0.179039178925361,0.0258571586430265,0.0458015264634867
"ENSG00000003756","P52756","RBM5",0.0203731094633852,0.859623695771698,0.904904653045075
"ENSG00000003987","Q9Y216","MTMR7",-0.277603293562416,0.849387531114753,0.898327039765391
"ENSG00000003989","P52569","SLC7A2",-1.0759398031288,0.0836992850255457,0.132796923877048
"ENSG00000004059","P84085","ARF5",-0.259728715214166,0.00022518163747768,0.000576729107918062
"ENSG00000004139",NA,"SARM1",-0.00346300930835497,0.610224266826486,0.71107444180402
"ENSG00000004142","Q9Y2S7","POLDIP2",-0.409203373653394,9.24521863497452e-08,4.03587053897293e-07
"ENSG00000004399","Q9Y4D7","PLXND1",0.103728754457748,0.423107916687696,0.533731251479051
"ENSG00000004455","P54819","AK2",-0.42141586069809,1.68703847026313e-11,1.63570084025895e-10
"ENSG00000004468","P28907","CD38",0.54187841642419,0.00159724303872532,0.00358080672747481
"ENSG00000004478","Q02790","FKBP4",-0.130674125848547,0.00130641383349533,0.00297652011715193
"ENSG00000004487","O60341","KDM1A",-0.0859268595037541,0.00240031130333549,0.00519546125302182
"ENSG00000004534","P78332","RBM6",-0.11966477390013,0.00236739615414337,0.00513408772127154
"ENSG00000004660","J3KPJ3","CAMKK1",-0.182416353261885,1.80824508603192e-05,5.54178439554611e-05
"ENSG00000004700","P46063","RECQL",0.231648406692926,1.30711039688703e-05,4.09259658258943e-05
"ENSG00000004766","Q96JG6","VPS50",-0.152137495167278,0.00064928129428325,0.001545341337486
"ENSG00000004776","O14558","HSPB6",0.075933234386298,0.287691326511423,0.390369428179153
"ENSG00000004779","O14561","NDUFAB1",-0.757423966311418,7.92822489933309e-11,6.50435422510469e-10
"ENSG00000004799","Q16654","PDK4",-0.148019505498546,0.000532316046577591,0.00128353788289485
"ENSG00000004848","Q96QS3","ARX",0.824513221812323,0.588921293847021,0.69141953062086
"ENSG00000004864","Q9UJS0","SLC25A13",-0.00779505667810554,0.734502737824331,0.813865019645245
"ENSG00000004866","E9PCV1","ST7",0.836225178013567,0.778452125416819,0.847820803474493
"ENSG00000004897","P30260","CDC27",0.0466061873497559,0.978421340043115,0.986012036733324
"ENSG00000004939","P02730","SLC4A1",-0.827965880042893,9.38875790575852e-07,3.4845016520566e-06
"ENSG00000004961","P53701","HCCS",0.0296343448627319,0.575692009896922,0.680937595642729
"ENSG00000004975","O14641","DVL2",0.314296618649909,9.5727449886155e-05,0.00025982065958921
"ENSG00000005001","Q9GZN4","PRSS22",0.756535895024075,0.378668070663346,0.488197702172735
"ENSG00000005007","Q92900","UPF1",0.0292003775822032,0.276521226772872,0.377385919943796
"ENSG00000005020","O75563","SKAP2",0.481726860093641,0.000441118404901587,0.00107800571115844
"ENSG00000005022","P05141","SLC25A5",0.155478780830787,0.283934621206905,0.386047447942614
"ENSG00000005059","Q9NWR8","MCUB",-1.56033622553817,0.600792732179404,0.702264877992815
"ENSG00000005100","Q9H6R0","DHX33",0.479966423746262,0.102551407350188,0.158730653723206
"ENSG00000005108","Q9UPZ6","THSD7A",-0.48181691551623,3.19109094173863e-05,9.4235305805001e-05
"ENSG00000005156","P49916","LIG3",-0.142769981117684,0.000170123294560548,0.000443678049031524
"ENSG00000005175","Q9H6T3","RPAP3",-0.116243107210948,0.00540588603575518,0.0109151927688863
"ENSG00000005187","H3BT38","ACSM3",-1.30791331578778,3.51232698250268e-12,4.05317733333909e-11
"ENSG00000005194","Q6FI81","CIAPIN1",-0.074317969411716,0.251619386203764,0.348470150494332
"ENSG00000005206",NA,"SPPL2B",-0.0424748702871636,0.81157134009813,0.872449954151115
"ENSG00000005243",NA,"COPZ2",0.248330028900085,0.000407800648050366,0.00100433548032239
"ENSG00000005249","P31323","PRKAR2B",-0.8484402700341,3.10870615911242e-18,5.62453764359412e-16
"ENSG00000005302","Q8N5Y2","MSL3",-1.42186404017257,0.0717178713241605,0.115966401572996
