"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000004660","J3KPJ3","CAMKK1",-0.182416353261885,1.80824508603192e-05,5.54178439554611e-05
"ENSG00000004799","Q16654","PDK4",-0.148019505498546,0.000532316046577591,0.00128353788289485
"ENSG00000005882","Q15119","PDK2",-1.13476940797088,1.23009370064695e-14,3.22049337854133e-13
"ENSG00000010671","Q06187","BTK",0.611012048608288,2.38908534644374e-07,9.72527630782158e-07
"ENSG00000010810","P06241","FYN",-0.101457418756574,0.0179953100595054,0.0328203048755318
"ENSG00000011566","Q8IVH8","MAP4K3",-0.647719879071794,0.00188005387209844,0.00415729066610681
"ENSG00000012983",NA,"MAP4K5",0.584320811108444,2.28016318875606e-17,2.2214051373535e-15
"ENSG00000034152","X6RB39","MAP2K3",0.341394722801407,7.01049679351083e-08,3.13461401199699e-07
"ENSG00000050748","P45984","MAPK9",-0.156109380684267,0.0151785560634226,0.028192324479303
"ENSG00000055332","P19525","EIF2AK2",0.584634903203849,7.2087627328647e-14,1.36267134345868e-12
"ENSG00000058091","C9IYJ9","CDK14",-0.286010258954231,0.00103324728984729,0.00239124292844512
"ENSG00000058404","Q13554","CAMK2B",-0.328541684143779,0.000592067529076508,0.00141638959294879
"ENSG00000060237","F5GWT4","WNK1",0.14256889074051,0.000722180318577054,0.00171000957883214
"ENSG00000065534","Q15746","MYLK",0.537434612497865,4.09718887601973e-08,1.91921949569265e-07
"ENSG00000065559","P45985","MAP2K4",-0.233548366987897,6.51909811860424e-09,3.56072787804302e-08
"ENSG00000065675","Q04759","PRKCQ",-0.551786429104727,0.0179159297439753,0.0327070630929654
"ENSG00000067606","Q05513","PRKCZ",-0.227632561348223,0.0173994887756928,0.0318618507636579
"ENSG00000067900","Q13464","ROCK1",0.39902948410689,3.12072350952716e-12,3.64276158969231e-11
"ENSG00000070770",NA,"CSNK2A2",0.090678307943957,0.0155304130102341,0.0287562398793297
"ENSG00000071054","E7ETN6","MAP4K4",0.454543587643016,1.50445388181965e-11,1.48135342377033e-10
"ENSG00000072062","P17612","PRKACA",-0.226418041495066,5.28490800577876e-05,0.000150665976124227
"ENSG00000072786","O94804","STK10",0.401935135005704,2.20763617775014e-06,7.73436021886737e-06
"ENSG00000075413","A0A0A0MST9","MARK3",-0.23575141498695,3.7605410525043e-05,0.00010986678761238
"ENSG00000077264",NA,"PAK3",-1.16334092859663,4.08629701535197e-08,1.91855242629964e-07
"ENSG00000077782","P11362","FGFR1",-0.941014535953903,0.0133311069079686,0.0249576450834327
"ENSG00000078061","P10398","ARAF",-0.184509501854887,8.33826811900878e-05,0.000228333331302154
"ENSG00000079277",NA,"MKNK1",-1.20310495624828,7.28345316228855e-15,2.13283085087594e-13
"ENSG00000082701","P49841","GSK3B",0.307940761559681,2.61140445528603e-08,1.26536345963453e-07
"ENSG00000085511","Q9Y6R4","MAP3K4",-0.137730280669761,0.0114727250600284,0.0217274112725623
"ENSG00000096063","Q96SB4","SRPK1",-0.508479714526345,2.85305131366059e-07,1.15076098367871e-06
"ENSG00000100749","Q99986","VRK1",0.166551732467042,0.00487640449256463,0.00994719756767964
"ENSG00000100784","O75582","RPS6KA5",-0.339862412577105,5.95888380991082e-08,2.70378015056052e-07
"ENSG00000101109","Q13043","STK4",0.570798340921112,2.70595051979672e-09,1.59399364340584e-08
"ENSG00000101213","Q13882","PTK6",0.446392205205655,1.2716940361298e-07,5.4370780521704e-07
"ENSG00000101266","A0A087WY74","CSNK2A1",-0.760150007384492,7.21944496641422e-10,4.82979523271307e-09
"ENSG00000101306","Q9H1R3","MYLK2",-2.76401334872528,1.01032881315595e-11,1.04031011533497e-10
"ENSG00000101336","H0Y3C5","HCK",0.728480761756519,1.73597345524674e-11,1.67672860329457e-10
"ENSG00000101782","O14730","RIOK3",-0.347049458184614,0.000348097514315328,0.000867418596911683
"ENSG00000102572","Q9Y6E0","STK24",0.486820535574346,4.29378520146563e-15,1.38549782360668e-13
"ENSG00000102755","P17948","FLT1",0.212593673049135,0.00598673793467442,0.0119947851995494
"ENSG00000102882","P27361","MAPK3",0.184344122095137,2.91537906241168e-05,8.64713719565433e-05
"ENSG00000103319","O00418","EEF2K",-0.406990765028556,1.23608438972087e-08,6.38979950849583e-08
"ENSG00000103653","P41240","CSK",0.660291428372929,4.5780164954469e-12,5.14240167759068e-11
"ENSG00000104312","O43353","RIPK2",0.444365805447209,2.24124304761248e-10,1.6660509580638e-09
"ENSG00000104365","O14920","IKBKB",0.340614308602337,3.39916660165438e-09,1.96129590022563e-08
"ENSG00000104375",NA,"STK3",0.35307471040565,1.61478270679422e-08,8.10350588669593e-08
"ENSG00000105053","Q8IV63","VRK3",0.380415507497077,0.0137212862422002,0.0256454661881521
"ENSG00000105221","P31751","AKT2",0.440933298529316,1.42571968353754e-07,6.018913264001e-07
"ENSG00000105397","H0YE24","TYK2",0.159995469445388,0.0127560172484095,0.0239340679186824
"ENSG00000105810","Q00534","CDK6",-0.150634326728653,0.00111278394629668,0.00255894846660871
"ENSG00000105976","C9JKM5","MET",0.941751104096539,2.04805778225548e-17,2.07509214498125e-15
"ENSG00000106605","P53004","BLVRA",0.294763156312229,1.10018125523743e-09,7.02396753501299e-09
"ENSG00000106683","E9PC47","LIMK1",0.366292602082293,2.16279851540027e-06,7.58514176463674e-06
"ENSG00000108984","P52564","MAP2K6",-0.572479615249676,1.6643970351285e-09,1.02514715865787e-08
"ENSG00000110931","Q96RR4","CAMKK2",0.574921119519672,0.00264222748280326,0.00567645780267784
"ENSG00000111816","P42685","FRK",0.322328017110628,0.000484450919948024,0.00117850101342458
"ENSG00000112062","Q16539","MAPK14",0.365312352986702,8.3790403007082e-11,6.83546186205922e-10
"ENSG00000112079","Q15208","STK38",0.579464572553775,8.03816493820875e-15,2.26859852796465e-13
"ENSG00000112739","Q13523","PRPF4B",-0.144172970625608,1.33218802248337e-05,4.16339575687893e-05
"ENSG00000113712","P48729","CSNK1A1",0.457028301684037,1.89259065321909e-09,1.14893520062408e-08
"ENSG00000113721","P09619","PDGFRB",0.517054791696822,2.32249412065609e-09,1.38502121427237e-08
"ENSG00000114738",NA,"MAPKAPK3",0.135104513593639,0.0101823923140353,0.0194950867206737
"ENSG00000115085","P43403","ZAP70",0.238049456133947,0.0155304130102341,0.0287562398793297
"ENSG00000115694","O00506","STK25",0.18553200915537,0.00264270148590913,0.00567645780267784
