"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000000938","P09769","FGR",0.581204556431754,0.0300560809556673,0.0526137201525261
"ENSG00000004660","J3KPJ3","CAMKK1",-0.182416353261885,1.80824508603192e-05,5.54178439554611e-05
"ENSG00000004799","Q16654","PDK4",-0.148019505498546,0.000532316046577591,0.00128353788289485
"ENSG00000005882","Q15119","PDK2",-1.13476940797088,1.23009370064695e-14,3.22049337854133e-13
"ENSG00000007047","K7EK17","MARK4",-0.328424701793068,0.52722017836704,0.636673343293671
"ENSG00000008086","O76039","CDKL5",1.66766340013846,0.0839662549353793,0.133137104069681
"ENSG00000009954","Q9UIG0","BAZ1B",0.0120916176700696,0.376552622873725,0.485892915812096
"ENSG00000010671","Q06187","BTK",0.611012048608288,2.38908534644374e-07,9.72527630782158e-07
"ENSG00000010810","P06241","FYN",-0.101457418756574,0.0179953100595054,0.0328203048755318
"ENSG00000011566","Q8IVH8","MAP4K3",-0.647719879071794,0.00188005387209844,0.00415729066610681
"ENSG00000012983",NA,"MAP4K5",0.584320811108444,2.28016318875606e-17,2.2214051373535e-15
"ENSG00000013441","P49759","CLK1",-0.79674757472491,0.278031946562411,0.379192311558803
"ENSG00000027075","G3V4L3","PRKCH",-0.581862878874798,0.256662157201906,0.35479854416662
"ENSG00000028116","Q86Y07","VRK2",-0.0248033106198591,0.572856471271266,0.678772280074899
"ENSG00000034152","X6RB39","MAP2K3",0.341394722801407,7.01049679351083e-08,3.13461401199699e-07
"ENSG00000035664","H0YMK1","DAPK2",1.07430373364743,0.493546839911691,0.604422001766385
"ENSG00000044524","P29320","EPHA3",-0.522694671885487,0.383157422594801,0.49293956912953
"ENSG00000050748","P45984","MAPK9",-0.156109380684267,0.0151785560634226,0.028192324479303
"ENSG00000055332","P19525","EIF2AK2",0.584634903203849,7.2087627328647e-14,1.36267134345868e-12
"ENSG00000058091","C9IYJ9","CDK14",-0.286010258954231,0.00103324728984729,0.00239124292844512
"ENSG00000058404","Q13554","CAMK2B",-0.328541684143779,0.000592067529076508,0.00141638959294879
"ENSG00000060237","F5GWT4","WNK1",0.14256889074051,0.000722180318577054,0.00171000957883214
"ENSG00000061938","H0Y5H7","TNK2",-0.723441460140382,0.297357184138424,0.401174832182492
"ENSG00000064393","Q9H2X6","HIPK2",-0.882595359582799,0.319347570444215,0.425572745461106
"ENSG00000065243","B1AL79","PKN2",0.0874294148894528,0.0719014738532466,0.116152062034613
"ENSG00000065534","Q15746","MYLK",0.537434612497865,4.09718887601973e-08,1.91921949569265e-07
"ENSG00000065559","P45985","MAP2K4",-0.233548366987897,6.51909811860424e-09,3.56072787804302e-08
"ENSG00000065675","Q04759","PRKCQ",-0.551786429104727,0.0179159297439753,0.0327070630929654
"ENSG00000067606","Q05513","PRKCZ",-0.227632561348223,0.0173994887756928,0.0318618507636579
"ENSG00000067900","Q13464","ROCK1",0.39902948410689,3.12072350952716e-12,3.64276158969231e-11
"ENSG00000067992","Q15120","PDK3",-0.155524641777216,0.0437867452452886,0.0742630235730271
"ENSG00000070770",NA,"CSNK2A2",0.090678307943957,0.0155304130102341,0.0287562398793297
