"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000000003","O43657","TSPAN6",-1.7417977858293,1.04950147749411e-17,3.22939561309022e-16
"ENSG00000000005","Q9H2S6","TNMD",-3.82440861513687,3.58259576336964e-20,3.78180392811329e-18
"ENSG00000000419","O60762","DPM1",0.149479830917869,0.00672427253257619,0.0125965892628723
"ENSG00000000457","Q8IZE3","SCYL3",-0.269038405797104,1.85819458733303e-07,7.53982841982894e-07
"ENSG00000000460",NA,"C1orf112",0.898358413848634,8.54554257835425e-18,2.71458717687587e-16
"ENSG00000000938","P09769","FGR",0.569470772946857,0.000163264173817805,0.000414619512465836
"ENSG00000000971","P08603","CFH",-1.3862210547504,2.49636370786822e-18,9.81892466372728e-17
"ENSG00000001036","Q9BTY2","FUCA2",0.552899355877621,3.87674919333426e-11,2.74196659213771e-10
"ENSG00000001084",NA,"GCLC",0.430772423510467,0.0451284398070892,0.0702128468850312
"ENSG00000001167","P23511","NFYA",0.484469967793876,5.03425654514591e-13,5.00557058639277e-12
"ENSG00000001460","Q5TH74","STPG1",0.344666626409014,0.000195640632360539,0.000490365842457388
"ENSG00000001461","Q6P499","NIPAL3",-0.540178220611926,2.66672842406082e-11,1.94399182708446e-10
"ENSG00000001497","Q9Y4W2","LAS1L",0.181962761674717,0.00179163600756889,0.00377320841911513
"ENSG00000001561","Q9Y6X5","ENPP4",-1.32833289049919,5.20664459445827e-11,3.61072320623209e-10
"ENSG00000001617","C9J1V2","SEMA3F",-0.74289637681159,1.18967979746408e-10,7.79398207241056e-10
"ENSG00000001626",NA,"CFTR",-3.1207577294686,2.75908028439847e-10,1.70491708497412e-09
"ENSG00000001629","Q9P2G1","ANKIB1",0.527584702093389,1.71982503669335e-17,4.97061087827375e-16
"ENSG00000001630","A0A0C4DFL7","CYP51A1",0.0717235104669918,0.846618432423173,0.881030660571249
"ENSG00000001631",NA,"KRIT1",0.115735990338164,0.199453712758233,0.261258348818708
"ENSG00000002016","P43351","RAD52",-0.260890297906599,1.52793678054247e-05,4.60689423193568e-05
"ENSG00000002079",NA,"MYH16",1.96062971014493,3.02737923900879e-18,1.14652418291447e-16
"ENSG00000002330","Q92934","BAD",-0.216596739130436,0.0018413477246155,0.00386853865160729
"ENSG00000002549","P28838","LAP3",0.741690338164254,3.1184151836101e-08,1.41670481791611e-07
"ENSG00000002586","P14209","CD99",-0.635392673107889,1.06540063096609e-12,9.98101321459838e-12
"ENSG00000002587","O14792","HS3ST1",-0.90738486312399,1.18548375435424e-07,4.94981278770803e-07
"ENSG00000002726","P19801","AOC1",-0.344542914653785,0.0552934078668016,0.0842858392926519
"ENSG00000002745","E9PH60","WNT16",-0.261212520128826,0.171978714354211,0.229585479242313
