"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000000003","O43657","TSPAN6",-0.851301078748657,8.31281208970355e-23,6.59641696343178e-22
"ENSG00000000005","Q9H2S6","TNMD",-2.2001514832794,4.0031076173121e-17,1.8078949702915e-16
"ENSG00000000419","O60762","DPM1",0.254835558252429,1.24845552849284e-12,4.00437656888704e-12
"ENSG00000000457","Q8IZE3","SCYL3",-0.142491855447677,4.22079319955628e-05,7.75220242134924e-05
"ENSG00000000460",NA,"C1orf112",0.738435800970878,1.79315067659202e-26,2.83529189850906e-25
"ENSG00000000938","P09769","FGR",2.04199560409924,2.04973910551775e-27,4.47222226663971e-26
"ENSG00000000971","P08603","CFH",0.511000755124055,0.000258402235895209,0.00044254586711972
"ENSG00000001084",NA,"GCLC",-0.104183994066885,0.0238749141022171,0.0327760204946447
"ENSG00000001167","P23511","NFYA",-0.307177292340889,3.42299393231655e-10,9.2643995377967e-10
"ENSG00000001460","Q5TH74","STPG1",-0.225407375943901,0.000308259644655728,0.000523675839365751
"ENSG00000001461","Q6P499","NIPAL3",0.125853398058249,0.00807992037774513,0.0117658458739947
"ENSG00000001497","Q9Y4W2","LAS1L",0.196466019417471,1.08821991374038e-10,3.05815799684413e-10
"ENSG00000001561","Q9Y6X5","ENPP4",-0.166536947141312,0.00205314155585699,0.00320830289772444
"ENSG00000001617","C9J1V2","SEMA3F",1.24964869201726,6.74738942397586e-23,5.42447269119888e-22
"ENSG00000001626",NA,"CFTR",-4.67470338457389,6.32424840843242e-26,8.62905531762622e-25
"ENSG00000001629","Q9P2G1","ANKIB1",-0.167445159115427,0.000797516657223276,0.00130097344933794
"ENSG00000001630","A0A0C4DFL7","CYP51A1",-0.564022006472486,1.33715555134217e-18,6.81239146637386e-18
"ENSG00000001631",NA,"KRIT1",0.216011825782086,2.21272515659781e-10,6.07272435507003e-10
"ENSG00000002330","Q92934","BAD",0.298207375943901,6.65415446056012e-13,2.17675431742023e-12
"ENSG00000002586","P14209","CD99",1.24508642125134,2.65894659740667e-28,9.79912824910328e-27
"ENSG00000002726","P19801","AOC1",-1.79511670711974,4.71589145009247e-06,9.39731371471618e-06
"ENSG00000002745","E9PH60","WNT16",-0.336488457389426,0.00414506633218116,0.00624323908383163
"ENSG00000002746","Q76N89","HECW1",-5.04512305825243,6.5998057687293e-28,1.85081233067469e-26
"ENSG00000002822",NA,"MAD1L1",0.307649770765915,3.61126442062438e-11,1.04972061740004e-10
"ENSG00000002834","Q14847","LASP1",0.42148451995685,6.2465916772058e-19,3.26926193786635e-18
"ENSG00000002919","J3QRB9","SNX11",-0.127566693635378,0.000113383979591001,0.000200502949059344
"ENSG00000002933","Q96HP8","TMEM176A",0.4613456850054,5.15663270737019e-08,1.19387974658477e-07
"ENSG00000003056","H0YFL0","M6PR",0.554289158576053,1.87724351988759e-26,2.95397565643951e-25
"ENSG00000003096","A0A0C4DG99","KLHL13",-2.16104898867314,4.70953546623346e-29,3.90330898795089e-27
"ENSG00000003137","Q9NR63","CYP26B1",-1.90131460355987,6.58475312033538e-18,3.17099846864026e-17
"ENSG00000003147","Q05084","ICA1",-0.983038861920171,5.72285519667118e-25,6.41870262681159e-24
"ENSG00000003249","Q9H9R9","DBNDD1",-0.405607281553402,0.00325365622766588,0.00496563682754762
"ENSG00000003393","Q96Q42","ALS2",-0.209966936353835,1.91671153766677e-11,5.68636398545846e-11
"ENSG00000003400","Q92851","CASP10",0.439155825242723,3.20667486805498e-14,1.1538197550245e-13
"ENSG00000003402","O15519","CFLAR",0.329897141316073,1.1067265078475e-13,3.84208674164644e-13
"ENSG00000003436","P10646","TFPI",0.624121669363538,9.91281287269543e-13,3.20302917473808e-12
"ENSG00000003756","P52756","RBM5",-0.433065008090622,6.39061443588211e-21,4.08264177533498e-20
"ENSG00000004059","P84085","ARF5",0.29874847626753,4.43706760173731e-15,1.7057630798461e-14
"ENSG00000004142","Q9Y2S7","POLDIP2",-0.967722586299892,2.78921400141029e-28,1.01001985755549e-26
"ENSG00000004399","Q9Y4D7","PLXND1",1.60399575242719,8.18596278206324e-28,2.16706367923522e-26
"ENSG00000004455","P54819","AK2",-0.316569161272925,3.28910653924439e-11,9.59748048853414e-11
"ENSG00000004468","P28907","CD38",1.32449440399137,2.95024187347696e-20,1.75572438987773e-19
"ENSG00000004478","Q02790","FKBP4",-0.755852009169365,2.49251735743291e-24,2.47855404029964e-23
"ENSG00000004487","O60341","KDM1A",-0.173858886192015,3.27814881753647e-09,8.28391172052557e-09
"ENSG00000004534","P78332","RBM6",-0.331568675836035,1.55941203956789e-11,4.65470892150133e-11
"ENSG00000004660","J3KPJ3","CAMKK1",1.83373210625675,8.9169881960057e-28,2.31444526383763e-26
"ENSG00000004700","P46063","RECQL",1.29992997572815,2.53471070625766e-29,3.81993906390354e-27
"ENSG00000004766","Q96JG6","VPS50",-0.169923718985975,1.39732122947505e-05,2.67627914197748e-05
"ENSG00000004776","O14558","HSPB6",-1.86910222491909,6.53862112547329e-17,2.89821009551355e-16
"ENSG00000004777",NA,"ARHGAP33",0.261626038295577,0.000315545319457637,0.000535378244522448
"ENSG00000004799","Q16654","PDK4",1.13915761866235,1.68789837321604e-05,3.20726865114225e-05
"ENSG00000004809",NA,"SLC22A16",0.803153896979504,9.73725074624384e-06,1.89264292507199e-05
"ENSG00000004864","Q9UJS0","SLC25A13",-0.402405825242715,1.88672698011968e-12,5.98140636511653e-12
"ENSG00000004866","E9PCV1","ST7",-0.502844188241635,3.42430950181106e-17,1.55518676154705e-16
"ENSG00000004897","P30260","CDC27",0.545584978425028,7.46915840843553e-27,1.34721486848448e-25
"ENSG00000004939","P02730","SLC4A1",-5.76448011057174,3.02096464696268e-29,3.81993906390354e-27
"ENSG00000004961","P53701","HCCS",-0.256497532362467,6.72023466009561e-11,1.91403489389212e-10
"ENSG00000004975","O14641","DVL2",0.14429870550161,0.00010073044791462,0.000178951772261002
"ENSG00000005001","Q9GZN4","PRSS22",-5.12555029665588,6.74395866614482e-30,3.74176400452128e-27
"ENSG00000005007","Q92900","UPF1",-0.582189900215743,5.86234219368075e-23,4.7501478363728e-22
"ENSG00000005020","O75563","SKAP2",0.355959843581447,1.06790617518826e-13,3.70969217839059e-13
"ENSG00000005022","P05141","SLC25A5",-1.53154892125134,4.39415394671143e-29,3.85525293325056e-27
"ENSG00000005059","Q9NWR8","MCUB",1.7595069579288,6.34352536923491e-24,5.88437496155696e-23
"ENSG00000005073","H0YIA6","HOXA11",-1.75334828748651,2.14768964463125e-18,1.07566539263161e-17
"ENSG00000005075","P52435","POLR2J",0.384056823085217,1.81448222496194e-15,7.1901650112043e-15
"ENSG00000005100","Q9H6R0","DHX33",-0.282692003775628,8.01271445013808e-10,2.11483387672985e-09
"ENSG00000005102","P50221","MEOX1",1.52302402912621,4.15733327318149e-12,1.28767499767671e-11
"ENSG00000005108","Q9UPZ6","THSD7A",-1.28468539644013,3.57433892929807e-23,2.98078679623088e-22
"ENSG00000005156","P49916","LIG3",-0.312889724919094,3.4444278546464e-17,1.56357596183793e-16
"ENSG00000005175","Q9H6T3","RPAP3",0.181048543689325,6.9147415050154e-07,1.47323669756865e-06
