"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000000003","O43657","TSPAN6",0.855724192277385,3.46605782440369e-20,1.93250203829216e-19
"ENSG00000000005","Q9H2S6","TNMD",-0.581924290780142,1.08710935299461e-06,2.29422466892684e-06
"ENSG00000000419","O60762","DPM1",0.576702718676122,2.53901770549524e-22,1.68054654629546e-21
"ENSG00000000457","Q8IZE3","SCYL3",0.162553289992115,0.00109021859955845,0.00176130092652978
"ENSG00000000460",NA,"C1orf112",1.46189718282111,5.34351783075802e-34,4.14577264313319e-32
"ENSG00000000938","P09769","FGR",-2.18011625295508,2.72892049399079e-32,7.96927166750788e-31
"ENSG00000000971","P08603","CFH",-0.642325610717098,4.07068952078354e-05,7.52023205142985e-05
"ENSG00000001084",NA,"GCLC",2.4974554964539,4.19766982365085e-31,8.73001429988816e-30
"ENSG00000001167","P23511","NFYA",0.56952888100867,4.0782553032136e-21,2.44505749461647e-20
"ENSG00000001461","Q6P499","NIPAL3",-0.561761780929867,1.54371522219232e-21,9.58326918137489e-21
"ENSG00000001497","Q9Y4W2","LAS1L",0.498508687943264,1.31356416939302e-21,8.20982910200189e-21
"ENSG00000001561","Q9Y6X5","ENPP4",-1.95417685185185,8.57235474517368e-32,2.15109399811771e-30
"ENSG00000001617","C9J1V2","SEMA3F",0.961484377462563,1.82034161514853e-18,8.90471535481128e-18
"ENSG00000001626",NA,"CFTR",-2.96919611899133,5.83446383263396e-27,6.10819111309357e-26
"ENSG00000001629","Q9P2G1","ANKIB1",0.538554629629624,5.45985732026989e-29,7.61310699641524e-28
"ENSG00000001630","A0A0C4DFL7","CYP51A1",-0.33415208825847,4.49047694299886e-06,9.00002666696354e-06
"ENSG00000001631",NA,"KRIT1",0.212825571315999,2.7653896259461e-05,5.17978440247644e-05
"ENSG00000002016","P43351","RAD52",0.189246650906226,0.0249783000511588,0.0345118519874117
"ENSG00000002079",NA,"MYH16",0.879290307328604,3.00845773301969e-07,6.62244075102195e-07
"ENSG00000002549","P28838","LAP3",-0.244829314420807,0.00592079912728439,0.00883662722777067
"ENSG00000002587","O14792","HS3ST1",0.888699822695035,2.00186660903761e-09,5.17955376597134e-09
"ENSG00000002726","P19801","AOC1",0.84166008668243,7.20304367651589e-05,0.000130156095042216
"ENSG00000002745","E9PH60","WNT16",1.29663486997636,5.94329991707541e-13,1.96611883549991e-12
"ENSG00000002746","Q76N89","HECW1",1.44605937746257,1.55954260304057e-19,8.27776975062442e-19
"ENSG00000002919","J3QRB9","SNX11",0.189677344365645,5.28724198491857e-07,1.14216470167731e-06
"ENSG00000003056","H0YFL0","M6PR",0.117208274231672,0.0119627582332141,0.0172403801659648
"ENSG00000003096","A0A0C4DG99","KLHL13",1.79806024428684,1.01900484050962e-18,5.09160295695753e-18
"ENSG00000003147","Q05084","ICA1",-1.06487310874705,6.60563114105599e-15,2.52119048502683e-14
"ENSG00000003249","Q9H9R9","DBNDD1",0.664506363278171,1.67047503856683e-07,3.75209619447989e-07
"ENSG00000003400","Q92851","CASP10",-0.546785933806149,7.9754351468923e-10,2.12272312267059e-09
"ENSG00000003402","O15519","CFLAR",-1.18016276595744,2.32043793097802e-33,1.08303538633742e-31
"ENSG00000003436","P10646","TFPI",-2.10870821513003,7.22565615884413e-30,1.16350203666381e-28
"ENSG00000003509","B4E0W7","NDUFAF7",0.296229925137904,6.2145871035141e-16,2.5363066489123e-15
"ENSG00000003756","P52756","RBM5",-0.517572281323877,3.63759837617629e-29,5.21115259414162e-28
"ENSG00000003987","Q9Y216","MTMR7",-0.725134101654846,6.63265289436756e-14,2.35086444164751e-13
"ENSG00000003989","P52569","SLC7A2",-1.96485459022852,6.24951761940262e-24,4.78375538605668e-23
"ENSG00000004059","P84085","ARF5",0.500000019700552,6.44242384534127e-17,2.81104136526427e-16
"ENSG00000004139",NA,"SARM1",-0.33542702915681,2.51763494607077e-05,4.73175474078407e-05
"ENSG00000004142","Q9Y2S7","POLDIP2",0.695042789598109,2.98097572367421e-28,3.70772741812007e-27
"ENSG00000004399","Q9Y4D7","PLXND1",-0.880082013396379,7.5932965099562e-21,4.45444231589213e-20
"ENSG00000004455","P54819","AK2",0.303562234042563,1.76607278765012e-14,6.53186966596577e-14
"ENSG00000004468","P28907","CD38",-0.345439223798266,0.0134740525087189,0.0192983782859183
"ENSG00000004478","Q02790","FKBP4",1.71717273443656,1.7039138537016e-33,8.65239404922961e-32
"ENSG00000004487","O60341","KDM1A",0.846073226950361,1.0906199867234e-32,3.71810130099342e-31
"ENSG00000004534","P78332","RBM6",-0.355001635145781,8.52008619513256e-13,2.79150055236629e-12
"ENSG00000004660","J3KPJ3","CAMKK1",-0.205395508274233,0.00454317333498573,0.00686353899763167
"ENSG00000004700","P46063","RECQL",0.342978152088254,4.38332724439489e-13,1.46504676854639e-12
"ENSG00000004776","O14558","HSPB6",-2.52826680457053,2.52253396802641e-30,4.39890118087042e-29
"ENSG00000004779","O14561","NDUFAB1",0.788190169424743,1.53639613598472e-31,3.54709499318572e-30
"ENSG00000004799","Q16654","PDK4",-3.76767226162333,1.14127314281974e-31,2.73169590480693e-30
"ENSG00000004809",NA,"SLC22A16",-0.877619700551617,6.08918247771099e-05,0.000110747274638096
"ENSG00000004838",NA,"ZMYND10",-3.06527153270292,1.17366989502006e-22,7.98923311496307e-22
"ENSG00000004846","Q2M3G0","ABCB5",-0.503471513002367,4.29608561166723e-07,9.3410168946871e-07
"ENSG00000004848","Q96QS3","ARX",-0.635907978723404,2.6853123966895e-05,5.0353999456023e-05
"ENSG00000004864","Q9UJS0","SLC25A13",0.844851300236403,1.04517645055448e-30,1.96130250134603e-29
"ENSG00000004866","E9PCV1","ST7",-0.959440346729714,1.16358719230448e-32,3.91171527532835e-31
"ENSG00000004897","P30260","CDC27",0.3365890464933,2.2253862979448e-11,6.59132711364636e-11
"ENSG00000004939","P02730","SLC4A1",-1.0531115642238,1.18612048102652e-17,5.45533649029361e-17
"ENSG00000004948","A0A0A0MSQ7","CALCR",-0.921536505122144,1.67221896509428e-12,5.3607510812456e-12
"ENSG00000004961","P53701","HCCS",0.55620177304964,1.24149470550025e-21,7.77320325803021e-21
"ENSG00000004975","O14641","DVL2",0.442306560283686,2.59557801986673e-10,7.13913107056605e-10
"ENSG00000005001","Q9GZN4","PRSS22",1.71041761229314,8.04723602497274e-18,3.74614714569652e-17
"ENSG00000005007","Q92900","UPF1",0.307940287628057,3.57987273368776e-06,7.23755658902315e-06
"ENSG00000005020","O75563","SKAP2",-0.557417119779361,2.33607858715342e-19,1.22582349947538e-18
"ENSG00000005022","P05141","SLC25A5",0.876621907013394,1.83307179463533e-27,2.05710208879407e-26
"ENSG00000005059","Q9NWR8","MCUB",0.256481048069345,2.72740583322807e-05,5.11111203559313e-05
"ENSG00000005073","H0YIA6","HOXA11",3.65740933806146,8.59784627009964e-29,1.16404850796094e-27
"ENSG00000005075","P52435","POLR2J",0.736704629629639,1.58494999404276e-25,1.41439241396427e-24
"ENSG00000005100","Q9H6R0","DHX33",0.74311485421592,1.34330712830734e-26,1.34692733927764e-25
"ENSG00000005102","P50221","MEOX1",-0.352181599684791,0.00800289208214182,0.011772983746421
"ENSG00000005108","Q9UPZ6","THSD7A",-1.33211185973207,5.38854706405154e-21,3.19694020387014e-20
"ENSG00000005156","P49916","LIG3",0.565646532702917,2.29037376044703e-14,8.40114914084155e-14
"ENSG00000005175","Q9H6T3","RPAP3",0.764029649330183,3.74364050922516e-29,5.35584419657037e-28
"ENSG00000005187","H3BT38","ACSM3",-1.60542454688731,4.64318659102079e-22,2.99919789983109e-21
"ENSG00000005189","H3BUT7","AC004381.6",0.880195626477542,4.51880842994867e-19,2.31866825869824e-18
"ENSG00000005194","Q6FI81","CIAPIN1",0.488229196217491,1.47359884075692e-19,7.84035080904924e-19
"ENSG00000005206",NA,"SPPL2B",0.271403802206461,7.49928813720307e-05,0.000135258907717018
"ENSG00000005238","Q7L5A3","FAM214B",-0.483196453900712,1.57159543964139e-10,4.38944087927559e-10
"ENSG00000005243",NA,"COPZ2",0.452368144208037,2.32614100012874e-07,5.16958818327388e-07
"ENSG00000005249","P31323","PRKAR2B",-0.908005614657212,4.70576168496876e-17,2.07396595633361e-16
