"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000000005","Q9H2S6","TNMD",-1.61269619047619,0.000647752339459097,0.00266246958033899
"ENSG00000000419","O60762","DPM1",0.263339047619047,0.00218992604455467,0.00740270954394927
"ENSG00000000460",NA,"C1orf112",0.450253333333327,1.85992311858439e-05,0.000145845009718069
"ENSG00000000938","P09769","FGR",-0.498559999999999,0.0027753845991669,0.00902634049938856
"ENSG00000001617","C9J1V2","SEMA3F",0.629712380952384,0.000345153175276134,0.00157945017646738
"ENSG00000001626",NA,"CFTR",-2.43781142857143,4.86031748678542e-06,5.00171008962065e-05
"ENSG00000001629","Q9P2G1","ANKIB1",0.271578095238096,0.000238583970596837,0.00116515331065484
"ENSG00000001630","A0A0C4DFL7","CYP51A1",0.356900952380951,0.0192346440241769,0.0456017548480694
"ENSG00000002079",NA,"MYH16",2.52880095238095,2.65826684169382e-08,1.23392599141036e-06
"ENSG00000002587","O14792","HS3ST1",1.84485904761905,2.6572903026628e-09,4.26140896952138e-07
"ENSG00000002726","P19801","AOC1",2.70111238095238,7.35972715380202e-07,1.2096480947346e-05
"ENSG00000002746","Q76N89","HECW1",0.847638095238094,0.0027041949192825,0.00883181424486227
"ENSG00000002822",NA,"MAD1L1",0.420987619047617,0.00020107254007725,0.00101513353097777
"ENSG00000002834","Q14847","LASP1",0.510229523809516,4.21821739922231e-07,8.0215733846096e-06
"ENSG00000002933","Q96HP8","TMEM176A",0.562788571428575,0.012430475184371,0.0317351052064617
"ENSG00000003096","A0A0C4DG99","KLHL13",-1.56171904761905,1.40806750648087e-09,3.45592568621898e-07
"ENSG00000003400","Q92851","CASP10",0.281602857142854,0.00924297161950732,0.024776402221616
"ENSG00000003402","O15519","CFLAR",-0.107499047619047,0.0192323406247576,0.0456017548480694
"ENSG00000003436","P10646","TFPI",0.446559999999996,0.00803874087247004,0.0220825771276125
"ENSG00000003756","P52756","RBM5",-0.444551428571433,6.75753601644098e-09,6.24396327919147e-07
"ENSG00000003987","Q9Y216","MTMR7",-1.03738380952381,1.3480582984329e-06,1.87259460132508e-05
"ENSG00000003989","P52569","SLC7A2",-2.06831238095238,1.75968203202039e-08,9.79458811179966e-07
"ENSG00000004139",NA,"SARM1",-0.871329523809523,4.17494678641539e-08,1.63521395729219e-06
"ENSG00000004478","Q02790","FKBP4",0.458448571428567,0.00154398830196756,0.00551725544041305
"ENSG00000004534","P78332","RBM6",-0.362715238095237,1.08130267399727e-05,9.44246297706754e-05
"ENSG00000004660","J3KPJ3","CAMKK1",-1.01068285714286,1.21393849184579e-09,3.45592568621898e-07
"ENSG00000004700","P46063","RECQL",0.332577142857145,0.00284669174215247,0.00923086611583482
"ENSG00000004776","O14558","HSPB6",-1.28614285714286,0.000509681795366465,0.0021836356212133
"ENSG00000004777",NA,"ARHGAP33",-0.51447523809524,0.00150313082003352,0.00538920362482573
"ENSG00000004779","O14561","NDUFAB1",0.347265714285713,2.64771900443147e-05,0.000193940275611287
"ENSG00000004799","Q16654","PDK4",-1.62834666666667,7.25838785970637e-05,0.000440517293353214
"ENSG00000004846","Q2M3G0","ABCB5",-0.557122857142854,0.00225022656808579,0.00757015311648497
"ENSG00000004864","Q9UJS0","SLC25A13",0.317466666666668,0.000109454735362202,0.000615515882090163
"ENSG00000004897","P30260","CDC27",0.205595238095237,0.0109795328630371,0.0286507221555909
"ENSG00000004961","P53701","HCCS",0.498259047619047,2.60517048744074e-07,5.72898532531584e-06
"ENSG00000004975","O14641","DVL2",-0.322841904761907,4.84511055991672e-05,0.000316900937117018
"ENSG00000005001","Q9GZN4","PRSS22",1.78846,1.76068102027023e-08,9.79458811179966e-07
"ENSG00000005020","O75563","SKAP2",0.683952380952379,3.31900891210428e-05,0.000233497456526071
"ENSG00000005073","H0YIA6","HOXA11",3.54478571428571,3.09561836320488e-07,6.39815437489767e-06
"ENSG00000005075","P52435","POLR2J",0.372261904761908,0.000324765629005485,0.0015030397109835
"ENSG00000005100","Q9H6R0","DHX33",-0.378655238095238,3.26523492363204e-05,0.000230506986261801
"ENSG00000005102","P50221","MEOX1",-1.06794666666667,0.00085982184957404,0.00337020559938478
"ENSG00000005108","Q9UPZ6","THSD7A",-0.466833333333332,0.0200702163116592,0.0471552363427647
"ENSG00000005187","H3BT38","ACSM3",-1.57552666666667,1.22944093103643e-05,0.000104460892749208
"ENSG00000005189","H3BUT7","AC004381.6",-0.540918095238094,0.000246309494156906,0.00119520752046592
"ENSG00000005194","Q6FI81","CIAPIN1",0.231304761904761,0.00110792869749595,0.00416504653607025
"ENSG00000005206",NA,"SPPL2B",-0.385683809523805,0.0138955028390698,0.0348738793647878
"ENSG00000005238","Q7L5A3","FAM214B",0.677689523809523,2.1230355532889e-06,2.65083683095903e-05
"ENSG00000005249","P31323","PRKAR2B",-1.48266476190476,3.91048757706403e-09,4.81394505176503e-07
"ENSG00000005339","Q92793","CREBBP",-0.406024761904764,0.000257594033317736,0.00124363384415878
"ENSG00000005379",NA,"TSPOAP1",-1.12566095238096,1.01819383151182e-06,1.52386414217193e-05
"ENSG00000005421","P27169","PON1",-0.906718095238094,0.000235091961994954,0.0011523080913759
"ENSG00000005436","S4R465","GCFC2",-0.440277142857145,5.54565816934658e-06,5.55926735338985e-05
"ENSG00000005448",NA,"WDR54",0.502367619047618,0.0007031993899202,0.0028486321479437
"ENSG00000005471","H7C0M2","ABCB4",0.435841904761902,0.0093554153034607,0.0250318176578644
"ENSG00000005810","O75592","MYCBP2",-0.374169523809529,4.01730694371278e-06,4.31555367259692e-05
"ENSG00000005882","Q15119","PDK2",-0.590131428571421,7.7571227774306e-05,0.000465320870557448
"ENSG00000005884","D6R9X8","ITGA3",1.8831780952381,6.00712500185227e-09,5.88456449397107e-07
"ENSG00000005981",NA,"ASB4",-0.753120000000001,0.000625983109239215,0.00258300482238804
"ENSG00000006007","Q9NZC3","GDE1",0.189411428571427,0.0140468698404984,0.0352023824639318
"ENSG00000006025","Q9BZF2","OSBPL7",0.489577142857144,0.0180442458338058,0.0432781732456334
"ENSG00000006042","Q9Y2Y6","TMEM98",-0.527475238095235,1.25055120157408e-05,0.000106074331957773
"ENSG00000006062","Q99558","MAP3K14",-0.664563809523813,1.58018365967794e-06,2.10663822697875e-05
"ENSG00000006071",NA,"ABCC8",-2.37395428571429,3.94330238913231e-06,4.25671956412032e-05
"ENSG00000006125","K7ERB2","AP2B1",0.429363809523808,3.94147757979624e-06,4.25671956412032e-05
"ENSG00000006283","O43497","CACNA1G",-1.43112666666667,0.00023877477450154,0.00116515331065484
"ENSG00000006327","I3L1J9","TNFRSF12A",0.882267619047619,1.73103328515252e-05,0.000137509080924066
"ENSG00000006451","P11233","RALA",0.716260000000009,7.59250796169256e-09,6.44268614390099e-07
"ENSG00000006453","Q9UHR4","BAIAP2L1",1.32360857142857,4.40606545418471e-09,5.12037622418891e-07
"ENSG00000006468","P50549","ETV1",0.789245714285713,7.88181077217817e-05,0.000472223548837998
"ENSG00000006534","P43353","ALDH3B1",0.980632380952374,1.52726725068111e-07,3.90505985550292e-06
"ENSG00000006555","Q5TAA0","TTC22",0.87909142857143,0.000118793117154651,0.000656208423696521
"ENSG00000006606","Q9Y258","CCL26",0.753366666666667,0.00315806230346141,0.0100500282882285
"ENSG00000006611","Q9Y6N9","USH1C",1.13742,3.32193625849368e-05,0.000233497456526071
"ENSG00000006625","A0A0B4J1Y4","GGCT",0.478182857142853,1.61112448118438e-06,2.14287141219873e-05
"ENSG00000006634","Q9UBU7","DBF4",0.558300952380954,1.32196274886893e-05,0.00011057947484309
"ENSG00000006638","P21731","TBXA2R",-0.197859999999997,0.0171005436544874,0.0414385697956935
"ENSG00000006652","C9J311","IFRD1",-0.522885714285714,0.00295892283126692,0.00953561026361117
