"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000237441",NA,"RGL2",0.0163804282484373,3.29786670528497e-06,1.12454952190772e-05
"ENSG00000105640","Q02543","RPL18A",0.00819263997872057,9.08987979686992e-13,9.46659744295269e-12
"ENSG00000111554","H0Y301","MDM1",0.00310947998404044,4.29942049049539e-07,1.70555633359442e-06
"ENSG00000185973","Q9NVH6","TMLHE",0.00711962894001869,0.62984213547375,0.688558462486588
"ENSG00000162373","Q7L4P6","BEND5",0.0110891395132331,0.706282389912179,0.756351411246587
"ENSG00000105135",NA,"ILVBL",6.14257215055154e-05,0.168109232976245,0.220059208738291
"ENSG00000164300","Q86VE9","SERINC5",-0.00136947399920202,0.000615456418608382,0.00138445320674875
"ENSG00000128564","O15240","VGF",-0.0086047599414816,2.96949414636427e-08,1.44163608066025e-07
"ENSG00000137486","P49407","ARRB1",-0.000290231413751833,0.000936032192729374,0.00203000634431414
"ENSG00000150867","P48426","PIP4K2A",-0.00429944141508178,7.15140836334102e-05,0.000191516323868006
"ENSG00000104432",NA,"IL7",-0.00320950525335811,0.000257795249225181,0.000622480029202811
"ENSG00000066654","A0A024R388","THUMPD1",0.0106538382763666,6.45314950757619e-07,2.48413529938016e-06
"ENSG00000134152","Q9H079","KATNBL1",-0.00284198696635191,1.61333369364572e-14,2.30293159661926e-13
"ENSG00000167889","Q3V5L5","MGAT5B",0.0171992711796782,0.11595914345332,0.158357874080505
"ENSG00000103021","H3BQS9","CCDC113",0.0148984266524804,5.92444809664623e-07,2.29660937880853e-06
"ENSG00000079150","Q9Y680","FKBP7",-0.00284104801170369,0.0119085797365162,0.0206395022805513
"ENSG00000131089","O43307","ARHGEF9",0.0205875794653544,0.103946645490592,0.143586893634352
"ENSG00000183337","H7C2V9","BCOR",0.0303173693310281,0.323193449887102,0.391041843964975
"ENSG00000128309","P25325","MPST",0.0515176220242053,1.21158313393995e-11,1.01968211634168e-10
"ENSG00000108774","P51148","RAB5C",0.000153552334086988,0.456456557718863,0.525918228592905
"ENSG00000147118","P17025","ZNF182",0.017623566963692,0.0769534573984103,0.109979245457237
"ENSG00000177084",NA,"POLE",0.00459993749168772,4.14974287867997e-12,3.77199914498331e-11
"ENSG00000076864","X6R8W7","RAP1GAP",0.00390344859688788,0.492625977159742,0.560799316228487
"ENSG00000221909","Q8TCP9","FAM200A",0.0114205851842,0.00286579464281742,0.00565902739281032
"ENSG00000198556","Q5FWF6","ZNF789",0.00236038169969411,0.00121416060523064,0.00257668526529198
"ENSG00000131100","P36543","ATP6V1E1",0.00326051070621093,0.00700685226067765,0.0127878041329394
"ENSG00000283496","H7BY64","ZNF511-PRAP1",0.00494674291794122,0.0134047419229,0.0230172511244138
"ENSG00000099875","K7EMP5","MKNK2",-0.00282563106796112,0.151191880901598,0.200274172841805
"ENSG00000003249","Q9H9R9","DBNDD1",0.00468644101609257,0.0020326561362065,0.004133960024688
"ENSG00000173818",NA,"ENDOV",0.0249287471738263,1.16164414132664e-15,2.09503826106396e-14
"ENSG00000121060","Q14258","TRIM25",0.00646736534113577,0.0049214213382854,0.00927092918630351
"ENSG00000113196","O96004","HAND1",0.0456520734140178,1.03150674043013e-06,3.84487026236961e-06
"ENSG00000037042","Q9NRH3","TUBG2",-0.000803421997606045,0.0137476025796909,0.0235408674124298
"ENSG00000029534","P16157","ANK1",0.0256366059316398,0.277695469364312,0.342478632549666
"ENSG00000062650",NA,"WAPL",-0.00288134459369596,2.91937723004196e-08,1.41964997044373e-07
"ENSG00000240857","Q9HBH5","RDH14",-0.000865914350312542,0.00435538504125774,0.00830655357864249
"ENSG00000159674","Q9BUD6","SPON2",0.0371404575076474,4.39709530259408e-08,2.07304786232335e-07
"ENSG00000163539",NA,"CLASP2",0.00859106530123686,1.20942856409031e-17,3.32852521235383e-16
"ENSG00000169618","Q8TCW9","PROKR1",0.0205780758079532,0.000690838045425806,0.00153550362533327
"ENSG00000157985","Q9UPQ3","AGAP1",0.0214098430642373,1.50582582982833e-06,5.45145460412338e-06
"ENSG00000160570","Q8WXF8","DEDD2",0.0137170660992153,0.602374325108082,0.663272912769069
"ENSG00000170915","D6RCM7","PAQR8",0.00947995478122089,0.03813167598219,0.0588313034153047
"ENSG00000114054","P05166","PCCB",-0.00173175821252825,1.44438390801976e-11,1.20359076981712e-10
"ENSG00000169989","Q8IY51","TIGD4",-0.00202918739194042,0.00185562112608855,0.00380526731680281
"ENSG00000275835","A0A087X1Z1","TUBGCP5",-0.0104957294853039,6.03344538890028e-06,1.95795765817668e-05
"ENSG00000150281","Q16619","CTF1",0.163768825641707,5.01366229127594e-22,4.73385569722606e-20
"ENSG00000100629","H0YJE3","CEP128",-0.00466948131400455,0.00299475788131066,0.00588936070371028
"ENSG00000145247","Q56VL3","OCIAD2",0.0108660513366139,0.000270112313971002,0.00065051880280324
"ENSG00000196700","Q96KM6","ZNF512B",-0.00229154009841735,0.581624898888188,0.644404946854002
"ENSG00000187140","Q9UJU5","FOXD3",0.0679169530522676,1.07505757763438e-10,7.8615115913457e-10
"ENSG00000151726","B7Z3Z9","ACSL1",-0.00841900252693172,8.04967686744519e-08,3.60914457593798e-07
"ENSG00000253305","Q9Y5F9","PCDHGB6",0.14545093629472,5.49606273856244e-09,3.04071269391987e-08
"ENSG00000105245","Q9Y6R0","NUMBL",-0.0193935656337279,7.55509678032406e-21,4.51232547702983e-19
"ENSG00000128602","Q99835","SMO",0.0117273573613512,0.477602659953183,0.546458619915122
"ENSG00000099617","O43921","EFNA2",0.0129966697699162,4.04161705342382e-09,2.27724460653862e-08
"ENSG00000013563","P49184","DNASE1L1",0.00706292459103594,0.00167555904899315,0.00346303778337696
"ENSG00000137547","Q9P015","MRPL15",0.00541963691980317,0.0889222835552362,0.125279568133619
"ENSG00000077454","H7C5D9","LRCH4",-0.00416477856097885,3.25030367621796e-10,2.19900682330426e-09
"ENSG00000115355","Q3V6T2","CCDC88A",0.00926278893469876,0.000274883319651412,0.000661254534965115
"ENSG00000076201","R4GMM7","PTPN23",0.00811775369065031,0.0402759502081236,0.0617237709300054
"ENSG00000164078","Q04912","MST1R",0.0419530788668706,0.689619198600325,0.742404437393258
"ENSG00000116459",NA,"ATP5F1",0.012325964888948,8.1474903600348e-09,4.36709943277184e-08
"ENSG00000186314",NA,"PRELID2",0.00772075674956776,0.223935484386929,0.283417657698852
"ENSG00000159210","Q96H20","SNF8",0.00725771778161989,2.31397292434343e-08,1.14777248291703e-07
"ENSG00000148291","Q15527","SURF2",0.00855014363612181,0.00384974275931013,0.00740896895758059
"ENSG00000132429","Q9HBV1","POPDC3",0.0739641774172097,6.44523231922124e-17,1.47791478948429e-15
"ENSG00000280571","C9JAW5","RP4-613B23.5",-0.0034771126479585,0.140786114039083,0.188081575560778
"ENSG00000105866","Q02446","SP4",0.00147074876978322,0.000128111889722651,0.000327119661151036
"ENSG00000181085","Q8TD08","MAPK15",-0.00432912621359222,3.67374440040763e-11,2.87545201615586e-10
"ENSG00000106351","A0A0C4DG34","AGFG2",0.0051206929112914,0.00716639703125969,0.0130308853318515
"ENSG00000173264","F5H234","GPR137",0.0108518739194042,0.218264549644731,0.277119872174314
"ENSG00000205268","Q13946","PDE7A",0.0125152866072616,0.953306828717554,0.961770555010402
"ENSG00000130675","S4R464","MNX1",0.0141232251629207,0.0303868196572298,0.0478358650506911
"ENSG00000124356","O95630","STAMBP",0.000173687990424234,5.84715988732051e-11,4.43493089858728e-10
"ENSG00000183580","Q9UJT9","FBXL7",0.0590662082723767,6.63129741056808e-14,8.62740527346552e-13
"ENSG00000120896",NA,"SORBS3",0.0110518752493683,1.98489066888412e-06,7.03893429415658e-06
"ENSG00000084764","Q9UPY8","MAPRE3",0.00840950817927916,0.574435653838529,0.637596150511196
"ENSG00000107864","Q8NE35","CPEB3",0.0120311384492619,0.0641363283659986,0.0935261779582508
"ENSG00000157657","Q5T7W0","ZNF618",0.00184851443011037,0.162172411671914,0.213278977701664
"ENSG00000122678","Q9NP87","POLM",0.0118610307221705,0.53421840422286,0.6000103867044
"ENSG00000185453","Q86XI8","C19orf68",0.0114807141907169,1.28316684131006e-13,1.57676032624522e-12
"ENSG00000088812","O75882","ATRN",0.0151003644101609,0.0880861678591314,0.124270982364217
"ENSG00000158552","C9J1R6","ZFAND2B",-0.00141028248437293,0.00628431545007176,0.0115827321220571
"ENSG00000178342","Q9UJ96","KCNG2",0.031148237797579,6.45986354543681e-09,3.54038018723662e-08
"ENSG00000130830","Q00013","MPP1",0.0204875395664317,0.223934719695265,0.283417657698852
"ENSG00000134698","Q9HCK5","AGO4",0.00651312408564969,0.0645681626433571,0.0941133555380265
"ENSG00000119965",NA,"C10orf88",0.0184506171033382,8.88630173560318e-06,2.80031635942525e-05
"ENSG00000078114","O76041","NEBL",0.0181239420135656,6.23221596590091e-09,3.42292066801256e-08
"ENSG00000143554","X6R3N0","SLC27A3",0.00745803963292991,0.00299490112882393,0.00588936070371028
"ENSG00000092847","Q5TA58","AGO1",0.0139819896262801,0.227385642568904,0.287274600179781
"ENSG00000105376","Q9UMF0","ICAM5",0.0109636520813938,0.45283553377898,0.522261639056573
"ENSG00000198944","Q2M3V2","SOWAHA",0.00258060513366139,0.231456671031146,0.29192990964105
"ENSG00000142252","Q9H840","GEMIN7",0.00784323314270513,6.18914422533592e-14,8.09315692439293e-13
"ENSG00000206579","Q5GH76","XKR4",0.0638215560579863,3.26438122361941e-08,1.57408634218914e-07
"ENSG00000144566","P20339","RAB5A",-7.41694374251714e-05,0.441170794452543,0.511103768636332
"ENSG00000115241","O15355","PPM1G",0.00887354834419471,0.112174268845187,0.153700168174446
"ENSG00000074201","U3KPU0","CLNS1A",-0.00301093363479187,0.00119518041922797,0.00253982715433401
"ENSG00000168348","Q96T92","INSM2",0.0618645950259343,3.54680056396966e-06,1.20043400215958e-05
"ENSG00000126777","G3V475","KTN1",-0.0043009416145764,4.45914728916044e-05,0.000123673904249768
"ENSG00000116266",NA,"STXBP3",0.0121338941348584,8.21033978676837e-05,0.000217126420205564
"ENSG00000120254","Q6UB35","MTHFD1L",0.0126717076738928,2.0102953891449e-11,1.62865634649904e-10
"ENSG00000100811","G3V3M8","YY1",0.00046734672163851,0.0120603978480083,0.0208934741364846
"ENSG00000105258",NA,"POLR2I",0.0146105186859955,0.291891931756148,0.358163812296292
"ENSG00000138629","H3BSE0","UBL7",0.00605230482776963,0.371678684534252,0.440900972245458
"ENSG00000005469","Q9UKG9","CROT",-0.00111985902380635,0.413202476416446,0.483199665291943
"ENSG00000154553","Q53GG5","PDLIM3",-0.00189229285809281,0.896074626925561,0.915684843607888
"ENSG00000198924","Q6PJP8","DCLRE1A",0.00643062508312275,0.00678906159458958,0.0124203362211319
"ENSG00000113296",NA,"THBS4",0.0851524072350047,1.55625147082148e-15,2.72259198049301e-14
"ENSG00000088543","Q9UK00","C3orf18",0.0144175422263599,0.952110778057777,0.960941461844319
"ENSG00000181638","A0A0G2JH32","ZFP41",0.0127770634392871,0.180978383774063,0.234648820835306
"ENSG00000171094","Q9UM73","ALK",0.016341198297646,0.186425302113559,0.240688448063564
"ENSG00000063601","E9PIH9","MTMR1",0.0250378148689985,0.0264818751990781,0.0423531896165602
"ENSG00000112029",NA,"FBXO5",0.012299050405639,0.00121419846898853,0.00257668526529198
"ENSG00000128652",NA,"HOXD3",0.0248335549940147,0.00194246596451921,0.00396821674114569
"ENSG00000164889","C9J722","SLC4A2",0.018492836813406,0.00136245404296686,0.00286393969786541
"ENSG00000131061","Q9BYN7","ZNF341",0.00595948796382498,0.0127448372175625,0.0219764131494327
