"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000150281","Q16619","CTF1",0.163768825641707,5.01366229127594e-22,4.73385569722606e-20
"ENSG00000253305","Q9Y5F9","PCDHGB6",0.14545093629472,5.49606273856244e-09,3.04071269391987e-08
"ENSG00000157005","P61278","SST",0.149029398856231,1.42812149309591e-18,4.87726279065017e-17
"ENSG00000119973","P49683","PRLHR",0.13746651150419,1.1772770216951e-25,5.39907651270956e-23
"ENSG00000162782","Q8NAT2","TDRD5",0.137113158664716,1.07040803928347e-21,8.81096771310192e-20
"ENSG00000132879","Q9H4M3","FBXO44",0.143252588110121,6.06411079231202e-16,1.17096611555005e-14
"ENSG00000169862","Q9UQB3","CTNND2",0.138564286474265,7.80726360021255e-19,2.80820929664788e-17
"ENSG00000187772",NA,"LIN28B",0.184212820853837,2.33455753116434e-22,2.45721748013781e-20
"ENSG00000187715","Q3ZCT8","KBTBD12",0.191869146163054,1.15282517208296e-18,4.01229073788439e-17
"ENSG00000113430","P78413","IRX4",0.161818479851044,2.84483653222895e-26,1.73954980525486e-23
"ENSG00000113722","P47902","CDX1",0.149689932171831,1.33168692658514e-20,7.50116853338422e-19
"ENSG00000162722","Q8NG06","TRIM58",0.224103125415614,1.27417876080177e-25,5.45390982248518e-23
"ENSG00000175718","Q8N7X1","RBMXL3",0.157877177816199,0.0110148279169219,0.0192489664236792
"ENSG00000178222",NA,"RNF212",0.179458784412821,4.77178786397503e-15,7.56475653843251e-14
"ENSG00000131037","K7EN83","EPS8L1",-0.14077049740657,8.7395167808947e-05,0.00022983238418962
"ENSG00000144191",NA,"CNGA3",0.104454275834552,2.50859309579024e-20,1.33663252875695e-18
"ENSG00000204851",NA,"PNMAL2",0.153742585450193,1.0808621714338e-22,1.38793511433814e-20
"ENSG00000182255","P22459","KCNA4",0.18656057853438,5.59946260157336e-25,1.67215579690241e-22
"ENSG00000198010",NA,"DLGAP2",0.111338740524006,1.65943452493012e-10,1.17923623323894e-09
"ENSG00000148826","Q9C056","NKX6-2",0.111348622157202,1.14732661909895e-22,1.43037098212132e-20
"ENSG00000034239",NA,"EFCAB1",0.119162270248703,6.79604725949788e-11,5.1153600738108e-10
"ENSG00000175497","C9J4M8","DPP10",0.225756954382232,2.43686853193735e-25,8.23469179437041e-23
"ENSG00000166148","P37288","AVPR1A",0.127215690916345,1.43036203228469e-21,1.12682692371581e-19
