"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000237441",NA,"RGL2",0.0185499455782313,0.0174165604902208,0.027904746280813
"ENSG00000105640","Q02543","RPL18A",0.0149824217687075,0.011853594770513,0.0197945320397174
"ENSG00000111554","H0Y301","MDM1",0.00697302040816326,3.5843742558744e-05,0.00010693781940292
"ENSG00000185973","Q9NVH6","TMLHE",0.038322775510204,0.319327383995675,0.3732851065645
"ENSG00000162373","Q7L4P6","BEND5",0.0175610408163265,0.00371414003867127,0.00701833084570112
"ENSG00000105135",NA,"ILVBL",-0.0104589115646259,0.302577332503375,0.356005951557164
"ENSG00000164300","Q86VE9","SERINC5",0.00627805714285715,0.0770330691818125,0.105877179222273
"ENSG00000128564","O15240","VGF",0.0429275510204082,2.5933693877406e-06,9.99563675566183e-06
"ENSG00000137486","P49407","ARRB1",-0.0148437823129252,1.94740636255008e-07,9.562025887244e-07
"ENSG00000150867","P48426","PIP4K2A",0.0203045850340136,0.131961448377123,0.170856609575704
"ENSG00000104432",NA,"IL7",-0.0283615986394558,6.00602348093715e-06,2.1383030592713e-05
"ENSG00000066654","A0A024R388","THUMPD1",0.00525402721088435,0.745955460565843,0.782971528109452
"ENSG00000134152","Q9H079","KATNBL1",-0.014442768707483,0.00292111608315941,0.00567086944477878
"ENSG00000167889","Q3V5L5","MGAT5B",0.0351910544217687,0.0050561397857612,0.00925985377965679
"ENSG00000103021","H3BQS9","CCDC113",0.00795672108843538,1.91054225961552e-05,6.0706168308496e-05
"ENSG00000079150","Q9Y680","FKBP7",-0.00747152380952381,0.00478089670425349,0.00880727599463628
"ENSG00000131089","O43307","ARHGEF9",-0.0204666870748298,0.0800889146338458,0.109724889447138
"ENSG00000183337","H7C2V9","BCOR",0.0101206802721088,0.224517857061482,0.274345662751402
"ENSG00000128309","P25325","MPST",-0.0228735374149661,0.0473317673458713,0.0684444584670884
"ENSG00000108774","P51148","RAB5C",-0.000350829931972774,2.1492845222016e-05,6.73938219731929e-05
"ENSG00000147118","P17025","ZNF182",-0.0444996258503403,0.00166595692674946,0.00341762053674118
"ENSG00000177084",NA,"POLE",0.00648050340136053,4.44855537107844e-16,1.03853547208449e-14
"ENSG00000076864","X6R8W7","RAP1GAP",0.0177634489795918,0.0420009946619561,0.0614675630652983
"ENSG00000221909","Q8TCP9","FAM200A",0.0324030816326531,0.0504898843117796,0.0724185853347686
"ENSG00000198556","Q5FWF6","ZNF789",0.0149821156462585,1.33229208274867e-09,1.01764606439577e-08
"ENSG00000131100","P36543","ATP6V1E1",0.00713412244897959,1.5218268905544e-09,1.14875116253489e-08
"ENSG00000283496","H7BY64","ZNF511-PRAP1",0.000732285714285706,4.42575687756367e-09,3.0437449548965e-08
"ENSG00000099875","K7EMP5","MKNK2",-0.0310051632653061,1.82935571992941e-07,9.05160980496862e-07
"ENSG00000003249","Q9H9R9","DBNDD1",0.000354340136054426,3.83258179859329e-05,0.000113692686126028
"ENSG00000173818",NA,"ENDOV",0.0349588095238095,3.39991960182709e-08,1.95324240212348e-07
"ENSG00000121060","Q14258","TRIM25",0.00450852789115645,0.00893434168098747,0.0153705472310088
"ENSG00000113196","O96004","HAND1",0.0695129863945579,7.53988612465593e-10,5.9982737199865e-09
"ENSG00000037042","Q9NRH3","TUBG2",0.0238612448979592,9.81698356046771e-05,0.000265089524535027
"ENSG00000029534","P16157","ANK1",0.0846095782312926,1.98676967407869e-09,1.46525689920565e-08
"ENSG00000062650",NA,"WAPL",0.00774083945578233,5.72131983004428e-05,0.0001633935645413
"ENSG00000240857","Q9HBH5","RDH14",-0.00754621088435374,1.18631396512098e-08,7.50358192716918e-08
"ENSG00000159674","Q9BUD6","SPON2",0.0707849659863945,2.28110792481091e-20,1.38157668653642e-18
"ENSG00000163539",NA,"CLASP2",0.0166107074829932,0.16406146534263,0.206911760299032
"ENSG00000169618","Q8TCW9","PROKR1",0.0211881870748299,0.442728060239412,0.497081872461879
"ENSG00000157985","Q9UPQ3","AGAP1",0.0126188231292516,4.45940861453929e-09,3.06524660656769e-08
