"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000237441",NA,"RGL2",0.00489638389647735,0.0905966324033991,0.183223238746231
"ENSG00000105640","Q02543","RPL18A",0.00580431447057616,0.409390905027119,0.562830567074298
"ENSG00000111554","H0Y301","MDM1",0.00747294238471809,0.0293489627212217,0.0743998871119104
"ENSG00000185973","Q9NVH6","TMLHE",-0.0361503101571327,0.000559699841651483,0.00253897665763432
"ENSG00000162373","Q7L4P6","BEND5",0.0110815984389442,0.0942126653762424,0.189339444250658
"ENSG00000105135",NA,"ILVBL",0.000119525932011914,0.0737656293604028,0.155860193439513
"ENSG00000164300","Q86VE9","SERINC5",0.00877679398171921,0.0079813093891806,0.025147743361112
"ENSG00000128564","O15240","VGF",0.00495192050939711,0.805394775161181,0.878601087936319
"ENSG00000137486","P49407","ARRB1",0.00142299270822639,0.417175897543743,0.570216267498231
"ENSG00000150867","P48426","PIP4K2A",-0.00483138030194106,0.0178899129775713,0.0494817935072285
"ENSG00000104432",NA,"IL7",0.00568294341172845,0.359772336103536,0.514728287565239
"ENSG00000066654","A0A024R388","THUMPD1",0.00119146246277086,0.271892759981936,0.423744701604492
"ENSG00000134152","Q9H079","KATNBL1",-0.000952347540310162,0.048584091570173,0.11167817175706
"ENSG00000167889","Q3V5L5","MGAT5B",0.0057827554688302,0.329916243585089,0.484591604726033
"ENSG00000103021","H3BQS9","CCDC113",0.00451896990859607,0.241645106546635,0.38921880126475
"ENSG00000079150","Q9Y680","FKBP7",0.000468171921536406,0.159339797499732,0.285508815332993
"ENSG00000131089","O43307","ARHGEF9",-0.00223209612817085,0.144070166246078,0.264572151520565
"ENSG00000183337","H7C2V9","BCOR",0.0137303081031118,0.0785045497097304,0.164007715531537
"ENSG00000128309","P25325","MPST",0.0138641316627297,0.000726143693551277,0.00319143013934264
"ENSG00000108774","P51148","RAB5C",-0.000691477046318174,0.943457528852841,0.966872682589433
"ENSG00000147118","P17025","ZNF182",-0.0206885912498717,0.587465998374183,0.721247028145555
"ENSG00000177084",NA,"POLE",-0.000490434117284583,0.858773477015375,0.913474473201643
"ENSG00000076864","X6R8W7","RAP1GAP",0.0115527283557564,0.00645446997355004,0.0209896944543757
"ENSG00000221909","Q8TCP9","FAM200A",0.000140766149738097,0.983123601218913,0.99091700979945
"ENSG00000198556","Q5FWF6","ZNF789",0.00629613638697751,0.221275722043053,0.365294691811912
"ENSG00000131100","P36543","ATP6V1E1",0.000215855602341587,0.385109041184086,0.539793880841056
"ENSG00000283496","H7BY64","ZNF511-PRAP1",-0.000791339735031323,0.042665175927998,0.10026032067125
"ENSG00000099875","K7EMP5","MKNK2",-0.00402266098387596,3.87396358826e-05,0.000232148578630121
"ENSG00000003249","Q9H9R9","DBNDD1",0.00583100379993838,0.374980193741205,0.530225445908621
"ENSG00000173818",NA,"ENDOV",0.0109380784635925,0.00724900194333285,0.0232148835302445
"ENSG00000121060","Q14258","TRIM25",0.0124796945671151,0.0537699109620396,0.121045248239485
"ENSG00000113196","O96004","HAND1",0.0194248870288589,0.203049341138379,0.342560247964658
