"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000237441",NA,"RGL2",0.107414778511184,0.00436915922538816,0.0270013199097376
"ENSG00000105640","Q02543","RPL18A",0.0599659537953795,0.00872302661517525,0.0465397207279105
"ENSG00000111554","H0Y301","MDM1",0.0464475808580858,0.580874201448768,0.777093987787436
"ENSG00000185973","Q9NVH6","TMLHE",-0.0111371727172718,0.166599537389601,0.378533485342757
"ENSG00000162373","Q7L4P6","BEND5",0.088762933626696,0.138593217050702,0.337098454225581
"ENSG00000105135",NA,"ILVBL",0.0109632086541988,0.351475147918421,0.589677317405299
"ENSG00000164300","Q86VE9","SERINC5",0.00331993949394939,0.448429909296259,0.677259425518353
"ENSG00000128564","O15240","VGF",0.0252814569123579,0.00434388200134891,0.0269228439485148
"ENSG00000137486","P49407","ARRB1",0.00312364869820319,0.121440712730293,0.309863229263346
"ENSG00000150867","P48426","PIP4K2A",0.0067656215621562,0.0372847359886547,0.136998735212104
"ENSG00000104432",NA,"IL7",-0.0027488155482215,0.00139818331574385,0.010764670348191
"ENSG00000066654","A0A024R388","THUMPD1",0.0534635775577557,0.26197415699274,0.497139945009098
"ENSG00000134152","Q9H079","KATNBL1",0.0305890143014302,0.272554996119866,0.510151765073797
"ENSG00000167889","Q3V5L5","MGAT5B",0.0730219530619729,0.0219216205122537,0.0928181505500698
"ENSG00000103021","H3BQS9","CCDC113",0.0586933197653099,0.761292243369107,0.883555016801819
"ENSG00000079150","Q9Y680","FKBP7",0.0530212064539787,0.627662331785216,0.806736675588339
"ENSG00000131089","O43307","ARHGEF9",-0.00231926659332587,0.930142662622608,0.970460472177733
"ENSG00000183337","H7C2V9","BCOR",0.0897966120278694,0.377760333997445,0.61440864697909
"ENSG00000128309","P25325","MPST",0.0340759992665934,0.100199943134903,0.272279456163704
"ENSG00000108774","P51148","RAB5C",0.0423271613494683,0.621412445885074,0.802234735457701
"ENSG00000147118","P17025","ZNF182",-0.0259406857352402,0.173887409373087,0.388967446641558
"ENSG00000177084",NA,"POLE",0.0294548283828383,0.274364423574954,0.512221200302483
"ENSG00000076864","X6R8W7","RAP1GAP",0.0767231499816649,0.0500261433285963,0.167412567594797
"ENSG00000221909","Q8TCP9","FAM200A",0.043933399339934,0.147277946139675,0.350024898927415
"ENSG00000198556","Q5FWF6","ZNF789",0.0627721133113312,0.363707785609339,0.601749480026276
"ENSG00000131100","P36543","ATP6V1E1",0.0188441987532086,0.642025896808288,0.817699365583047
"ENSG00000283496","H7BY64","ZNF511-PRAP1",0.0650093707370737,0.541567063281223,0.747268348093967
"ENSG00000099875","K7EMP5","MKNK2",0.084795093509351,0.302582864614864,0.54211807971673
"ENSG00000003249","Q9H9R9","DBNDD1",0.0112126916024936,0.0281072372769303,0.112027666390546
"ENSG00000173818",NA,"ENDOV",0.104798382838284,0.000328233336679015,0.00328540335902721
"ENSG00000121060","Q14258","TRIM25",0.0726140242024203,0.934822963903732,0.972776690030258
"ENSG00000113196","O96004","HAND1",0.130114990832417,1.3761367189677e-05,0.000222014418906824
"ENSG00000037042","Q9NRH3","TUBG2",0.0159129116244958,0.322945597128839,0.563870476999123
"ENSG00000029534","P16157","ANK1",0.0432511327466079,0.206050262509468,0.432015913656586
"ENSG00000062650",NA,"WAPL",0.0572079721305464,0.853984532319682,0.934097677578048
"ENSG00000240857","Q9HBH5","RDH14",0.0058559405940594,0.034894162988945,0.130818373656582
"ENSG00000159674","Q9BUD6","SPON2",-0.285238005133847,8.9629979996959e-11,1.66815681611731e-08
"ENSG00000163539",NA,"CLASP2",0.0577920806747342,0.282211492574992,0.519998085823555
"ENSG00000169618","Q8TCW9","PROKR1",0.040990964063073,0.743323608992757,0.87321517319331
"ENSG00000157985","Q9UPQ3","AGAP1",0.0589562159882655,0.185733922832354,0.404684630210021
"ENSG00000160570","Q8WXF8","DEDD2",0.0777815108177484,0.374651445231975,0.611265895015757
"ENSG00000170915","D6RCM7","PAQR8",0.035124173083975,0.524101545934111,0.735242367989981
"ENSG00000114054","P05166","PCCB",0.0164761936193619,0.0785791469639252,0.230654492642452
"ENSG00000169989","Q8IY51","TIGD4",0.04851967363403,0.295558740873476,0.535016788511534
"ENSG00000275835","A0A087X1Z1","TUBGCP5",-0.00563909204253756,0.00410133328924503,0.0257212956632558
"ENSG00000150281","Q16619","CTF1",-0.298308214154749,2.98888980731743e-10,4.20973739378456e-08
"ENSG00000100629","H0YJE3","CEP128",-0.00165202786945362,1,1
"ENSG00000145247","Q56VL3","OCIAD2",0.0080733050971764,0.723051881140917,0.861930633640166
"ENSG00000196700","Q96KM6","ZNF512B",0.0173586762009535,0.443335297064445,0.674125769056019
"ENSG00000187140","Q9UJU5","FOXD3",0.0679057077374405,0.0143924227574435,0.0678266029545281
"ENSG00000151726","B7Z3Z9","ACSL1",0.0558140154015401,0.792651126750642,0.902526317919237
