"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000237441",NA,"RGL2",0.107414778511184,0.00436915922538816,0.0270013199097376
"ENSG00000173818",NA,"ENDOV",0.104798382838284,0.000328233336679015,0.00328540335902721
"ENSG00000113196","O96004","HAND1",0.130114990832417,1.3761367189677e-05,0.000222014418906824
"ENSG00000159674","Q9BUD6","SPON2",-0.285238005133847,8.9629979996959e-11,1.66815681611731e-08
"ENSG00000150281","Q16619","CTF1",-0.298308214154749,2.98888980731743e-10,4.20973739378456e-08
"ENSG00000253305","Q9Y5F9","PCDHGB6",0.218605100843418,9.81840557027442e-08,3.62321736590414e-06
"ENSG00000132429","Q9HBV1","POPDC3",0.109262480381372,0.00940576984533543,0.0492814754605457
"ENSG00000183580","Q9UJT9","FBXL7",0.254326604327099,1.17236404131478e-09,1.10702198665915e-07
"ENSG00000120896",NA,"SORBS3",0.111473830216355,0.00229775476684968,0.0161973390744252
"ENSG00000206579","Q5GH76","XKR4",0.191673267326733,6.98661731400132e-06,0.000124787398534638
"ENSG00000113296",NA,"THBS4",0.197860872753942,4.02484014221303e-10,5.16869971062997e-08
"ENSG00000171094","Q9UM73","ALK",0.130589470847085,4.15553904971281e-06,8.00106770616451e-05
"ENSG00000157005","P61278","SST",0.205289457279061,5.13991857031257e-05,0.000688288157246654
"ENSG00000166105","Q8NCI6","GLB1L3",0.167738404840484,1.22157941052961e-06,2.89437689852791e-05
"ENSG00000204839","A6NGR9","MROH6",0.124948771543821,8.61290516331319e-07,2.15188576084179e-05
"ENSG00000167080","Q8NHY0","B4GALNT2",0.150733049138247,0.000167984784243179,0.00185970741314733
"ENSG00000198216","E9PIE8","CACNA1E",0.159495116978365,2.26394544672007e-06,4.82149045220219e-05
"ENSG00000182631","Q9NSD7","RXFP3",0.216287477814448,2.33528507851742e-10,3.4470955147495e-08
"ENSG00000185149","P49146","NPY2R",0.135491815181518,3.28629444803397e-07,9.70174558658674e-06
"ENSG00000078053","P49418","AMPH",0.198568583791712,6.26174367177308e-08,2.5365466270464e-06
"ENSG00000178021","Q8N831","TSPYL6",-0.227223799046572,0.00046636901616371,0.00443966709086313
"ENSG00000183570",NA,"PCBP3",0.130148048404841,9.94846865775144e-05,0.00120868717599663
"ENSG00000147509","O76081","RGS20",0.108794037770444,0.000252230062548308,0.00261996992243501
"ENSG00000101898",NA,"MCTS2P",-0.112910693069307,9.70778397955038e-06,0.000164036002454455
"ENSG00000050767","Q86Y22","COL23A1",0.154956235790246,0.000235729045913877,0.00247349495420634
"ENSG00000149972",NA,"CNTN5",0.172864862486249,2.11966092343618e-07,6.87391049968875e-06
"ENSG00000009709","P23759","PAX7",0.14911199229923,1.61846888934956e-06,3.64638201351352e-05
"ENSG00000113430","P78413","IRX4",0.291570742574257,1.79477694705773e-12,1.27705173118824e-09
"ENSG00000113722","P47902","CDX1",-0.303972277227723,8.34758010745481e-10,8.71541656422233e-08
"ENSG00000204624",NA,"DISP3",0.141009816648332,3.40415754517508e-05,0.000481986672493257
"ENSG00000162722","Q8NG06","TRIM58",0.161982647598093,8.20483401227085e-07,2.06371793753273e-05
"ENSG00000163012","Q8NEG5","ZSWIM2",0.134536644664466,0.000591797229739669,0.00536764332075217
"ENSG00000103546","P23975","SLC6A2",0.171021453978731,2.5234718319337e-06,5.28652940712766e-05
"ENSG00000188779","P84550","SKOR1",0.134536486982032,1.45838781374768e-07,5.10316520548984e-06
"ENSG00000178222",NA,"RNF212",-0.175542464246424,2.57510945971011e-05,0.000380109835420659
"ENSG00000164483","E9PRU9","SAMD3",0.214795758342501,1.90512103138929e-08,1.00268706086481e-06
"ENSG00000268089","Q9UN88","GABRQ",0.109339812247891,0.00765200432732155,0.042102416268836
"ENSG00000183644","Q6PI97","C11orf88",0.117265441877521,0.000804389627885882,0.00690506123082252
"ENSG00000165124","Q4LDE5","SVEP1",0.1241899449945,0.000173454231488561,0.00191201651568764
"ENSG00000148734","Q9GZQ6","NPFFR1",0.148776616061606,0.000174515335082001,0.00192088347910197
"ENSG00000155158","Q5VTQ0","TTC39B",-0.117824220755409,0.00529960116868633,0.0314987637825523
"ENSG00000151475","Q9H0C2","SLC25A31",-0.183748698203153,0.00295382754109303,0.0198187321226315
"ENSG00000151388","P58397","ADAMTS12",0.158571723505684,0.000430099549114376,0.00413733214211747
"ENSG00000179796","Q96PB8","LRRC3B",0.191504986065273,4.33797469875891e-09,3.22013127638509e-07
"ENSG00000163497","Q99581","FEV",-0.135637220388706,7.77081629453152e-07,1.97609550206681e-05
"ENSG00000135636","O75923","DYSF",0.119836384305097,5.23677879575556e-07,1.42161688540298e-05
"ENSG00000164458","O15178","T",0.187444872753942,1.01286839613668e-06,2.46817000819493e-05
"ENSG00000101405","P01178","OXT",-0.206355812247891,3.06769752030126e-05,0.000440171749225797
"ENSG00000169946",NA,"ZFPM2",0.142107754308764,1.44554790167046e-05,0.000231467907147781
"ENSG00000123569","Q7Z2G1","H2BFWT",-0.206259873120645,0.000951443318711297,0.0078879503543515
"ENSG00000187416","Q86UP9","LHFPL3",0.152773127979465,2.37671870402173e-05,0.000354081457042309
