"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000225191",NA,"RP11-97C18.1",-0.101638888888889,1.8057855036762e-05,5.97440306862698e-05
"ENSG00000215869",NA,"RP11-364B6.2",-0.106805555555556,1.03652316548791e-05,3.5382025743243e-05
"ENSG00000162631","Q9Y2I2","NTNG1",-0.100666666666667,3.29158942475481e-06,1.24036259320234e-05
"ENSG00000224550",NA,"RP11-270C12.3",-0.100666666666667,3.29158942475481e-06,1.24036259320234e-05
"ENSG00000134215","Q9UKW4","VAV3",-0.100666666666667,3.29158942475481e-06,1.24036259320234e-05
"ENSG00000275455",NA,"MIR7852",-0.100666666666667,3.29158942475481e-06,1.24036259320234e-05
"ENSG00000230489",NA,"VAV3-AS1",-0.100666666666667,3.29158942475481e-06,1.24036259320234e-05
"ENSG00000226822",NA,"RP11-356N1.2",-0.100666666666667,3.29158942475481e-06,1.24036259320234e-05
"ENSG00000186086","Q5VWK0","NBPF6",-0.100685185185185,3.18667432395089e-06,1.2100451711226e-05
"ENSG00000224698",NA,"RP11-131J3.1",-0.100685185185185,3.18667432395089e-06,1.2100451711226e-05
"ENSG00000238118",NA,"SLC25A24P2",-0.100685185185185,3.18667432395089e-06,1.2100451711226e-05
"ENSG00000243967",NA,"NBPF5P",-0.100685185185185,3.18667432395089e-06,1.2100451711226e-05
"ENSG00000162639","A0A0A0MRN1","HENMT1",-0.102509259259259,1.87442854841926e-07,9.33927281701162e-07
"ENSG00000134186","Q5VTL8","PRPF38B",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000143107","Q5VTL7","FNDC7",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000232971",NA,"RP11-293A10.3",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000116266",NA,"STXBP3",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000228076",NA,"RP11-475E11.2",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000162641",NA,"AKNAD1",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000203897",NA,"SPATA42",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000121957","P81274","GPSM2",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000121940","Q96S66","CLCC1",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000085433","O94967","WDR47",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000237349",NA,"RP5-1065J22.2",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000244716",NA,"RP11-20O24.4",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000228665",NA,"RP11-20O24.1",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000228054",NA,"RANP5",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000197780","Q15543","TAF13",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000273382",NA,"RP5-1065J22.8",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000215717","Q9NRX6","TMEM167B",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000179902","Q5T5A4","C1orf194",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000251484",NA,"RP5-1065J22.4",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000270066",NA,"SCARNA2",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000116299","E9PMS2","KIAA1324",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000031698","P49591","SARS",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000143126","Q9HCU4","CELSR2",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000134222","Q6PGN9","PSRC1",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000221986",NA,"MYBPHL",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000134243","Q99523","SORT1",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000143106","P28066","PSMA5",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000143028","Q5VXT5","SYPL2",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000162650","S4R3G5","ATXN7L2",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000174151","Q8N8Q1","CYB561D1",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000181754","Q86WK6","AMIGO1",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000156097","Q9BZJ8","GPR61",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000254942",NA,"RP5-1160K1.8",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000065135","P08754","GNAI3",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000206832",NA,"RNU6V",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000225113",NA,"RP5-1160K1.3",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000134183","P19087","GNAT2",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000116337","E9PJF6","AMPD2",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000228703",NA,"RP5-1160K1.6",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000168765","Q03013","GSTM4",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000235045",NA,"RPL7P8",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000213366","F6XZQ7","GSTM2",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000134184",NA,"GSTM1",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000260246",NA,"AC000032.2",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000134201","P46439","GSTM5",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000241720",NA,"RP4-735C1.4",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000134202","P21266","GSTM3",-0.10962962962963,1.25297152899559e-07,6.57332521200649e-07
"ENSG00000198758","Q8TE67","EPS8L3",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000224927",NA,"NDUFA5P10",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000228420",NA,"RP4-735C1.6",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000235005",NA,"RP11-195M16.1",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000261055",NA,"RP11-195M16.3",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000184371","E9PQ08","CSF1",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000168710","O43865","AHCYL1",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000143093","Q5VSL9","STRIP1",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000156150","O95076","ALX3",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000258634",NA,"RP4-773N10.4",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000258673",NA,"LINC01397",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000186150","Q8N7F7","UBL4B",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000197106","Q9H1V8","SLC6A17",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000227091",NA,"RP5-1028L10.1",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000235526",NA,"RP5-1028L10.2",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000224965",NA,"KCNC4-AS1",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000116396",NA,"KCNC4",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000282852",NA,"RP5-1003J2.4",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000200536",NA,"SNORA25",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000227963",NA,"RP5-1074L1.1",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000162775","Q96T37","RBM15",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000168679","O15374","SLC16A4",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000273373",NA,"RP5-1074L1.4",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000134248","E9PLX3","LAMTOR5",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000224699",NA,"LAMTOR5-AS1",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000143125","P58294","PROK1",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000270380",NA,"RP11-470L19.5",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000282887",NA,"RP11-470L19.6",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000235407",NA,"RP11-470L19.2",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000240194",NA,"CYMP",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000143105","Q16322","KCNA10",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000177301","P16389","KCNA2",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000259834",NA,"RP11-284N8.3",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000177272","P22001","KCNA3",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000237415",NA,"NRBF2P3",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000232791",NA,"OR11I1P",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000143119","P19397","CD53",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000261654",NA,"RP11-96K19.4",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000121931","Q5T3J3","LRIF1",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000232811",NA,"RP11-96K19.2",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000273010",NA,"RP11-96K19.5",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000225672",NA,"CCNT2P1",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000252760",NA,"RNA5SP54",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000156171","Q6UX65","DRAM2",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000134255",NA,"CEPT1",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000162777",NA,"DENND2D",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000272982",NA,"RP5-1180E21.4",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000273221",NA,"RP5-1180E21.5",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000064886","Q15782","CHI3L2",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000236040",NA,"CHIAP1",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000203878",NA,"CHIAP2",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000134216","Q5VUV5","CHIA",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
"ENSG00000229283",NA,"RP5-1125M8.2",-0.107814814814815,1.62069232263192e-07,8.25468451327647e-07
