"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000236841",NA,"AC007750.5",0.104708737864078,6.69717195189507e-06,2.3386338390321e-05
"ENSG00000078098","H0YG61","FAP",0.104708737864078,6.69717195189507e-06,2.3386338390321e-05
"ENSG00000115267","Q9BYX4","IFIH1",0.104708737864078,6.69717195189507e-06,2.3386338390321e-05
"ENSG00000115271",NA,"GCA",0.104708737864078,6.69717195189507e-06,2.3386338390321e-05
"ENSG00000184611","Q9NS40","KCNH7",0.104708737864078,6.69717195189507e-06,2.3386338390321e-05
"ENSG00000163093","Q8N3I7","BBS5",0.102029126213592,1.03308925876693e-06,4.3309859550531e-06
"ENSG00000251569","E9PBE3","RP11-724O16.1",0.102029126213592,1.03308925876693e-06,4.3309859550531e-06
"ENSG00000239474","O60662","KLHL41",0.102029126213592,1.03308925876693e-06,4.3309859550531e-06
"ENSG00000138399","Q53R41","FASTKD1",0.102029126213592,1.03308925876693e-06,4.3309859550531e-06
"ENSG00000229827",NA,"AC093899.3",0.102029126213592,1.03308925876693e-06,4.3309859550531e-06
"ENSG00000138398","Q13427","PPIG",0.102029126213592,1.03308925876693e-06,4.3309859550531e-06
"ENSG00000154479","Q0VFZ6","CCDC173",0.102029126213592,1.03308925876693e-06,4.3309859550531e-06
"ENSG00000226072",NA,"AC016772.4",0.102029126213592,1.03308925876693e-06,4.3309859550531e-06
"ENSG00000144362","Q8TCD6","PHOSPHO2",0.102029126213592,1.03308925876693e-06,4.3309859550531e-06
"ENSG00000213160","S4R3P4","KLHL23",0.102029126213592,1.03308925876693e-06,4.3309859550531e-06
"ENSG00000231550",NA,"PTCHD3P2",0.102029126213592,1.03308925876693e-06,4.3309859550531e-06
"ENSG00000138385","E7ERC4","SSB",0.102029126213592,1.03308925876693e-06,4.3309859550531e-06
"ENSG00000214369",NA,"AC009967.3",0.102029126213592,1.03308925876693e-06,4.3309859550531e-06
"ENSG00000138382","B8ZZE3","METTL5",0.102029126213592,1.03308925876693e-06,4.3309859550531e-06
"ENSG00000144357","Q6ZT12","UBR3",0.102029126213592,1.03308925876693e-06,4.3309859550531e-06
"ENSG00000227176",NA,"AC092641.2",0.102029126213592,1.03308925876693e-06,4.3309859550531e-06
"ENSG00000252807",NA,"RNU6-1006P",0.102029126213592,1.03308925876693e-06,4.3309859550531e-06
"ENSG00000071909",NA,"MYO3B",0.102029126213592,1.03308925876693e-06,4.3309859550531e-06
"ENSG00000231898",NA,"AC012594.1",0.102029126213592,1.03308925876693e-06,4.3309859550531e-06
"ENSG00000214821",NA,"HMGB1P4",0.102029126213592,1.03308925876693e-06,4.3309859550531e-06
"ENSG00000213981",NA,"AC007277.3",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000234350",NA,"AC007405.4",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000204335","Q6BEB4","SP5",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000222033",NA,"LINC01124",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000128692",NA,"EIF2S2P4",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000239467",NA,"AC007405.6",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000204334","A1L162","ERICH2",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000128683","C9JLZ7","GAD1",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000235934",NA,"AC007405.8",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000115806",NA,"GORASP2",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000198586","Q9UKI8","TLK1",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000123600","E7ETE0","METTL8",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000224553",NA,"AC008065.1",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000115827",NA,"DCAF17",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000228507",NA,"DAP3P2",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000234061",NA,"AC007969.4",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000233762",NA,"AC007969.5",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000071967","Q53TN4","CYBRD1",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000233934",NA,"RPL21P38",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000077380","E7EV09","DYNC1I2",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000115840","O75746","SLC25A12",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000252779",NA,"RNU6-182P",0.10321359223301,7.62264290873647e-07,3.55663482789438e-06
"ENSG00000128708","F8WEW1","HAT1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000172878","Q6UB28","METAP1D",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000144355","J3KP55","DLX1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000115844","Q07687","DLX2",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000236651",NA,"DLX2-AS1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000232555",NA,"AC104088.1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000091409","C9JXX7","ITGA6",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000226963",NA,"AC078883.4",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000278924",NA,"RP11-227L6.1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000232788",NA,"AC078883.3",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000225205",NA,"AC093818.1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000152256","C9JKT3","PDK1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000230104",NA,"AC018712.2",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000228016",NA,"RAPGEF4-AS1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000091428",NA,"RAPGEF4",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000232292",NA,"ALDH7A1P2",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000091436","Q9NYL2","AC013461.1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000238133",NA,"MLK7-AS1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000231735",NA,"RP11-1O7.1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000236391",NA,"AC092573.2",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000144354","Q9BWT1","CDCA7",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000213148",NA,"AC073465.1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000236832",NA,"AC073465.2",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000226131",NA,"AC073465.3",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000237016",NA,"AC013410.1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000237617",NA,"AC013410.2",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000270460",NA,"RP11-796E10.1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000234415",NA,"RPL5P7",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000172845","Q02447","SP3",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000271151",NA,"RP11-394I13.2",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000273258",NA,"RP11-394I13.3",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000260868",NA,"RP11-394I13.1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000235414",NA,"RPSAP24",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000138430","Q9NTK5","OLA1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000270799",NA,"RP11-451F14.1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000243770",NA,"RN7SL65P",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000227180",NA,"AC013467.1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000237804",NA,"HNRNPA1P39",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000231453",NA,"LINC01305",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000217236","P0CG40","SP9",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000280414",NA,"RP11-572N21.1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000138433","Q86X95","CIR1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000144306","F8WBX0","SCRN3",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000163328","Q7Z3F1","GPR155",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000226853",NA,"AC010894.3",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000179997",NA,"AC010894.4",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000236449",NA,"AC018890.6",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000279884",NA,"RP11-483E17.1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000115935","O43516","WIPF1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000206965",NA,"RNU6-5P",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000237798",NA,"AC010894.5",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000235655",NA,"H3F3AP4",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000138435","P02708","CHRNA1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000128656","P15882","CHN1",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000199827",NA,"RNU6-1290P",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000212167",NA,"RNU6-763P",0.101349514563107,1.23268654357104e-06,5.04111292785309e-06
"ENSG00000227187",NA,"RP11-6C10.1",0.100009708737864,1.94620001327283e-06,7.68397432732708e-06
"ENSG00000115966","P15336","ATF2",0.100009708737864,1.94620001327283e-06,7.68397432732708e-06
