"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000060718","P12107","COL11A1",-0.105302752293578,1.69595691141337e-06,5.04886855498672e-06
"ENSG00000203825",NA,"RP11-744H18.1",0.259366972477064,5.06457865777394e-10,3.15248384668171e-09
"ENSG00000223495",NA,"RP11-763B22.7",0.256660550458715,1.60858286273738e-10,1.09113042984775e-09
"ENSG00000235887",NA,"RP11-763B22.6",0.256660550458715,1.60858286273738e-10,1.09113042984775e-09
"ENSG00000242943",NA,"NKAIN1P1",0.256660550458715,1.60858286273738e-10,1.09113042984775e-09
"ENSG00000252830",NA,"5S_rRNA",0.256660550458715,1.60858286273738e-10,1.09113042984775e-09
"ENSG00000264145",NA,"CH17-13I23.2",0.256660550458715,1.60858286273738e-10,1.09113042984775e-09
"ENSG00000274927",NA,"CH17-13I23.1",0.256660550458715,1.60858286273738e-10,1.09113042984775e-09
"ENSG00000276118",NA,"CH17-333M13.2",0.256660550458715,1.60858286273738e-10,1.09113042984775e-09
"ENSG00000277095",NA,"CH17-333M13.1",0.256660550458715,1.60858286273738e-10,1.09113042984775e-09
"ENSG00000277702",NA,"CH17-13I23.3",0.256660550458715,1.60858286273738e-10,1.09113042984775e-09
"ENSG00000179571",NA,"NBPF17P",0.286330275229358,7.29134519416884e-12,6.82508836767908e-11
"ENSG00000226028",NA,"PFN1P12",0.283963302752294,9.0250952674867e-12,8.26504798834877e-11
"ENSG00000202167",NA,"RNU1-114P",0.286330275229358,7.29134519416884e-12,6.82508836767908e-11
"ENSG00000207349",NA,"RNVU1-17",0.330688073394495,2.07701967816495e-15,5.23792786839915e-14
"ENSG00000206737",NA,"RNVU1-18",0.332449541284404,1.45294436075185e-15,3.66744338530551e-14
"ENSG00000252826",NA,"RNU1-92P",0.332449541284404,1.45294436075185e-15,3.66744338530551e-14
"ENSG00000223779",NA,"RP11-403I13.4",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000232721",NA,"RP11-403I13.5",0.343229357798165,2.39220105065856e-16,6.93563051866757e-15
"ENSG00000162825","H7BY70","NBPF20",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000175658",NA,"DRD5P2",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000196369","P0DMP2","SRGAP2B",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000207205",NA,"RNVU1-15",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000207501",NA,"RNVU1-14",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000215784","Q6L9T8","FAM72D",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000222854",NA,"RNA5SP59",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000223612",NA,"RP11-289I10.2",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000224363",NA,"RP11-289H16.1",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000227212",NA,"PFN1P6",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000229002",NA,"RP11-666A1.4",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000230186",NA,"RP5-998N21.7",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000232527",NA,"RP11-14N7.2",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000233430",NA,"RP11-403I13.9",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000233586",NA,"RP11-763B22.3",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000234367",NA,"PFN1P3",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000234571",NA,"RP5-998N21.4",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000236140",NA,"RP11-89F3.2",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000237343",NA,"RP11-763B22.4",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000237503",NA,"RP5-998N21.3",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000242352",NA,"FAM91A3P",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000252105",NA,"RNU1-143P",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000256374","F5H284","PPIAL4D",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000263513","H0Y354","FAM72C",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000263590",NA,"RP11-403I13.7",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000265531",NA,"FCGR1CP",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000266338","Q8N660","NBPF15",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000268074",NA,"RPL22P5",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000270872",NA,"SRGAP2D",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000270962",NA,"RP11-403I13.10",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000271291",NA,"RP11-289I10.3",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000271439",NA,"RP11-666A1.7",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000271567","A0A075B759","PPIAL4E",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000271644",NA,"RP3-365I19.2",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000272419",NA,"RP11-403I13.8",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
"ENSG00000273213",NA,"RP5-998N21.10",0.35545871559633,1.60907753738687e-16,4.79048581187102e-15
