"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000260972",NA,"RP1-58B11.1",-0.100361111111111,1.16174117552612e-05,2.81038596821484e-05
"ENSG00000283356",NA,"RP3-491M17.1",-0.100361111111111,1.16174117552612e-05,2.81038596821484e-05
"ENSG00000264341",NA,"MIR4417",-0.100361111111111,1.16174117552612e-05,2.81038596821484e-05
"ENSG00000117148","Q9H568","ACTL8",-0.103657407407407,1.29495860231441e-06,3.85075039508535e-06
"ENSG00000261781",NA,"RP11-174G17.2",-0.106907407407407,7.09846625001826e-07,2.23219548545469e-06
"ENSG00000117154","Q96ID5","IGSF21",-0.106907407407407,7.09846625001826e-07,2.23219548545469e-06
"ENSG00000280222",NA,"RP11-174G17.3",-0.106907407407407,7.09846625001826e-07,2.23219548545469e-06
"ENSG00000230035",NA,"RP11-174G17",-0.106907407407407,7.09846625001826e-07,2.23219548545469e-06
"ENSG00000225387",NA,"RP11-422P22.1",-0.106907407407407,7.09846625001826e-07,2.23219548545469e-06
"ENSG00000179023","Q5VTJ3","KLHDC7A",-0.106907407407407,7.09846625001826e-07,2.23219548545469e-06
"ENSG00000235282",NA,"DYNLL1P3",-0.106907407407407,7.09846625001826e-07,2.23219548545469e-06
"ENSG00000225478",NA,"RP1-8B22.2",-0.10237037037037,6.84118429902439e-06,1.71734772365297e-05
"ENSG00000009709","P23759","PAX7",-0.10237037037037,6.84118429902439e-06,1.71734772365297e-05
"ENSG00000179002","Q8TE23","TAS1R2",-0.10237037037037,6.84118429902439e-06,1.71734772365297e-05
"ENSG00000159423","P30038","ALDH4A1",-0.10237037037037,6.84118429902439e-06,1.71734772365297e-05
"ENSG00000265606",NA,"MIR4695",-0.10237037037037,6.84118429902439e-06,1.71734772365297e-05
"ENSG00000221662",NA,"MIR1290",-0.10237037037037,6.84118429902439e-06,1.71734772365297e-05
"ENSG00000169991","Q5TF58","IFFO2",-0.10237037037037,6.84118429902439e-06,1.71734772365297e-05
"ENSG00000127463","Q8N766","EMC1",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000230424",NA,"RP1-43E13.2",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000053372","Q9UKD2","MRTO4",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000211454",NA,"AKR7L",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000162482","O95154","AKR7A3",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000270728",NA,"RP4-657E11.10",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000053371","O43488","AKR7A2",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000200403",NA,"RNU6-1099P",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000040487","Q6ZP29","PQLC2",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000077549","B1AK85","CAPZB",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000240490",NA,"RN7SL277P",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000173436",NA,"MINOS1",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000201609",NA,"RNU4-28P",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000158747","A3KFI4","NBL1",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000235185",NA,"RP5-1056L3.1",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000270136",NA,"MINOS1-NBL1",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000226396",NA,"RP5-1056L3.3",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000158748","P50406","HTR6",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000162542","Q5TGY1","TMCO4",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000178828","Q9NXI6","RNF186",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000235434",NA,"RP11-91K11.2",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000169914","Q5T2D3","OTUD3",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000188784","Q9NZK7","PLA2G2E",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000188257",NA,"PLA2G2A",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000242688",NA,"RN7SL304P",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000127472",NA,"PLA2G5",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000117215","Q9UNK4","PLA2G2D",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000158786","Q9BZM2","PLA2G2F",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000227066",NA,"RP3-340N1.2",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000187980","Q5R387","PLA2G2C",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000162543","Q96LJ8","UBXN10",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000225986",NA,"UBXN10-AS1",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000228105",NA,"RP3-340N1.6",-0.103074074074074,6.76739100027352e-06,1.69943932543242e-05
"ENSG00000158816","E9PMB3","VWA5B1",-0.101444444444444,1.01685451325426e-05,2.47762981251824e-05
"ENSG00000226664",NA,"RP4-745E8.2",-0.101444444444444,1.01685451325426e-05,2.47762981251824e-05
"ENSG00000236963",NA,"LINC01141",-0.101444444444444,1.01685451325426e-05,2.47762981251824e-05
"ENSG00000226487",NA,"RP4-749H3.2",-0.101444444444444,1.01685451325426e-05,2.47762981251824e-05
"ENSG00000204178","Q8N5G2","TMEM57",-0.103861111111111,5.55164977347414e-06,1.42428762594617e-05
"ENSG00000157978","Q5SW96","LDLRAP1",-0.103861111111111,5.55164977347414e-06,1.42428762594617e-05
"ENSG00000225643",NA,"RP11-70P17.1",-0.103861111111111,5.55164977347414e-06,1.42428762594617e-05
"ENSG00000117643","Q9NR34","MAN1C1",-0.103861111111111,5.55164977347414e-06,1.42428762594617e-05
"ENSG00000233478",NA,"RP1-187B23.1",-0.103861111111111,5.55164977347414e-06,1.42428762594617e-05
"ENSG00000162430","Q9NZV5","SEPN1",-0.103861111111111,5.55164977347414e-06,1.42428762594617e-05
"ENSG00000117640","C9JF50","MTFR1L",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000228172",NA,"RP1-317E23.3",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000255054",NA,"RP1-317E23.6",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000127423",NA,"AUNIP",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000272478",NA,"RP1-317E23.7",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000236528",NA,"RP1-125I3.2",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000182749","Q86WK9","PAQR7",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000117632",NA,"STMN1",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000223624",NA,"RP1-125I3.4",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000229786",NA,"SNRPFP2",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000158006","Q99487","PAFAH2",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000207237",NA,"RNU6-110P",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000252190",NA,"SCARNA17",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000252691",NA,"SCARNA18",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000158008",NA,"EXTL1",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000158014","Q9BRI3","SLC30A2",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000158022","Q969Q1","TRIM63",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000175087","X6RHF8","PDIK1L",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000197245","Q8TAY7","FAM110D",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000142684","O00488","ZNF593",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000236782","A0A0U1RRA0","RP11-96L14.7",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000282872","A0A0U1RR37","RP11-96L14.8",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000142675","Q969H4","CNKSR1",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000188782","J3KNU1","CATSPER4",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000236155",NA,"RP11-231P20.2",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000278572",NA,"RP11-231P20.6",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000130695","Q6P2H3","CEP85",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000270733",NA,"RP11-231P20.5",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000142669","Q9H299","SH3BGRL3",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000158062","Q5T124","UBXN11",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000169442","P31358","CD52",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000176092","E9PIR9","AIM1L",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000225854",NA,"RP11-569G9.7",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000176083","Q8IZ20","ZNF683",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000131914","Q9H9Z2","LIN28A",-0.102833333333333,6.48546817359655e-06,1.6447446521633e-05
"ENSG00000117682","Q5T0A0","DHDDS",-0.103740740740741,7.92355498472253e-06,1.97687469684582e-05
"ENSG00000223583",NA,"RP3-476K8.4",-0.105972222222222,4.79510802553816e-06,1.25714740053443e-05
"ENSG00000225891",NA,"RP3-476K8.3",-0.105972222222222,4.79510802553816e-06,1.25714740053443e-05
"ENSG00000198830",NA,"HMGN2",-0.103740740740741,7.92355498472253e-06,1.97687469684582e-05
"ENSG00000224129",NA,"DPPA2P2",-0.103740740740741,7.92355498472253e-06,1.97687469684582e-05
"ENSG00000117676","E9PPC1","RPS6KA1",-0.103740740740741,7.92355498472253e-06,1.97687469684582e-05
"ENSG00000238705",NA,"MIR1976",-0.103740740740741,7.92355498472253e-06,1.97687469684582e-05
"ENSG00000243905",NA,"RN7SL679P",-0.103740740740741,7.92355498472253e-06,1.97687469684582e-05
"ENSG00000252429",NA,"RNU7-29P",-0.103740740740741,7.92355498472253e-06,1.97687469684582e-05
"ENSG00000229247",NA,"RP11-492M19.3",-0.103740740740741,7.92355498472253e-06,1.97687469684582e-05
"ENSG00000235069",NA,"RP4-785J1.1",-0.103740740740741,7.92355498472253e-06,1.97687469684582e-05
"ENSG00000238316",NA,"snoU13",-0.103740740740741,7.92355498472253e-06,1.97687469684582e-05
"ENSG00000117713","H0Y488","ARID1A",-0.103740740740741,7.92355498472253e-06,1.97687469684582e-05
"ENSG00000260063",NA,"RP5-968P14.2",-0.103740740740741,7.92355498472253e-06,1.97687469684582e-05
"ENSG00000230523",NA,"RP3-437I16.1",-0.108101851851852,8.71454173539487e-07,2.69140876386082e-06
"ENSG00000225011",NA,"RP11-810H18.1",-0.108101851851852,8.71454173539487e-07,2.69140876386082e-06
"ENSG00000228176",NA,"RP4-656G21.1",-0.108101851851852,8.71454173539487e-07,2.69140876386082e-06
"ENSG00000270927",NA,"RP11-179G8.1",-0.11212037037037,4.68557284864488e-07,1.54031187658223e-06
"ENSG00000233399",NA,"RP11-111I12.1",-0.11212037037037,4.68557284864488e-07,1.54031187658223e-06
"ENSG00000233372",NA,"RP5-893G23.1",-0.107083333333333,1.99044342366984e-06,5.68309806175869e-06
"ENSG00000231251",NA,"RP3-357I16.1",-0.107083333333333,1.99044342366984e-06,5.68309806175869e-06
"ENSG00000236335",NA,"RP4-591L5.1",-0.107083333333333,1.99044342366984e-06,5.68309806175869e-06
"ENSG00000231949",NA,"RP4-591L5.2",-0.107083333333333,1.99044342366984e-06,5.68309806175869e-06
"ENSG00000186094","Q5VU57","AGBL4",-0.103657407407407,7.17359363724587e-07,2.2549242906593e-06
"ENSG00000162373","Q7L4P6","BEND5",-0.100055555555556,1.28198423873913e-06,3.82448507147002e-06
