"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000117676","E9PPC1","RPS6KA1",-0.101476190476191,1.76861427394482e-09,1.24053771170924e-08
"ENSG00000243905",NA,"RN7SL679P",-0.101476190476191,1.76861427394482e-09,1.24053771170924e-08
"ENSG00000252429",NA,"RNU7-29P",-0.101476190476191,1.76861427394482e-09,1.24053771170924e-08
"ENSG00000229247",NA,"RP11-492M19.3",-0.101476190476191,1.76861427394482e-09,1.24053771170924e-08
"ENSG00000235069",NA,"RP4-785J1.1",-0.101476190476191,1.76861427394482e-09,1.24053771170924e-08
"ENSG00000238316",NA,"snoU13",-0.101476190476191,1.76861427394482e-09,1.24053771170924e-08
"ENSG00000117713","H0Y488","ARID1A",-0.101476190476191,1.76861427394482e-09,1.24053771170924e-08
"ENSG00000260063",NA,"RP5-968P14.2",-0.101476190476191,1.76861427394482e-09,1.24053771170924e-08
"ENSG00000060642","A0A0A0MSQ1","PIGV",-0.101476190476191,1.76861427394482e-09,1.24053771170924e-08
"ENSG00000241188",NA,"RN7SL165P",-0.100542857142857,2.50123212226538e-09,1.69538494903491e-08
"ENSG00000204160","Q9NUE0","ZDHHC18",-0.100542857142857,2.50123212226538e-09,1.69538494903491e-08
"ENSG00000175793","P31947","SFN",-0.100542857142857,2.50123212226538e-09,1.69538494903491e-08
"ENSG00000142751","Q9H9Y4","GPN2",-0.100542857142857,2.50123212226538e-09,1.69538494903491e-08
"ENSG00000226698",NA,"RP1-50O24.6",-0.100542857142857,2.50123212226538e-09,1.69538494903491e-08
"ENSG00000198746","H0Y5H5","GPATCH3",-0.100542857142857,2.50123212226538e-09,1.69538494903491e-08
"ENSG00000060656","Q92729","PTPRU",-0.110657142857143,5.46214762009018e-10,4.34626294544157e-09
"ENSG00000230523",NA,"RP3-437I16.1",-0.110657142857143,5.46214762009018e-10,4.34626294544157e-09
"ENSG00000225011",NA,"RP11-810H18.1",-0.114733333333333,1.39361520969324e-10,1.37414576780662e-09
"ENSG00000228176",NA,"RP4-656G21.1",-0.111133333333333,1.16259164709059e-09,8.51193361605294e-09
"ENSG00000270927",NA,"RP11-179G8.1",-0.116752380952381,1.40458367438902e-10,1.38176417754837e-09
"ENSG00000233399",NA,"RP11-111I12.1",-0.116752380952381,1.40458367438902e-10,1.38176417754837e-09
"ENSG00000233372",NA,"RP5-893G23.1",-0.112257142857143,3.37316975897041e-10,2.88011204339275e-09
"ENSG00000231251",NA,"RP3-357I16.1",-0.112257142857143,3.37316975897041e-10,2.88011204339275e-09
"ENSG00000236335",NA,"RP4-591L5.1",-0.112257142857143,3.37316975897041e-10,2.88011204339275e-09
"ENSG00000231949",NA,"RP4-591L5.2",-0.112257142857143,3.37316975897041e-10,2.88011204339275e-09
"ENSG00000207349",NA,"RNVU1-17",0.102380952380952,3.64126535087472e-06,1.32674146235179e-05
"ENSG00000206737",NA,"RNVU1-18",0.102380952380952,3.64126535087472e-06,1.32674146235179e-05
"ENSG00000252826",NA,"RNU1-92P",0.102380952380952,3.64126535087472e-06,1.32674146235179e-05
"ENSG00000223779",NA,"RP11-403I13.4",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000232721",NA,"RP11-403I13.5",0.102380952380952,3.64126535087472e-06,1.32674146235179e-05
"ENSG00000162825","H7BY70","NBPF20",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000175658",NA,"DRD5P2",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000196369","P0DMP2","SRGAP2B",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000207205",NA,"RNVU1-15",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000207501",NA,"RNVU1-14",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000215784","Q6L9T8","FAM72D",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000222854",NA,"RNA5SP59",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000223612",NA,"RP11-289I10.2",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000224363",NA,"RP11-289H16.1",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000227212",NA,"PFN1P6",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000229002",NA,"RP11-666A1.4",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000230186",NA,"RP5-998N21.7",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000232527",NA,"RP11-14N7.2",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000233430",NA,"RP11-403I13.9",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000233586",NA,"RP11-763B22.3",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000234367",NA,"PFN1P3",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000234571",NA,"RP5-998N21.4",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000236140",NA,"RP11-89F3.2",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000237343",NA,"RP11-763B22.4",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000237503",NA,"RP5-998N21.3",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000242352",NA,"FAM91A3P",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000252105",NA,"RNU1-143P",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000256374","F5H284","PPIAL4D",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000263513","H0Y354","FAM72C",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000263590",NA,"RP11-403I13.7",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000265531",NA,"FCGR1CP",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000266338","Q8N660","NBPF15",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000268074",NA,"RPL22P5",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000270872",NA,"SRGAP2D",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000270962",NA,"RP11-403I13.10",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
"ENSG00000271291",NA,"RP11-289I10.3",0.11212380952381,3.98388298745506e-07,1.72577824018724e-06
