Regulon	Size	NES	p.value	FDR	Sign
AGFG2	76	3.36	0.000776	0.211	+
NDRG2	157	3.22	0.00126	0.211	+
ID4	337	3.18	0.00147	0.211	+
TNXB	49	3.18	0.00147	0.211	+
GALR2	45	3.17	0.00152	0.211	+
RSPO1	37	3.16	0.00157	0.211	+
PAX1	75	3.14	0.00167	0.211	+
NRXN1	36	3.13	0.00173	0.211	+
GAL	55	3.1	0.00195	0.211	+
PRKAR1A	32	3.09	0.00198	0.211	+
GREM2	57	3.08	0.00204	0.211	+
GPR176	31	3.06	0.00218	0.211	+
TP63	149	3.06	0.00218	0.211	+
RAD51	66	3.05	0.00226	0.211	+
PLCXD3	51	3.05	0.00231	0.211	+
AURKA	42	3.05	0.00231	0.211	+
PEG3	53	3.04	0.00233	0.211	+
HOXA11	76	3.03	0.00245	0.211	+
TTK	58	3.02	0.00256	0.211	+
LRRN2	42	3.02	0.00256	0.211	+
E2F7	129	3.01	0.00259	0.211	+
AFF3	117	2.99	0.00281	0.211	+
MYBL1	83	2.98	0.00285	0.211	+
GRIK3	44	2.98	0.00285	0.211	+
ZNF530	70	2.98	0.00286	0.211	+
NDC80	63	2.96	0.00303	0.211	+
MAP2K6	63	2.95	0.00317	0.211	+
CACNA1I	41	2.95	0.00318	0.211	+
NRIP2	354	2.93	0.00334	0.211	+
BUB1B	69	2.93	0.00335	0.211	+
TGFBR1	41	2.93	0.00344	0.211	+
ZNF135	65	2.92	0.00346	0.211	+
DEPTOR	56	2.92	0.00351	0.211	+
STK3	59	2.91	0.00357	0.211	+
NTRK3	33	2.91	0.00357	0.211	+
ZNF880	320	2.91	0.00357	0.211	+
TIPIN	52	2.91	0.00359	0.211	+
MYNN	77	2.9	0.00368	0.211	+
SP8	69	2.89	0.00384	0.211	+
TAOK1	173	2.89	0.00388	0.211	+
GNG13	46	2.88	0.00399	0.211	+
NME2	249	2.88	0.00401	0.211	+
TACR1	40	2.88	0.00401	0.211	+
TCF19	130	2.88	0.00404	0.211	+
RAD9A	36	2.87	0.00406	0.211	+
CTNND2	28	2.87	0.00412	0.211	+
EYA1	251	2.87	0.00412	0.211	+
TRAF3	53	2.86	0.00421	0.211	+
CIT	51	2.86	0.00422	0.211	+
M6PR	42	2.86	0.00425	0.211	+
WISP1	37	2.85	0.00435	0.211	+
KLF9	31	2.85	0.00437	0.211	+
FEN1	43	2.84	0.00444	0.211	+
GNAL	50	2.84	0.00446	0.211	+
TAF2	75	2.84	0.00448	0.211	+
ADIPOQ	45	2.84	0.00451	0.211	+
STK39	58	2.84	0.00455	0.211	+
MEOX2	50	2.82	0.00473	0.211	+
BLM	36	2.82	0.00476	0.211	+
ZNF677	54	2.82	0.00487	0.211	+
ABL2	61	2.82	0.00488	0.211	+
PAX9	123	2.81	0.00489	0.211	+
MCM4	128	2.81	0.00492	0.211	+
PATZ1	192	2.81	0.00492	0.211	+
GNAZ	105	2.81	0.00496	0.211	+
RORC	172	2.81	0.00501	0.211	+
HMGXB4	68	2.78	0.00537	0.218	+
PDPN	47	2.77	0.0056	0.223	+
ATP2C1	36	2.77	0.00567	0.223	+
FGF7	31	2.76	0.00575	0.223	+
NLE1	106	2.75	0.00591	0.226	+
SGSM1	84	2.75	0.00598	0.226	+
MYBL2	144	2.74	0.00621	0.23	+
DMTF1	100	2.72	0.00651	0.232	+
LMO3	148	2.72	0.00651	0.232	+
RACGAP1	45	2.72	0.00654	0.232	+
SRI	36	2.72	0.0066	0.233	+
BHLHE22	67	2.69	0.00707	0.238	+
ZNF789	114	2.69	0.00719	0.24	+
ACKR1	51	2.67	0.00764	0.245	+
TTF1	55	2.66	0.00771	0.245	+
ZNF544	78	2.66	0.00788	0.248	+
MGA	117	2.66	0.00791	0.248	+
GPRC5B	68	2.66	0.00793	0.248	+
CAD	131	2.65	0.00807	0.25	+
CCNT1	380	2.64	0.00818	0.251	+
BMP4	26	2.63	0.00864	0.263	+
ATAD2	140	2.63	0.00866	0.263	+
UBE2C	72	2.62	0.00874	0.263	+
CENPF	202	2.61	0.00903	0.263	+
ERBB2	47	2.6	0.00924	0.263	+
GULP1	73	2.59	0.00954	0.263	+
PI4KA	47	2.59	0.00955	0.263	+
EPHB4	46	2.59	0.00965	0.263	+
POLE	90	2.59	0.00974	0.263	+
FABP4	104	2.58	0.00975	0.263	+
CAND1	48	2.58	0.00977	0.263	+
BRCA1	94	2.58	0.00984	0.263	+
SPAG5	51	2.58	0.00989	0.263	+
NPAS3	59	2.58	0.00992	0.263	+
ELN	66	2.58	0.00997	0.263	+
TOP2A	260	2.58	0.01	0.263	+
BID	88	2.58	0.01	0.263	+
CRYM	291	2.57	0.0101	0.263	+
AHR	64	2.56	0.0104	0.263	+
PLXNA2	71	2.56	0.0104	0.263	+
MED1	63	2.56	0.0105	0.263	+
HOXB2	74	2.56	0.0106	0.263	+
DLX1	85	2.56	0.0106	0.263	+
PSMC3IP	207	2.56	0.0106	0.263	+
BRIP1	111	2.55	0.0108	0.266	+
MYH9	75	2.54	0.0109	0.267	+
GUCY2C	58	2.54	0.0111	0.268	+
ITGA5	131	2.54	0.0112	0.268	+
ADCY5	51	2.53	0.0113	0.269	+
ZNF695	218	2.52	0.0117	0.271	+
PARK2	46	2.52	0.0117	0.271	+
ZNF471	40	2.51	0.012	0.272	+
ZNF534	61	2.51	0.0121	0.272	+
RBL1	78	2.5	0.0124	0.272	+
SAP30L	162	2.5	0.0124	0.272	+
GNRHR2	87	2.5	0.0124	0.272	+
WWTR1	82	2.5	0.0125	0.273	+
PDK4	25	2.49	0.0126	0.273	+
PPP1CB	58	2.49	0.0127	0.273	+
FANCA	57	2.49	0.0128	0.273	+
RIIAD1	56	2.49	0.0128	0.273	+
E2F5	83	2.48	0.013	0.274	+
APH1A	39	2.48	0.013	0.274	+
BRE	49	2.48	0.0131	0.275	+
ZNF415	28	2.48	0.0132	0.275	+
PRKAR2B	32	2.48	0.0132	0.275	+
WNK1	47	2.47	0.0133	0.276	+
ZNF280B	74	2.47	0.0135	0.278	+
WSB2	46	2.46	0.0138	0.278	+
GDF7	189	2.46	0.0138	0.278	+
ZNF425	67	2.46	0.0138	0.278	+
HOMER3	108	2.46	0.0139	0.278	+
ZNF92	47	2.46	0.0139	0.278	+
OR5K2	38	2.46	0.014	0.278	+
CLTCL1	47	2.45	0.0143	0.278	+
AGTR1	34	2.45	0.0143	0.278	+
PTHLH	55	2.45	0.0144	0.278	+
TBC1D23	33	2.45	0.0145	0.279	+
RHBDL2	52	2.44	0.0146	0.279	+
TAC1	30	2.44	0.0146	0.279	+
GPR149	62	2.44	0.0147	0.279	+
L3MBTL1	125	2.44	0.0148	0.279	+
HBP1	89	2.44	0.0148	0.279	+
ADM	63	2.43	0.0151	0.279	+
PTCH2	87	2.43	0.0151	0.279	+
MGLL	108	2.43	0.0152	0.279	+
PDE3A	48	2.43	0.0152	0.279	+
ZBTB25	78	2.43	0.0153	0.28	+
ITGA6	61	2.42	0.0154	0.282	+
CDK6	76	2.42	0.0156	0.282	+
CKS2	122	2.42	0.0157	0.283	+
SRFBP1	104	2.42	0.0157	0.283	+
OR10Z1	40	2.41	0.0159	0.284	+
ACVR1	87	2.4	0.0163	0.287	+
CDK12	187	2.4	0.0164	0.287	+
FCER1A	58	2.4	0.0165	0.287	+
GKAP1	113	2.4	0.0165	0.287	+
TRAK2	229	2.4	0.0166	0.287	+
WISP2	26	2.4	0.0166	0.287	+
OR2L13	45	2.38	0.0172	0.295	+
COL1A1	113	2.38	0.0174	0.296	+
TFDP2	110	2.38	0.0175	0.297	+
TOB1	36	2.37	0.0176	0.297	+
CSPG4	38	2.37	0.0178	0.298	+
PTPN14	109	2.36	0.0182	0.301	+
ZNF154	58	2.36	0.0182	0.301	+
CHEK2	54	2.36	0.0184	0.302	+
PIK3C2B	43	2.36	0.0185	0.302	+
ZNF581	90	2.35	0.0186	0.303	+
MCM6	77	2.35	0.0187	0.303	+
DEPDC4	65	2.35	0.0187	0.303	+
CIDEA	58	2.35	0.0189	0.303	+
EZH2	69	2.35	0.0189	0.303	+
PILRB	111	2.35	0.0189	0.303	+
KLF15	87	2.34	0.0191	0.303	+
HOXD1	103	2.34	0.0193	0.303	+
OSMR	30	2.34	0.0193	0.303	+
MSC	105	2.34	0.0195	0.303	+
TRIP13	209	2.33	0.0198	0.303	+
HOXC5	64	2.33	0.0199	0.303	+
AXIN2	42	2.33	0.0199	0.303	+
TRIM28	80	2.33	0.02	0.303	+
DGKG	85	2.32	0.0201	0.303	+
HDAC5	256	2.32	0.0202	0.303	+
ZNF582	29	2.32	0.0204	0.303	+
TGIF1	91	2.32	0.0205	0.303	+
IRX6	134	2.32	0.0205	0.303	+
ZNF124	86	2.31	0.0208	0.303	+
NKD2	64	2.31	0.0209	0.303	+
MAGI2	91	2.31	0.0209	0.303	+
LHX5	73	2.31	0.0209	0.303	+
ERBB3	55	2.31	0.021	0.303	+
RGMA	69	2.3	0.0212	0.303	+
TFAP2B	91	2.3	0.0213	0.303	+
GABRR3	33	2.3	0.0213	0.303	+
ANXA9	88	2.3	0.0214	0.303	+
TNIK	61	2.3	0.0214	0.303	+
HSPD1	90	2.3	0.0214	0.303	+
ZNF853	200	2.3	0.0215	0.303	+
TCEA3	330	2.3	0.0215	0.303	+
CREB5	116	2.3	0.0215	0.303	+
FOXC2	130	2.3	0.0215	0.303	+
DUSP6	56	2.3	0.0216	0.303	+
PREX2	31	2.3	0.0216	0.303	+
RGS10	52	2.29	0.0218	0.303	+
PHB	184	2.29	0.0218	0.303	+
SNIP1	40	2.29	0.0218	0.303	+
TMEM101	60	2.29	0.0219	0.303	+
ITGA3	75	2.29	0.022	0.303	+
PPP4C	104	2.29	0.0221	0.305	+
MEOX1	44	2.28	0.0226	0.309	+
TNFAIP3	50	2.28	0.0228	0.309	+
CDCA7	70	2.28	0.0228	0.309	+
HSP90AA1	62	2.27	0.0231	0.312	+
RASL12	35	2.27	0.0232	0.312	+
L3MBTL4	117	2.27	0.0234	0.312	+
PDE1A	26	2.26	0.0235	0.312	+
TAF5L	41	2.26	0.024	0.312	+
HOXB13	67	2.26	0.024	0.312	+
XBP1	81	2.25	0.0242	0.312	+
ZNF207	80	2.25	0.0243	0.312	+
SALL4	94	2.25	0.0244	0.312	+
RND2	101	2.25	0.0245	0.312	+
TIMELESS	193	2.25	0.0245	0.312	+
RGS4	26	2.24	0.0249	0.312	+
PTPRR	52	2.24	0.0249	0.312	+
PYGO1	96	2.24	0.025	0.312	+
ECM1	72	2.24	0.0251	0.312	+
RPS27A	199	2.24	0.0252	0.312	+
GMNN	227	2.24	0.0252	0.312	+
INHBA	509	2.24	0.0253	0.312	+
HOXC11	95	2.23	0.0257	0.312	+
HAT1	110	2.23	0.0257	0.312	+
CAV2	47	2.23	0.0261	0.315	+
ZNF71	45	2.22	0.0262	0.315	+
DPF1	193	2.22	0.0264	0.315	+
AGO2	98	2.22	0.0266	0.315	+
TFAP4	144	2.22	0.0266	0.315	+
LHCGR	35	2.22	0.0267	0.315	+
ZNRD1	96	2.22	0.0267	0.315	+
ZNF281	165	2.21	0.0268	0.315	+
HOXA5	90	2.21	0.0268	0.315	+
TNFSF15	31	2.21	0.0269	0.315	+
ITPR3	77	2.21	0.0274	0.315	+
GRIN2B	47	2.21	0.0274	0.315	+
PTGDR2	34	2.2	0.0276	0.315	+
HIST1H4K	35	2.2	0.0277	0.315	+
HDGF	76	2.2	0.0277	0.315	+
PEX11B	60	2.2	0.0278	0.315	+
MLLT6	259	2.2	0.0279	0.315	+
LHX1	119	2.2	0.0279	0.315	+
ZNF618	92	2.2	0.0279	0.315	+
GDF6	343	2.2	0.028	0.315	+
FOXN2	80	2.2	0.0281	0.315	+
ZBED2	93	2.19	0.0284	0.316	+
