Regulon	Size	NES	p.value	FDR	Sign
FOXI1	90	3.86	0.000113	0.0641	+
GCGR	69	3.85	0.000118	0.0641	+
PIK3C2G	33	3.84	0.000122	0.0641	+
KNG1	59	3.83	0.000128	0.0641	+
FGF9	56	3.74	0.000186	0.0641	+
OXGR1	89	3.72	0.000202	0.0641	+
PLCG2	75	3.65	0.000259	0.0641	+
ERBB4	55	3.65	0.000265	0.0641	+
MT1H	47	3.57	0.000357	0.0641	+
AMFR	78	3.47	0.000519	0.0641	+
NPHS1	45	3.42	0.000626	0.0641	+
WNK4	37	3.4	0.000671	0.0641	+
CDK18	150	3.38	0.000727	0.0641	+
GRIK5	46	3.36	0.000777	0.0641	+
KLK6	43	3.35	0.000804	0.0641	+
CRHBP	31	3.35	0.00082	0.0641	+
FOXJ3	40	3.34	0.00085	0.0641	+
PTPRO	52	3.33	0.000879	0.0641	+
MCM5	161	3.32	0.00091	0.0641	+
ANGPTL4	110	3.3	0.000966	0.0641	+
ASB15	28	3.29	0.000992	0.0641	+
ZNF165	38	3.29	0.001	0.0641	+
SIRPB1	30	3.27	0.00106	0.0641	+
STAC2	30	3.27	0.00107	0.0641	+
IRX2	69	3.25	0.00117	0.0657	+
INSIG2	40	3.24	0.00117	0.0657	+
PDLIM1	338	3.24	0.00119	0.0657	+
IFI16	309	3.24	0.00119	0.0657	+
DNER	30	3.23	0.00123	0.0657	+
ARL4D	68	3.23	0.00125	0.0657	+
GRHL1	35	3.22	0.00127	0.0657	+
FGF1	36	3.2	0.00139	0.0657	+
IRX1	85	3.19	0.00144	0.0657	+
UNCX	30	3.18	0.00145	0.0657	+
SPSB4	32	3.16	0.00156	0.0667	+
CNTN1	47	3.15	0.00165	0.0682	+
LHX1	31	3.14	0.0017	0.0682	+
BID	64	3.14	0.00171	0.0682	+
PDE1A	50	3.13	0.00172	0.0682	+
IFNGR2	39	3.12	0.0018	0.0687	+
CLIC1	81	3.12	0.00183	0.0687	+
LRP1B	32	3.12	0.00184	0.0687	+
PRDX4	70	3.11	0.00187	0.0687	+
CAPS	60	3.1	0.00191	0.0689	+
ARHGAP22	57	3.1	0.00193	0.0689	+
PTGER1	43	3.09	0.00198	0.0695	+
FAS	35	3.08	0.00209	0.0719	+
LMO3	250	3.07	0.00213	0.0722	+
TBX15	54	3.06	0.00222	0.0725	+
STMN3	58	3.06	0.00224	0.0725	+
PRDM1	82	3.04	0.00238	0.0753	+
DACH1	250	3.04	0.0024	0.0753	+
PRKCSH	54	3.02	0.00251	0.0769	+
TBC1D9B	87	3.02	0.00253	0.0769	+
NCK2	29	3.02	0.00257	0.0769	+
SOX10	68	3	0.00266	0.0783	+
TNFAIP6	64	2.98	0.00286	0.0825	+
TFCP2L1	136	2.97	0.00297	0.0829	+
ZNF267	94	2.97	0.00299	0.0829	+
BCKDK	42	2.95	0.00315	0.086	+
ZNF438	27	2.94	0.00326	0.0865	+
PREX1	39	2.94	0.0033	0.0865	+
DIRAS1	64	2.94	0.00333	0.0865	+
MYBL1	90	2.93	0.00334	0.0865	+
OSMR	90	2.93	0.00343	0.0865	+
LGALS1	135	2.92	0.00345	0.0865	+
IL15RA	45	2.92	0.00349	0.0865	+
GRIK3	63	2.91	0.0036	0.0867	+
LILRB1	32	2.91	0.00364	0.0867	+
RASD2	35	2.91	0.00367	0.0867	+
ASF1B	303	2.9	0.00367	0.0867	+
RIN1	74	2.9	0.00372	0.0873	+
IL11	214	2.89	0.00383	0.0879	+
HCLS1	191	2.89	0.00385	0.0879	+
RNF43	120	2.89	0.00388	0.0882	+
TRADD	60	2.88	0.00399	0.0886	+
CBLC	42	2.88	0.004	0.0886	+
ETV7	61	2.88	0.00401	0.0886	+
HSF4	236	2.87	0.00411	0.0895	+
BRCA2	69	2.86	0.00429	0.0903	+
SHC1	80	2.85	0.00436	0.0903	+
ARHGAP25	33	2.85	0.00436	0.0903	+
CYP27B1	30	2.85	0.00442	0.0905	+
CD4	25	2.84	0.00448	0.0915	+
NRXN1	35	2.84	0.00453	0.092	+
LRRN2	44	2.83	0.00464	0.0928	+
ZHX2	37	2.83	0.00465	0.0928	+
EPHA1	51	2.83	0.0047	0.0928	+
RRAS	43	2.82	0.00473	0.0929	+
AXL	33	2.82	0.00475	0.0929	+
DEPDC1	69	2.82	0.00478	0.0932	+
WSB1	109	2.82	0.00486	0.0933	+
RUNX3	50	2.82	0.00488	0.0933	+
TBX19	89	2.81	0.00494	0.0936	+
PLCL1	119	2.81	0.00497	0.094	+
