Regulon	Size	NES	p.value	FDR	Sign
PAX6	90	3.79	0.000152	0.0758	+
ERG	197	3.63	0.000287	0.0758	+
GAB1	72	3.6	0.00032	0.0758	+
EPAS1	131	3.57	0.000351	0.0758	+
FOXF1	139	3.54	0.000394	0.0758	+
RAMP2	39	3.52	0.000437	0.0758	+
ZNF438	65	3.51	0.000448	0.0758	+
IL1RL2	37	3.49	0.000488	0.0758	+
HMGA1	173	3.45	0.000561	0.0758	+
SOX17	71	3.45	0.000561	0.0758	+
GPC3	39	3.45	0.000568	0.0758	+
ACVRL1	26	3.44	0.000575	0.0758	+
CALCRL	34	3.44	0.000585	0.0758	+
ZSWIM1	81	3.4	0.000683	0.0758	+
LRRN3	41	3.39	0.000694	0.0758	+
TRHDE	30	3.39	0.000702	0.0758	+
RCAN1	45	3.36	0.000768	0.0758	+
ZFYVE9	132	3.36	0.000786	0.0758	+
PKIA	99	3.35	0.000797	0.0758	+
PADI4	79	3.35	0.000814	0.0758	+
GRIA1	80	3.34	0.000844	0.0758	+
RSPO1	67	3.31	0.000917	0.0758	+
PKNOX2	64	3.29	0.00101	0.0758	+
SPTBN1	89	3.28	0.00102	0.0758	+
PTPRB	26	3.28	0.00104	0.0758	+
STARD8	41	3.27	0.00106	0.0758	+
FADD	36	3.27	0.00107	0.0758	+
SLIT2	74	3.27	0.00108	0.0758	+
SND1	127	3.26	0.0011	0.0758	+
CRYAB	33	3.26	0.00111	0.0758	+
TRAF7	91	3.24	0.00119	0.0758	+
ACKR1	29	3.24	0.00121	0.0758	+
NELFCD	126	3.24	0.00121	0.0758	+
ARID4A	159	3.23	0.00122	0.0758	+
WNT3A	197	3.23	0.00122	0.0758	+
ARHGAP6	52	3.21	0.00132	0.0758	+
AGER	132	3.2	0.00136	0.0758	+
SUV39H1	30	3.19	0.00144	0.0758	+
RHOJ	81	3.19	0.00145	0.0758	+
NONO	90	3.18	0.00145	0.0758	+
LRRFIP1	141	3.18	0.00147	0.0758	+
IQGAP3	61	3.18	0.00147	0.0758	+
TIE1	53	3.18	0.00148	0.0758	+
CAT	95	3.17	0.00151	0.0758	+
FLI1	275	3.17	0.00153	0.0758	+
PYGO2	695	3.17	0.00153	0.0758	+
FABP4	225	3.16	0.00156	0.0758	+
PTRF	531	3.16	0.00158	0.0758	+
MYBL2	253	3.15	0.00162	0.0758	+
TBX2	67	3.15	0.00162	0.0758	+
TONSL	182	3.14	0.0017	0.0758	+
TFAP4	100	3.14	0.00171	0.0758	+
ARNTL2	238	3.13	0.00172	0.0758	+
TCF7L1	43	3.13	0.00172	0.0758	+
KHDRBS2	127	3.13	0.00173	0.0758	+
ILF2	584	3.13	0.00175	0.0758	+
PRKD1	26	3.12	0.00178	0.0758	+
NRXN1	33	3.12	0.00178	0.0758	+
DAP	28	3.12	0.00178	0.0758	+
NLE1	45	3.12	0.00179	0.0758	+
SHOX2	81	3.12	0.0018	0.0758	+
MAPK3	53	3.12	0.00181	0.0758	+
MCM7	157	3.12	0.00183	0.0758	+
HDAC8	101	3.11	0.00184	0.0758	+
BMP7	236	3.11	0.00186	0.0758	+
CHRDL1	42	3.11	0.00186	0.0758	+
PPARD	166	3.11	0.00186	0.0758	+
TRIP13	190	3.1	0.0019	0.0758	+
CAV1	46	3.09	0.00198	0.0758	+
YY1AP1	68	3.09	0.00198	0.0758	+
BRIP1	48	3.09	0.00199	0.0758	+
EPHB6	38	3.09	0.002	0.0758	+
MED10	122	3.09	0.00201	0.0758	+
ACTN2	103	3.09	0.00203	0.0758	+
GHR	57	3.08	0.00209	0.0758	+
WISP2	27	3.07	0.00214	0.0758	+
SAP30L	133	3.06	0.00224	0.0758	+
VGLL1	131	3.05	0.00226	0.0758	+
GDF6	191	3.05	0.00231	0.0758	+
TBX3	28	3.05	0.00232	0.0758	+
HLX	58	3.04	0.00234	0.0758	+
ZNF366	195	3.04	0.00236	0.0758	+
NFYA	92	3.04	0.00236	0.0758	+
MAZ	58	3.04	0.0024	0.0758	+
HNRNPAB	40	3.03	0.00248	0.0758	+
IRX1	77	3.02	0.00253	0.0758	+
PPP4C	91	3.01	0.00258	0.0758	+
MAP3K3	100	3.01	0.00259	0.0758	+
CAMK2A	57	3.01	0.00261	0.0758	+
ERBB4	37	3.01	0.00261	0.0758	+
NDRG2	31	3.01	0.00262	0.0758	+
SETD3	123	3.01	0.00265	0.0758	+
FEN1	50	3.01	0.00265	0.0758	+
TNXB	51	3	0.00266	0.0758	+
CENPF	269	3	0.0027	0.0758	+
CDK5	88	3	0.0027	0.0758	+
CFL1	57	3	0.00273	0.0758	+
PRKDC	114	2.99	0.00277	0.0758	+
PSMC3IP	78	2.99	0.0028	0.0758	+
NPAS4	70	2.99	0.00282	0.0759	+
APBB2	40	2.98	0.00285	0.0762	+
RXRG	82	2.98	0.00289	0.0762	+
PLCL1	36	2.97	0.00298	0.0769	+
FIBP	46	2.97	0.003	0.0769	+
ERO1A	61	2.97	0.00302	0.0769	+
NR0B2	69	2.96	0.00303	0.0769	+
MRPL12	517	2.96	0.00304	0.0769	+
CREB3L2	59	2.96	0.00311	0.0769	+
RAMP3	35	2.96	0.00312	0.0769	+
ID4	111	2.96	0.00313	0.0769	+
JDP2	107	2.95	0.00314	0.0769	+
SSBP2	111	2.95	0.00317	0.0769	+
PRKCE	44	2.95	0.00318	0.0769	+
ATAD2	136	2.95	0.00319	0.0769	+
TRIM27	73	2.94	0.00325	0.0769	+
NDST1	98	2.94	0.00331	0.0769	+
COL1A1	87	2.94	0.00333	0.0769	+
ZSWIM6	176	2.93	0.00334	0.0769	+
CDK2	65	2.93	0.00335	0.0769	+
CRABP2	49	2.93	0.00338	0.0769	+
CDH13	59	2.93	0.00339	0.0769	+
AJUBA	61	2.93	0.00343	0.0775	+
EIF2AK2	61	2.92	0.00352	0.0781	+
ZNF34	58	2.92	0.00354	0.0781	+
E2F7	81	2.91	0.00361	0.0784	+
PREB	161	2.91	0.00361	0.0784	+
CREB5	70	2.91	0.00363	0.0784	+
AGO2	58	2.91	0.00364	0.0784	+
FOXH1	41	2.9	0.00368	0.0784	+
TBL1XR1	116	2.9	0.00368	0.0784	+
PTPN14	118	2.9	0.0037	0.0784	+
CRY2	236	2.9	0.00372	0.0784	+
CBFA2T3	89	2.9	0.00373	0.0784	+
FHL2	35	2.89	0.00381	0.0784	+
PC	34	2.89	0.00381	0.0784	+
PKIG	39	2.89	0.00382	0.0784	+
GTF2A1L	139	2.89	0.00384	0.0784	+
MCM6	201	2.89	0.00386	0.0784	+
