Regulon	Size	NES	p.value	FDR	Sign
TNXB	59	3.64	0.000272	0.0892	+
TYMS	25	3.63	0.000279	0.0892	+
FOXM1	208	3.58	0.000347	0.0892	+
UBE2C	72	3.57	0.00036	0.0892	+
TBC1D31	32	3.52	0.000439	0.0892	+
MCM3	47	3.51	0.000449	0.0892	+
HDGF	108	3.5	0.000467	0.0892	+
TRIP13	258	3.49	0.00049	0.0892	+
NDC80	58	3.49	0.000491	0.0892	+
MYBL2	246	3.46	0.000532	0.0892	+
STARD8	59	3.44	0.000578	0.0892	+
AGER	88	3.44	0.00059	0.0892	+
TIMELESS	246	3.43	0.000604	0.0892	+
E2F1	97	3.42	0.000637	0.0892	+
RACGAP1	50	3.4	0.00068	0.0892	+
FABP4	78	3.38	0.000725	0.0892	+
AFF3	103	3.35	0.000805	0.0892	+
ACTN2	134	3.35	0.000812	0.0892	+
TOP2A	244	3.34	0.000843	0.0892	+
CHRDL1	31	3.34	0.000845	0.0892	+
FEN1	60	3.33	0.000874	0.0892	+
AURKA	68	3.29	0.000992	0.0892	+
SRPK1	47	3.28	0.00105	0.0892	+
PLCXD2	117	3.27	0.00109	0.0892	+
CENPI	61	3.27	0.00109	0.0892	+
DNMT3B	130	3.26	0.0011	0.0892	+
TFG	67	3.26	0.00113	0.0892	+
ZC3HC1	171	3.25	0.00114	0.0892	+
TCEAL2	194	3.24	0.00119	0.0892	+
NPR1	37	3.24	0.00119	0.0892	+
LIFR	28	3.24	0.00121	0.0892	+
ZNF385B	109	3.23	0.00122	0.0892	+
EIF4EBP1	63	3.23	0.00126	0.0892	+
RFC4	68	3.22	0.00128	0.0892	+
ADGRD1	26	3.21	0.00132	0.0892	+
ELN	35	3.2	0.00137	0.0892	+
CENPF	333	3.2	0.00138	0.0892	+
RUVBL1	85	3.2	0.00138	0.0892	+
ACVRL1	52	3.19	0.00141	0.0892	+
SPAG5	88	3.19	0.00144	0.0892	+
ID4	150	3.18	0.00145	0.0892	+
NR2F2	47	3.17	0.0015	0.0892	+
PTPRN2	45	3.17	0.00151	0.0892	+
ATAD2	137	3.17	0.00154	0.0892	+
GNG11	31	3.17	0.00154	0.0892	+
GTSE1	58	3.16	0.00159	0.0892	+
CBLC	54	3.16	0.0016	0.0892	+
HMGA1	98	3.15	0.00161	0.0892	+
RGN	37	3.15	0.00163	0.0892	+
ACTL6A	73	3.14	0.00167	0.0892	+
PTPRB	35	3.14	0.00168	0.0892	+
ZNF623	89	3.14	0.00169	0.0892	+
RBL1	86	3.14	0.0017	0.0892	+
RAMP2	36	3.13	0.00172	0.0892	+
NR5A2	49	3.13	0.00175	0.0892	+
HOXA1	88	3.13	0.00177	0.0892	+
RXRG	62	3.12	0.00178	0.0892	+
SSTR1	31	3.12	0.0018	0.0892	+
CASP2	34	3.12	0.00181	0.0892	+
IQGAP3	58	3.12	0.00183	0.0892	+
ARHGAP6	36	3.11	0.00187	0.0892	+
CKS1B	158	3.11	0.00187	0.0892	+
NONO	55	3.09	0.00198	0.0892	+
DNMT3A	158	3.09	0.00198	0.0892	+
GMPS	330	3.09	0.00199	0.0892	+
U2AF2	62	3.08	0.0021	0.0897	+
CASS4	42	3.07	0.00216	0.0897	+
TNS2	63	3.06	0.00219	0.0897	+
TONSL	150	3.06	0.0022	0.0897	+
MAZ	89	3.06	0.00221	0.0897	+
HSPD1	44	3.05	0.00229	0.09	+
AGTR1	28	3.03	0.00245	0.0923	+
LMO3	394	3.02	0.00249	0.0923	+
MARCO	31	3.02	0.00251	0.0924	+
CAD	103	3.01	0.00262	0.0926	+
ZC3H8	67	3	0.00268	0.0926	+
HIF3A	47	3	0.00269	0.0926	+
ATOH8	204	3	0.00272	0.0931	+
PARP1	77	2.99	0.00279	0.094	+
COLEC12	48	2.99	0.00279	0.094	+
PCNA	44	2.98	0.00291	0.0949	+
BLM	59	2.96	0.00312	0.096	+
CD300C	34	2.95	0.00315	0.096	+
MED29	74	2.95	0.00322	0.096	+
