Regulon	Size	NES	p.value	FDR	Sign
PYDC1	42	3.25	0.00116	0.198	+
BLZF1	128	3.22	0.0013	0.198	+
RP1	50	3.21	0.00132	0.198	+
BMPR2	173	3.19	0.00142	0.198	+
CBFA2T3	154	3.17	0.00154	0.198	+
MGLL	61	3.16	0.00157	0.198	+
RHBDL3	25	3.16	0.00158	0.198	+
FLT3	47	3.13	0.00173	0.198	+
FOXL1	74	3.1	0.00192	0.198	+
ARHGAP35	77	3.1	0.00193	0.198	+
ABLIM3	212	3.09	0.00203	0.198	+
LMO3	307	3.08	0.00209	0.198	+
DEPDC1B	61	3.07	0.00213	0.198	+
GRM6	65	3.07	0.00217	0.198	+
HOXB9	63	3.06	0.00223	0.198	+
RAB38	74	3.04	0.00233	0.198	+
PPARG	122	3.04	0.00234	0.198	+
BCL2L2	82	3.04	0.00234	0.198	+
RHOF	62	3.01	0.00258	0.198	+
ASAP2	115	3	0.00266	0.198	+
HOXB8	48	3	0.00273	0.198	+
NEUROD2	68	2.99	0.00275	0.198	+
CENPK	95	2.98	0.00293	0.198	+
NET1	43	2.97	0.00295	0.198	+
HOXB13	55	2.97	0.00296	0.198	+
IFI27	44	2.97	0.00296	0.198	+
HOXA13	41	2.97	0.00299	0.198	+
SOX21	91	2.96	0.00306	0.198	+
ACKR1	45	2.96	0.00307	0.198	+
ECT2	115	2.95	0.00321	0.198	+
RASSF10	40	2.94	0.00328	0.198	+
TGFA	72	2.94	0.00328	0.198	+
AURKA	65	2.93	0.00334	0.198	+
CGB5	50	2.93	0.00336	0.198	+
LIFR	99	2.93	0.00342	0.198	+
ADCY5	78	2.93	0.00344	0.198	+
MST1R	65	2.92	0.00347	0.198	+
PLEK2	63	2.92	0.00347	0.198	+
FUT8	52	2.92	0.00351	0.198	+
FOXP2	75	2.91	0.00364	0.198	+
PAX9	69	2.9	0.00367	0.198	+
PRKAR2B	50	2.9	0.00367	0.198	+
NPHS1	29	2.9	0.0037	0.198	+
SP1	115	2.9	0.00371	0.198	+
HIRA	140	2.9	0.00373	0.198	+
LGR6	64	2.9	0.00377	0.198	+
RYK	120	2.89	0.00381	0.198	+
NRG2	29	2.89	0.00382	0.198	+
UBE2C	82	2.89	0.00383	0.198	+
ZNF671	77	2.89	0.00385	0.198	+
SMURF1	71	2.89	0.00387	0.198	+
MAP4K4	96	2.89	0.00388	0.198	+
POU6F2	99	2.89	0.0039	0.198	+
PDK4	50	2.88	0.00395	0.198	+
MKL2	152	2.88	0.00395	0.198	+
CEACAM6	75	2.88	0.00397	0.198	+
