Regulon,Size,NES,p.value,FDR,Sign
PDLIM1_P,338,3.45,0.000551,0.126,+
ANGPTL4_P,110,3.43,0.000609,0.126,+
CASP1_P,30,3.3,0.000953,0.126,+
ZNF395_P,205,3.22,0.00127,0.126,+
CLIC1_P,81,3.19,0.00145,0.126,+
CAV2_P,88,3.14,0.00169,0.126,+
RHOG_P,65,3.14,0.0017,0.126,+
PRDX4_P,70,3.13,0.00173,0.126,+
PREX1_P,39,3.12,0.00184,0.126,+
EIF4EBP1_P,69,3.12,0.00184,0.126,+
ZNF438_P,27,3.06,0.00225,0.128,+
TBC1D9B_P,87,3.03,0.00243,0.128,+
TRAFD1_P,29,3.02,0.0025,0.128,+
MS4A6A_P,38,3.02,0.00255,0.128,+
TNFAIP6_P,64,3.01,0.00265,0.128,+
ABCG1_P,133,3,0.00266,0.128,+
IFI16_P,309,2.99,0.0028,0.128,+
TRADD_P,60,2.97,0.00298,0.131,+
FCER1G_P,54,2.96,0.00309,0.131,+
NEK6_P,55,2.93,0.00334,0.134,+
GNAI2_P,44,2.93,0.00336,0.134,+
MAZ_P,157,2.93,0.00338,0.134,+
ZCCHC8_P,56,2.89,0.00384,0.134,+
CD4_P,25,2.88,0.004,0.134,+
GUCY1B3_P,34,2.85,0.00437,0.136,+
FBXO6_P,38,2.85,0.00439,0.136,+
PRKCSH_P,54,2.84,0.00445,0.136,+
BACH1_P,100,2.84,0.00449,0.136,+
SETD7_P,112,2.84,0.00452,0.136,+
GMIP_P,26,2.83,0.00465,0.138,+
ITGA4_P,45,2.81,0.00496,0.139,+
TYROBP_P,49,2.81,0.00498,0.139,+
CDK18_P,150,2.79,0.0052,0.143,+
KDM3A_P,98,2.76,0.00581,0.157,+
BTK_P,45,2.75,0.00592,0.158,+
HCLS1_P,191,2.74,0.0061,0.159,+
RBCK1_P,93,2.72,0.00649,0.167,+
CD74_P,30,2.72,0.00661,0.169,+
ARHGAP25_P,33,2.7,0.00686,0.171,+
GNG2_P,37,2.68,0.00725,0.177,+
BNIP3_P,39,2.68,0.00734,0.178,+
ANXA4_P,84,2.66,0.0077,0.183,+
PML_P,192,2.66,0.00793,0.186,+
ENO1_P,84,2.65,0.00812,0.187,+
IRF7_P,67,2.65,0.00813,0.187,+
ADA_P,52,2.6,0.00927,0.202,+
NCK2_P,29,2.6,0.0093,0.202,+
STK10_P,36,2.59,0.00972,0.205,+
ELMO1_P,34,2.58,0.00977,0.205,+
VAV1_P,186,2.58,0.00985,0.205,+
ICAM1_P,354,2.56,0.0104,0.212,+
TP53_P,87,2.53,0.0114,0.229,+
SAP30_P,518,2.51,0.0119,0.234,+
CHEK2_P,37,2.51,0.012,0.234,+
NCS1_P,37,2.5,0.0123,0.235,+
ARL8B_P,193,2.5,0.0123,0.235,+
SPI1_P,196,2.49,0.0126,0.237,+
AXL_P,33,2.48,0.013,0.237,+
ERO1A_P,56,2.48,0.013,0.237,+
ZDHHC20_P,134,2.48,0.0131,0.237,+
