Regulon,Size,NES,p.value,FDR,Sign
ZNF106_P,200,3.3,0.000957,0.0974,+
NELFCD_P,126,3.29,0.000998,0.0974,+
HMGA1_P,173,3.29,0.00101,0.0974,+
CHAF1A_P,87,3.21,0.00133,0.0974,+
CHEK1_P,68,3.14,0.00168,0.0974,+
TRIP13_P,190,3.12,0.0018,0.0974,+
DAP_P,28,3.11,0.0019,0.0974,+
GTSE1_P,47,3.1,0.00191,0.0974,+
CHAF1B_P,103,3.1,0.00192,0.0974,+
PYGO2_P,695,3.09,0.00198,0.0974,+
CALR_P,34,3.08,0.00206,0.0974,+
MYBL2_P,253,3.06,0.00225,0.0974,+
SND1_P,127,3.05,0.00227,0.0974,+
MCM7_P,157,3.04,0.00234,0.0974,+
TTF2_P,66,3.03,0.00241,0.0974,+
GNA12_P,93,3.02,0.00249,0.0974,+
CRABP2_P,49,3.02,0.00251,0.0974,+
ERO1A_P,61,3.01,0.00262,0.0974,+
HELLS_P,205,2.99,0.0028,0.0974,+
CREB3L2_P,59,2.99,0.00281,0.0974,+
ILF2_P,584,2.99,0.00282,0.0974,+
FADD_P,36,2.99,0.00282,0.0974,+
TERF2IP_P,60,2.97,0.003,0.0974,+
CDYL_P,230,2.96,0.00311,0.0974,+
HNRNPAB_P,40,2.96,0.00312,0.0974,+
HMGN1_P,90,2.95,0.00318,0.0974,+
RANBP1_P,56,2.95,0.00319,0.0974,+
PREB_P,161,2.94,0.00333,0.0974,+
CENPF_P,269,2.93,0.0034,0.0974,+
ATAD2_P,136,2.92,0.00351,0.0974,+
CCNA2_P,159,2.91,0.00357,0.0974,+
NDC80_P,91,2.91,0.00363,0.0974,+
RAD51_P,57,2.9,0.00368,0.0974,+
SAP30_P,88,2.9,0.00376,0.0974,+
RHBDL2_P,46,2.9,0.00379,0.0974,+
BRIP1_P,48,2.86,0.0042,0.0974,+
GLMP_P,185,2.86,0.0042,0.0974,+
ADAM9_P,25,2.86,0.00425,0.0974,+
CDK5_P,88,2.86,0.00428,0.0974,+
SUV39H1_P,30,2.85,0.00431,0.0974,+
ZDHHC5_P,81,2.84,0.00444,0.0974,+
E2F3_P,65,2.84,0.00446,0.0974,+
MCM2_P,189,2.84,0.00455,0.0974,+
TTK_P,100,2.84,0.00457,0.0974,+
MNAT1_P,88,2.84,0.00457,0.0974,+
MCM3_P,41,2.83,0.00462,0.0974,+
FHL2_P,35,2.83,0.00469,0.0974,+
MAZ_P,58,2.83,0.00471,0.0974,+
CIAO1_P,111,2.83,0.00472,0.0974,+
CFL1_P,57,2.82,0.00484,0.0974,+
GMPS_P,99,2.81,0.00492,0.0974,+
ARHGEF16_P,56,2.81,0.00501,0.0975,+
TOP2A_P,336,2.8,0.00504,0.0975,+
ASF1B_P,244,2.79,0.00533,0.102,+
ZWINT_P,29,2.79,0.00535,0.102,+
WDR77_P,86,2.78,0.00542,0.103,+
RNF213_P,124,2.77,0.00564,0.106,+
FEN1_P,50,2.76,0.00582,0.107,+
NLE1_P,45,2.73,0.00625,0.113,+
AURKB_P,81,2.72,0.00646,0.116,+
PC_P,34,2.72,0.00656,0.116,+
TONSL_P,182,2.71,0.00672,0.118,+
CHEK2_P,35,2.71,0.00679,0.118,+
EIF2AK2_P,61,2.7,0.00698,0.12,+
SEC31A_P,56,2.69,0.00712,0.122,+
GMNN_P,116,2.69,0.00714,0.122,+
ITGA11_P,39,2.67,0.00766,0.128,+
TIMM50_P,43,2.67,0.00769,0.128,+
SP4_P,74,2.66,0.00771,0.128,+
ZC3HAV1L_P,201,2.66,0.00775,0.128,+
TAF6_P,63,2.66,0.00776,0.128,+
ZDHHC18_P,56,2.65,0.00809,0.132,+
PRKDC_P,114,2.63,0.0085,0.138,+
COL1A1_P,87,2.63,0.00863,0.139,+
MCM6_P,201,2.62,0.00881,0.14,+
BRCA1_P,36,2.62,0.00888,0.14,+
PDAP1_P,42,2.61,0.00914,0.143,+
IRAK1_P,39,2.59,0.00956,0.147,+
CERS2_P,86,2.59,0.0096,0.147,+
POLR2I_P,69,2.59,0.00973,0.148,+
NONO_P,90,2.58,0.0099,0.149,+
WHSC1_P,134,2.57,0.0101,0.149,+
CANT1_P,48,2.57,0.0102,0.149,+
RPS6KA5_P,39,2.56,0.0103,0.149,+
PPP4C_P,91,2.56,0.0104,0.149,+
EPHA1_P,38,2.56,0.0104,0.149,+
RAC3_P,47,2.56,0.0105,0.149,+
ZNF451_P,45,2.56,0.0105,0.149,+
REST_P,194,2.55,0.0107,0.15,+
PDCD11_P,192,2.55,0.0108,0.152,+
CD2AP_P,39,2.54,0.011,0.154,+
RXRB_P,124,2.54,0.0111,0.154,+
PSMC3_P,72,2.54,0.0112,0.155,+
SMARCD2_P,241,2.52,0.0117,0.16,+
MSH2_P,40,2.52,0.0117,0.16,+
ZC3HC1_P,194,2.52,0.0118,0.16,+
CAPN15_P,113,2.51,0.0121,0.162,+
SMARCA5_P,128,2.51,0.0122,0.163,+
CDK12_P,200,2.49,0.0129,0.169,+
ARID3A_P,100,2.48,0.013,0.17,+
OMD_P,51,2.48,0.0132,0.171,+
TAF5_P,85,2.48,0.0133,0.171,+
LEO1_P,73,2.44,0.0147,0.181,+
RAB25_P,79,2.43,0.015,0.183,+
PDIA3_P,56,2.43,0.0152,0.186,+
AATF_P,61,2.41,0.0161,0.191,+
TMPO_P,170,2.41,0.0161,0.191,+
MTA2_P,49,2.4,0.0162,0.191,+
BLM_P,30,2.39,0.0167,0.193,+
CBLC_P,29,2.38,0.0171,0.197,+
ING1_P,83,2.38,0.0175,0.199,+
GTF2E2_P,159,2.38,0.0175,0.199,+
H2AFX_P,44,2.37,0.018,0.202,+
RPS6KB2_P,55,2.35,0.0186,0.206,+
AIFM1_P,29,2.35,0.0189,0.207,+
NMRAL1_P,104,2.34,0.019,0.207,+
THOC1_P,106,2.34,0.0193,0.208,+
FASTK_P,118,2.34,0.0195,0.21,+
CENPK_P,111,2.33,0.0198,0.211,+
SH3GL1_P,61,2.33,0.0199,0.211,+
GREM1_P,63,2.32,0.0202,0.212,+
CASP7_P,25,2.31,0.0207,0.215,+
ZFX_P,79,2.3,0.0213,0.219,+
SCYL1_P,66,2.3,0.0214,0.219,+
SRPK1_P,52,2.3,0.0217,0.221,+
UNC5CL_P,40,2.29,0.0219,0.222,+
TBL1XR1_P,116,2.29,0.0223,0.224,+
NAA15_P,225,2.29,0.0223,0.224,+
ATP2A2_P,62,2.28,0.0224,0.224,+
