Regulon,Size,NES,p.value,FDR,Sign
TRIP13_P,258,3.73,0.000191,0.0895,+
MYBL2_P,246,3.62,0.000294,0.0895,+
HDGF_P,108,3.6,0.000317,0.0895,+
TIMELESS_P,246,3.59,0.000329,0.0895,+
TBC1D31_P,32,3.59,0.000336,0.0895,+
FOXM1_P,208,3.56,0.00037,0.0895,+
MKI67_P,65,3.55,0.000379,0.0895,+
ASF1B_P,266,3.53,0.000416,0.0895,+
NDC80_P,58,3.51,0.00044,0.0895,+
BUB1B_P,74,3.51,0.000441,0.0895,+
RACGAP1_P,50,3.5,0.000459,0.0895,+
TYMS_P,25,3.47,0.000521,0.0895,+
AURKB_P,54,3.42,0.000615,0.0895,+
HMGA1_P,98,3.4,0.00067,0.0895,+
SRPK1_P,47,3.39,0.000692,0.0895,+
TIPIN_P,34,3.37,0.000759,0.0895,+
HDAC1_P,58,3.34,0.000853,0.0895,+
ZWINT_P,47,3.33,0.000859,0.0895,+
CCNA2_P,106,3.33,0.000868,0.0895,+
EIF4EBP1_P,63,3.32,0.00091,0.0895,+
CENPF_P,333,3.32,0.000912,0.0895,+
MCM3_P,47,3.3,0.000958,0.0895,+
ATAD2_P,137,3.3,0.000978,0.0895,+
CBLC_P,54,3.29,0.00101,0.0895,+
RUVBL1_P,85,3.27,0.00106,0.0895,+
TOP2A_P,244,3.27,0.00107,0.0895,+
GMPS_P,330,3.27,0.00109,0.0895,+
IQGAP3_P,58,3.25,0.00117,0.0895,+
TFAP4_P,97,3.24,0.0012,0.0895,+
ZC3HC1_P,171,3.21,0.00134,0.0895,+
RAD51_P,41,3.2,0.00136,0.0895,+
SPAG5_P,88,3.2,0.00138,0.0895,+
AURKA_P,68,3.2,0.00138,0.0895,+
UHRF1_P,202,3.19,0.00142,0.0895,+
CASP2_P,34,3.19,0.00142,0.0895,+
STMN1_P,61,3.18,0.00146,0.0903,+
CENPI_P,61,3.17,0.00154,0.0916,+
FEN1_P,60,3.15,0.00161,0.0916,+
ENO1_P,108,3.15,0.00162,0.0916,+
CHEK1_P,31,3.14,0.00171,0.0916,+
DNMT3A_P,158,3.13,0.00175,0.0916,+
GTSE1_P,58,3.13,0.00177,0.0916,+
RANGAP1_P,75,3.13,0.00177,0.0916,+
CKS1B_P,158,3.11,0.00185,0.0916,+
MCM4_P,199,3.1,0.00193,0.0916,+
PALB2_P,27,3.1,0.00195,0.0916,+
MTA2_P,69,3.1,0.00196,0.0916,+
ACTL6A_P,73,3.09,0.00199,0.0916,+
CHAF1A_P,172,3.09,0.00201,0.0916,+
PA2G4_P,138,3.08,0.00208,0.0916,+
HSPD1_P,44,3.07,0.00213,0.0916,+
TRAF7_P,41,3.06,0.00221,0.0916,+
RFC4_P,68,3.05,0.00228,0.0916,+
DNMT3B_P,130,3.04,0.00238,0.0916,+
BLM_P,59,3.03,0.00248,0.0916,+
GREM1_P,62,3.02,0.00249,0.0916,+
TONSL_P,150,3.01,0.00264,0.0916,+
ZC3H8_P,67,3.01,0.00264,0.0916,+
CAD_P,103,3,0.00269,0.0916,+
ARHGAP11A_P,36,2.99,0.00276,0.0916,+
