Regulon,Size,NES,p.value,FDR,Sign
TMX1_P,68,3.54,4e-04,0.113,+
GNA15_P,50,3.37,0.000765,0.113,+
EPHA2_P,88,3.32,0.000913,0.113,+
BLZF1_P,128,3.31,0.000939,0.113,+
ABLIM3_P,212,3.26,0.00111,0.113,+
CDA_P,68,3.26,0.00112,0.113,+
TRIM29_P,153,3.25,0.00114,0.113,+
SMAD3_P,96,3.25,0.00114,0.113,+
RHOF_P,62,3.25,0.00117,0.113,+
MGLL_P,61,3.23,0.00124,0.113,+
PLEK2_P,63,3.19,0.0014,0.113,+
RBBP7_P,99,3.18,0.00147,0.113,+
HMGA1_P,146,3.15,0.00163,0.113,+
ECT2_P,115,3.15,0.00164,0.113,+
FLNB_P,39,3.15,0.00164,0.113,+
FGFBP1_P,94,3.14,0.00168,0.113,+
ARF6_P,64,3.14,0.00169,0.113,+
ZDHHC3_P,160,3.14,0.00169,0.113,+
PLCD3_P,32,3.1,0.00191,0.113,+
CTNNA1_P,56,3.1,0.00195,0.113,+
MST1R_P,65,3.1,0.00196,0.113,+
FUT8_P,52,3.09,0.00198,0.113,+
TFDP1_P,74,3.08,0.00206,0.113,+
TFAP2A_P,81,3.08,0.00207,0.113,+
ZNF185_P,143,3.07,0.00211,0.113,+
S100A6_P,78,3.07,0.00212,0.113,+
CDK6_P,68,3.06,0.00221,0.113,+
ERBB2_P,64,3.06,0.00223,0.113,+
PPP1R13L_P,222,3.04,0.00239,0.113,+
ASF1B_P,347,3.04,0.00239,0.113,+
CRABP2_P,51,3.02,0.00252,0.113,+
HELLS_P,129,3.02,0.00252,0.113,+
PCSK9_P,46,3.01,0.00261,0.113,+
TTK_P,41,3.01,0.00264,0.113,+
UHRF1_P,126,2.99,0.00277,0.113,+
TPM3_P,99,2.98,0.00288,0.113,+
SFN_P,82,2.98,0.00292,0.113,+
USP22_P,294,2.97,0.00298,0.113,+
AURKA_P,65,2.96,0.00304,0.113,+
ADGRE5_P,46,2.96,0.00304,0.113,+
CLIC3_P,66,2.96,0.00308,0.113,+
GTSE1_P,40,2.95,0.00316,0.113,+
TBL1XR1_P,127,2.95,0.0032,0.113,+
INPP4B_P,53,2.95,0.00323,0.113,+
CCNA2_P,49,2.94,0.00323,0.113,+
SRPK1_P,68,2.94,0.00324,0.113,+
ID1_P,96,2.94,0.00327,0.113,+
SLC9A1_P,76,2.94,0.00332,0.113,+
AFAP1L2_P,36,2.94,0.00332,0.113,+
ARHGAP27_P,80,2.94,0.00332,0.113,+
ZNF706_P,86,2.93,0.00342,0.113,+
BCAR3_P,74,2.91,0.00357,0.113,+
ZFYVE21_P,85,2.9,0.0037,0.113,+
KIF13B_P,41,2.9,0.00371,0.113,+
KLF5_P,187,2.89,0.00383,0.113,+
RAB11A_P,78,2.89,0.00386,0.113,+
GPRC5A_P,32,2.89,0.00387,0.113,+
SPAG5_P,52,2.89,0.0039,0.113,+
ITGA2_P,34,2.88,0.00396,0.113,+
FOXA1_P,54,2.87,0.00412,0.113,+
IQGAP3_P,134,2.87,0.00413,0.113,+
ADGRF1_P,39,2.86,0.00418,0.113,+
ITGB4_P,78,2.86,0.00419,0.113,+
F3_P,63,2.86,0.00424,0.113,+
RFC4_P,78,2.85,0.00431,0.113,+
KL_P,63,2.84,0.00445,0.113,+
TOP2A_P,253,2.84,0.00451,0.113,+
CHEK1_P,90,2.84,0.00455,0.113,+
MKI67_P,70,2.83,0.00462,0.113,+
TIPIN_P,83,2.83,0.00463,0.113,+
WHSC1_P,94,2.83,0.00464,0.113,+
CEACAM6_P,75,2.83,0.00467,0.113,+
RAB5A_P,69,2.82,0.00487,0.113,+
TRAK1_P,338,2.82,0.00488,0.113,+
RAB10_P,75,2.81,0.00489,0.113,+
CENPF_P,390,2.81,0.00492,0.113,+
SMURF1_P,71,2.81,0.00492,0.113,+
CORO2A_P,57,2.81,0.00495,0.113,+
ZBTB7A_P,95,2.81,0.00497,0.113,+
MACC1_P,264,2.81,0.00497,0.113,+
IRAK2_P,67,2.8,0.00511,0.114,+
PLAT_P,86,2.77,0.00559,0.121,+
MAP3K2_P,85,2.77,0.00562,0.121,+
CBX3_P,189,2.77,0.00567,0.121,+
MAP2K1_P,64,2.75,0.00592,0.126,+
CFL1_P,69,2.74,0.00612,0.127,+
IDH1_P,121,2.73,0.00625,0.127,+
ASAP2_P,115,2.72,0.00643,0.128,+
RAC1_P,51,2.72,0.00646,0.128,+
MAPK3_P,123,2.72,0.00652,0.128,+
BCL10_P,60,2.72,0.00656,0.128,+
KLK6_P,83,2.71,0.00663,0.128,+
RAB27B_P,64,2.71,0.00665,0.128,+
GIPC1_P,101,2.71,0.00672,0.128,+
MET_P,71,2.71,0.00675,0.128,+
KLF3_P,192,2.7,0.00686,0.128,+
JAK1_P,162,2.7,0.00694,0.129,+
ASB1_P,72,2.7,0.00698,0.129,+
HMGB2_P,144,2.67,0.00753,0.136,+
FHL2_P,102,2.67,0.00756,0.136,+
BHLHE40_P,106,2.67,0.00758,0.136,+
CNIH4_P,74,2.65,0.00805,0.141,+
AJUBA_P,205,2.64,0.00834,0.145,+
