Regulon,Size,NES,p.value,FDR,Sign
CDK2,122,3.34,0.000829,0.00627,+
CDK1,155,3.21,0.00134,0.00637,+
MAPKAPK2,36,3.1,0.00195,0.00742,+
CHEK1,53,3.02,0.00254,0.00803,+
AURKB,34,2.95,0.00321,0.00849,+
CSNK2A1,98,2.91,0.00358,0.00849,+
PLK1,37,2.53,0.0114,0.0217,+
MAPK8,34,2.04,0.0413,0.0713,+
CDK5,31,1.95,0.0507,0.0803,+
AKT1,76,1.6,0.11,0.161,+
RPS6KA1,35,1.52,0.128,0.173,+
MTOR,40,0.6,0.552,0.624,+
MAPK14,36,0.59,0.558,0.624,+
ATM,30,0.5,0.614,0.648,+
GSK3B,38,0.07,0.946,0.946,+
PRKCA,50,0.82,0.41,0.519,-
MAPK1,89,2.6,0.00945,0.0199,-
PRKACA,103,3.29,0.00099,0.00627,-
MAPK3,81,3.56,0.000373,0.00627,-
