Regulon,Size,NES,p.value,FDR,Sign
CDK1,130,3.76,0.000173,0.00165,+
CSNK2A1,105,3.35,0.000821,0.0039,+
MAPKAPK2,34,2.72,0.00658,0.0179,+
CHEK1,52,2.18,0.0295,0.0598,+
AURKB,27,2.15,0.0315,0.0598,+
CDK5,29,2.11,0.0353,0.0609,+
PLK1,39,1.81,0.0711,0.113,+
MAPK14,36,0.98,0.327,0.415,+
ATM,25,0.28,0.78,0.823,+
CDK2,103,0.21,0.832,0.832,+
MAPK8,38,0.4,0.693,0.774,-
GSK3B,29,0.68,0.499,0.593,-
MTOR,31,1.01,0.311,0.415,-
RPS6KA1,29,1.6,0.11,0.161,-
AKT1,69,2.31,0.0209,0.0497,-
PRKCA,51,2.84,0.00454,0.0144,-
PRKACA,90,3.27,0.00108,0.00411,-
MAPK1,81,3.55,0.00039,0.00247,-
MAPK3,81,3.85,0.000118,0.00165,-
