Regulon,Size,NES,p.value,FDR,Sign
CDK1,141,3.72,0.000196,0.00182,+
CDK2,117,3.71,0.00021,0.00182,+
CSNK2A1,117,3.17,0.00153,0.00459,+
CHEK1,54,3.03,0.00248,0.00651,+
AURKB,30,2.85,0.00431,0.00822,+
CDK5,29,2.04,0.0413,0.0667,+
PLK1,42,1.85,0.0645,0.0968,+
GSK3B,40,1.67,0.0952,0.133,+
MAPKAPK2,34,1.6,0.109,0.138,+
ATM,29,0.18,0.857,0.891,+
MAPK8,36,0.14,0.891,0.891,+
MAPK14,31,0.5,0.62,0.685,-
PRKCD,25,1.56,0.118,0.138,-
MTOR,36,1.58,0.114,0.138,-
RPS6KA3,26,2.52,0.0117,0.0205,-
AKT1,75,2.87,0.00406,0.00822,-
RPS6KA1,36,2.94,0.0033,0.0077,-
MAPK1,91,3.2,0.00138,0.00459,-
PRKCA,58,3.26,0.00111,0.00459,-
PRKACA,106,3.58,0.000346,0.00182,-
MAPK3,81,3.62,0.00029,0.00182,-
