Regulon,Size,NES,p.value,FDR,Sign
AKT1,75,3.55,0.00039,0.0078,+
CDK1,132,3.22,0.0013,0.00835,+
MAPK3,84,3.13,0.00175,0.00835,+
MAPKAPK2,35,3.12,0.0018,0.00835,+
PRKAA1,27,2.85,0.00438,0.0146,+
RPS6KA1,36,2.46,0.0137,0.0343,+
CHEK1,49,1.88,0.0595,0.132,+
RPS6KA3,25,1.66,0.0971,0.194,+
MAPK14,37,1.1,0.27,0.417,+
GSK3B,35,1.1,0.271,0.417,+
MTOR,32,0.54,0.588,0.735,+
CDK5,31,0.28,0.776,0.854,+
CDK2,111,0.2,0.845,0.854,+
AURKB,29,0.18,0.854,0.854,+
MAPK1,92,0.23,0.82,0.854,-
PRKCA,68,0.7,0.483,0.645,-
PLK1,27,0.87,0.384,0.548,-
MAPK8,35,1.35,0.178,0.323,-
PRKACA,107,2.74,0.00606,0.0173,-
CSNK2A1,100,3.08,0.00209,0.00835,-
