Regulon,Size,NES,p.value,FDR,Sign
MLH1_P,82,3.3,0.000951,0.342,+
MNAT1_P,84,3.16,0.00156,0.342,+
AURKA_P,42,3.1,0.00197,0.342,+
MET_P,33,3.03,0.00243,0.342,+
TTK_P,58,2.96,0.00305,0.342,+
CAD_P,131,2.94,0.00327,0.342,+
ITPR3_P,77,2.91,0.00365,0.342,+
GTF2E2_P,124,2.9,0.00374,0.342,+
CERS5_P,42,2.86,0.00418,0.342,+
ARHGAP11A_P,39,2.86,0.00426,0.342,+
CCNA2_P,72,2.85,0.00432,0.342,+
TGFBR1_P,41,2.83,0.00471,0.346,+
CIT_P,51,2.82,0.00475,0.346,+
RAD51_P,66,2.82,0.0048,0.346,+
MKI67_P,54,2.81,0.00491,0.346,+
ZBTB2_P,45,2.78,0.00546,0.367,+
ITGA5_P,131,2.78,0.00549,0.367,+
KDM4B_P,98,2.73,0.00626,0.395,+
DUSP6_P,56,2.73,0.00636,0.395,+
STK3_P,59,2.71,0.00678,0.412,+
BLM_P,36,2.67,0.00769,0.415,+
PDPN_P,47,2.66,0.00789,0.415,+
BUB1B_P,69,2.63,0.00851,0.415,+
TNFAIP3_P,50,2.58,0.00993,0.415,+
FOXM1_P,164,2.58,0.00997,0.415,+
EPHB4_P,46,2.57,0.0102,0.415,+
SAP18_P,27,2.57,0.0103,0.415,+
TRAF3_P,53,2.56,0.0106,0.415,+
ATP2C1_P,36,2.53,0.0113,0.415,+
NDC80_P,63,2.52,0.0116,0.415,+
HTATIP2_P,125,2.52,0.0118,0.415,+
ABL2_P,61,2.49,0.0127,0.415,+
SPAG5_P,51,2.48,0.0131,0.415,+
UHRF1_P,172,2.48,0.0132,0.415,+
MCM4_P,128,2.45,0.0143,0.415,+
CENPF_P,202,2.45,0.0144,0.415,+
GNB1_P,38,2.43,0.015,0.415,+
SPRY4_P,88,2.41,0.0161,0.434,+
MYH9_P,75,2.4,0.0165,0.44,+
FEN1_P,43,2.38,0.0171,0.44,+
CDK9_P,86,2.36,0.0182,0.441,+
FUBP1_P,89,2.35,0.0187,0.441,+
RAC2_P,39,2.35,0.0189,0.441,+
M6PR_P,42,2.34,0.0194,0.441,+
TOP2A_P,260,2.34,0.0194,0.441,+
CDK6_P,76,2.33,0.0196,0.441,+
TAF5_P,93,2.33,0.0197,0.441,+
MED1_P,63,2.33,0.0201,0.441,+
PGR_P,61,2.32,0.0204,0.441,+
SCYL1_P,86,2.31,0.0206,0.441,+
ZWINT_P,69,2.31,0.0207,0.441,+
ASF1B_P,249,2.3,0.0216,0.441,+
APP_P,297,2.3,0.0217,0.441,+
NRIP1_P,48,2.3,0.0217,0.441,+
MMP14_P,225,2.29,0.022,0.442,+
RACGAP1_P,45,2.28,0.0225,0.443,+
MTDH_P,93,2.28,0.0229,0.443,+
TARDBP_P,65,2.27,0.023,0.443,+
WWTR1_P,82,2.27,0.0235,0.443,+
PTPN14_P,109,2.26,0.0237,0.443,+
GABPB1_P,96,2.26,0.0237,0.443,+
TTF2_P,54,2.26,0.0241,0.443,+
CHD1_P,35,2.25,0.0244,0.443,+
MSN_P,110,2.25,0.0244,0.443,+
QKI_P,57,2.25,0.0245,0.443,+
ITGB1_P,78,2.24,0.025,0.443,+
SH3BP1_P,60,2.24,0.0252,0.443,+
NLE1_P,106,2.23,0.0257,0.444,+
BRE_P,49,2.21,0.027,0.444,+
IRAK4_P,38,2.21,0.0272,0.444,+
MED16_P,48,2.2,0.0279,0.444,+
CDKN2A_P,126,2.2,0.028,0.444,+
PCGF6_P,47,2.19,0.0289,0.444,+
ACVR1_P,87,2.18,0.0292,0.444,+
FRS2_P,53,2.18,0.0293,0.444,+
FANCA_P,57,2.18,0.0296,0.444,+
TAF2_P,75,2.17,0.0301,0.444,+
INHBA_P,509,2.17,0.0304,0.444,+
OGT_P,94,2.16,0.0306,0.444,+
PEX11B_P,60,2.16,0.0306,0.444,+
ITGA3_P,75,2.16,0.0308,0.444,+
CENPI_P,51,2.14,0.0322,0.444,+
EZH2_P,69,2.14,0.0324,0.444,+
CSNK2A2_P,76,2.13,0.0328,0.444,+
PSMC3IP_P,207,2.12,0.0339,0.444,+
HIP1_P,104,2.12,0.0342,0.444,+
CCNK_P,266,2.12,0.0343,0.444,+
HMGB2_P,146,2.11,0.0347,0.444,+
HIF1AN_P,137,2.1,0.0355,0.444,+
CENPB_P,27,2.1,0.0359,0.444,+
ATAD2_P,140,2.1,0.036,0.444,+
BRCA1_P,94,2.1,0.0361,0.444,+
ROCK2_P,64,2.09,0.0364,0.444,+
EPHB2_P,31,2.09,0.0365,0.444,+
HES1_P,133,2.09,0.0365,0.444,+
RAD9A_P,36,2.09,0.0367,0.444,+
NBN_P,43,2.09,0.0369,0.444,+
RHOB_P,60,2.09,0.0369,0.444,+
CAND1_P,48,2.08,0.0376,0.444,+
INTS6_P,40,2.07,0.0382,0.444,+
TRIM28_P,80,2.07,0.0386,0.444,+
DBNL_P,56,2.07,0.0389,0.444,+
THBS1_P,72,2.07,0.0389,0.444,+
RPGRIP1L_P,27,2.06,0.039,0.444,+
DAXX_P,34,2.06,0.0398,0.444,+
NR2F2_P,40,2.05,0.04,0.444,+
TIPIN_P,52,2.05,0.0405,0.444,+
HMGN2_P,209,2.05,0.0406,0.444,+
BRCA2_P,62,2.04,0.041,0.444,+
CSPG4_P,38,2.03,0.0428,0.444,+
RBL1_P,78,2.02,0.0431,0.444,+
RTKN_P,51,2.02,0.0433,0.444,+
SP3_P,54,2.02,0.0434,0.444,+
SRPK2_P,69,2.02,0.0434,0.444,+
PITPNC1_P,61,2.02,0.0438,0.444,+
STMN1_P,57,2.02,0.0438,0.444,+
MCM6_P,77,2.01,0.0439,0.444,+
MEN1_P,45,2.01,0.0441,0.444,+
NEK6_P,42,2,0.045,0.444,+
POLE_P,90,2,0.0451,0.444,+
SP100_P,124,2,0.0451,0.444,+
HSPD1_P,90,2,0.0453,0.444,+
SNW1_P,118,2,0.0454,0.444,+
SNAPC3_P,33,2,0.0457,0.446,+
RBM15_P,38,1.99,0.0461,0.448,+
PTHLH_P,55,1.98,0.0472,0.457,+
OSMR_P,30,1.98,0.0479,0.458,+
HAT1_P,110,1.96,0.0503,0.469,+
LRP8_P,73,1.95,0.0515,0.469,+
U2AF2_P,40,1.95,0.0517,0.469,+
WNK1_P,47,1.94,0.0525,0.469,+
SIPA1_P,78,1.93,0.053,0.469,+
ZNF281_P,165,1.93,0.0533,0.469,+
ATP6AP2_P,65,1.93,0.0537,0.469,+
TBC1D23_P,33,1.93,0.054,0.469,+
HMGXB4_P,68,1.93,0.054,0.469,+
PDCD11_P,163,1.93,0.054,0.469,+
TBPL1_P,100,1.92,0.0543,0.469,+
HELLS_P,129,1.92,0.0544,0.469,+
SEC14L2_P,249,1.92,0.0545,0.469,+
NOLC1_P,182,1.91,0.056,0.469,+
SUZ12_P,133,1.91,0.056,0.469,+
ADAM17_P,84,1.91,0.0564,0.469,+
IFI6_P,50,1.91,0.0567,0.469,+
LGALS3BP_P,59,1.91,0.0567,0.469,+
TTF1_P,55,1.9,0.0569,0.469,+
RANBP2_P,30,1.9,0.057,0.469,+
PRKDC_P,26,1.89,0.0584,0.469,+
ECT2_P,69,1.89,0.0586,0.469,+
TIMELESS_P,193,1.89,0.0589,0.469,+
TMPO_P,280,1.88,0.0596,0.469,+
FLRT2_P,67,1.88,0.0604,0.469,+
RPS6_P,38,1.88,0.0605,0.469,+
TGS1_P,98,1.88,0.0606,0.469,+
TNFAIP6_P,44,1.87,0.0611,0.469,+
PML_P,120,1.87,0.0613,0.469,+
DEK_P,46,1.86,0.0623,0.469,+
CBFB_P,56,1.86,0.0629,0.469,+
RAB29_P,42,1.86,0.0632,0.469,+
RARA_P,111,1.86,0.0634,0.469,+
SNX6_P,50,1.86,0.0635,0.469,+
IGBP1_P,61,1.85,0.0638,0.469,+
NOCT_P,131,1.85,0.0639,0.469,+
AGO2_P,98,1.85,0.0639,0.469,+
CKS2_P,122,1.85,0.0645,0.469,+
CDK2_P,67,1.85,0.0646,0.469,+
PKN3_P,48,1.85,0.0649,0.469,+
TRIP13_P,209,1.84,0.0653,0.469,+
PLRG1_P,38,1.84,0.0658,0.469,+
EIF2AK2_P,127,1.83,0.0665,0.472,+
NCOA4_P,27,1.83,0.0668,0.472,+
IGFBP3_P,44,1.83,0.067,0.472,+
CEBPZ_P,104,1.83,0.067,0.472,+
VEZF1_P,115,1.82,0.0681,0.474,+
TOP1_P,133,1.82,0.0683,0.474,+
CDK12_P,187,1.82,0.0684,0.474,+
RAB26_P,69,1.82,0.0686,0.474,+
PXN_P,71,1.82,0.0687,0.474,+
FHL2_P,66,1.82,0.0692,0.474,+
PMAIP1_P,66,1.82,0.0692,0.474,+
TLE1_P,35,1.82,0.0693,0.474,+
CDK4_P,73,1.81,0.0699,0.474,+
E2F4_P,80,1.81,0.0701,0.474,+
REST_P,345,1.81,0.0708,0.474,+
ARHGEF17_P,26,1.8,0.0717,0.474,+
ETS1_P,154,1.8,0.0725,0.474,+
PICALM_P,46,1.79,0.0733,0.474,+
RHOA_P,93,1.79,0.0734,0.474,+
